一万七千五百	一萬七千五百
联合式合成词	聯合式合成詞
联合技术公司	聯合技術公司
联合航空公司	聯合航空公司
聚合资讯订阅	聚合資訊訂閱
肉毒杆菌毒素	肉毒桿菌毒素
肚儿里有勾当	肚兒裏有勾當
肚肠阁落里边	肚腸閣落裏邊
股东特别大会	股東特別大會
胜不骄败不馁	勝不驕敗不餒
胡萝卜就烧酒	胡蘿蔔就燒酒
脂漏性角化症	脂漏性角化症
脸上挂了招牌	臉上掛了招牌
腕隧道症候群	腕隧道症候羣
腰椎间盘突出	腰椎間盤突出
自发对称破缺	自發對稱破缺
自愿就学方案	自願就學方案
自由亚洲电台	自由亞洲電臺
自由意志主义	自由意志主義
自由组合规律	自由組合規律
自驾汽车出租	自駕汽車出租
致理技术学院	致理技術學院
艾布拉莫维奇	艾布拉莫維奇
芥子气恶病质	芥子氣惡病質
花莲师范学院	花蓮師範學院
苏利南共和国	蘇利南共和國
苏恺二七战机	蘇愷二七戰機
苏格兰折耳猫	蘇格蘭摺耳貓
英国广播电台	英國廣播電臺
英雄所见略同	英雄所見略同
范尼斯特鲁伊	范尼斯特魯伊
范德瓦耳斯力	範德瓦耳斯力
茅厕里的石头	茅廁裏的石頭
药学专科学校	藥學專科學校
莫荷不连续面	莫荷不連續面
萝卜精头上青	蘿蔔精頭上青
葡萄叶银莲花	葡萄葉銀蓮花
蒙特卡罗方法	矇特卡羅方法
蛇绿混杂岩带	蛇綠混雜岩帶
蜚鸟尽良弓藏	蜚鳥盡良弓藏
蜡烛不点不亮	蠟燭不點不亮
蟪蛄不知春秋	蟪蛄不知春秋
血色素沉积症	血色素沉積症
行善不欲人知	行善不欲人知
表壮不如里壮	表壯不如裏壯
袖里来袖里去	袖裏來袖裏去
西北师范大学	西北師範大學
西华师范大学	西華師範大學
西南师范大学	西南師範大學
西发里亚条约	西發里亞條約
西方极乐世界	西方極樂世界
西门子电机厂	西門子電機廠
视讯会议系统	視訊會議系統
角色扮演游戏	角色扮演遊戲
警察广播电台	警察廣播電臺
计程车共乘制	計程車共乘制
讯息处理系统	訊息處理系統
讯框传送论坛	訊框傳送論壇
证据裁判主义	證據裁判主義
评审团特别奖	評審團特別獎
词汇判断任务	詞彙判斷任務
词汇判断作业	詞彙判斷作業
诗言志歌永言	詩言志歌永言
语意区分量表	語意區分量表
语意差别量表	語意差別量表
语音输入系统	語音輸入系統
误尽天下苍生	誤盡天下蒼生
说合了盖儿了	說合了蓋兒了
诸葛亮借东风	諸葛亮借東風
谁家灶內无烟	誰家竈內無煙
谣言止于智者	謠言止於智者
贝伽特症候群	貝伽特症候羣
贝娅特丽克丝	貝婭特麗克絲
贝娜齐尔布托	貝娜齊爾布托
贵州师范大学	貴州師範大學
费尔干纳槃地	費爾干納槃地
费尔干纳盆地	費爾幹納盆地
费玛最后定理	費瑪最後定理
费里克斯布朗	費里克斯布朗
贼没种只怕哄	賊沒種只怕哄
赣南师范学院	贛南師範學院
走千门踏万户	走千門踏萬戶
走向滑动断层	走向滑動斷層
跌了弹的斑鸠	跌了彈的斑鳩
身敎重于言敎	身敎重於言敎
身教胜于言教	身敎勝於言敎
躲得不知去向	躲得不知去向
车同轨书同文	車同軌書同文
车里雅宾斯克	車里雅賓斯克
软件开发人员	軟件開發人員
软体出版协会	軟體出版協會
轻油裂解工厂	輕油裂解工廠
辐射警告标志	輻射警告標志
辽宁师范大学	遼寧師範大學
达布洛沃斯基	達布洛沃斯基
迈克尔克莱顿	邁克爾克萊頓
迈克尔杰克逊	邁克爾傑克遜
远东技术学院	遠東技術學院
远端监控系统	遠端監控系統
逃不出手掌心	逃不出手掌心
逆向拥塞通知	逆向擁塞通知
逻辑链路控制	邏輯鏈路控制
配线系统接地	配綫系統接地
醒吾技术学院	醒吾技術學院
里瓦几亚条约	里瓦幾亞條約
重复启动效应	重複啓動效應
重庆师范大学	重慶師範大學
钱是万恶之源	錢是萬惡之源
银行体系资金	銀行體系資金
链式裂变反应	鏈式裂變反應
错觉结合的词	錯覺結合的詞
锯了嘴的葫芦	鋸了嘴的葫蘆
镰状细胞血症	鐮狀細胞血症
长春师范学院	長春師範學院
间充质干细胞	間充質幹細胞
阜阳师范学院	阜陽師範學院
阿兹海默氏症	阿茲海默氏症
阿尔茨海默症	阿爾茨海默症
阿斯图里亚斯	阿斯圖里亞斯
陈嘉爵沈培智	陳嘉爵沈培智
陈谷子烂芝麻	陳穀子爛芝麻
陕西师范大学	陝西師範大學
雨余芳草斜阳	雨餘芳草斜陽
雷霆万钧之势	雷霆萬鈞之勢
青海师范大学	青海師範大學
非洲团结组织	非洲團結組織
非洲开发银行	非洲開發銀行
非词重复测验	非詞重復測驗
面向对象语言	面嚮對象語言
面子上的差使	面子上的差使
韩山师范学院	韓山師範學院
预期收入票据	預期收入票據
风从虎云从龙	風從虎雲從龍
风溼性心脏病	風溼性心臟病
风马牛不相干	風馬牛不相干
飞鸟尽良弓藏	飛鳥盡良弓藏
首次注视时间	首次注視時間
首都师范大学	首都師範大學
香榭丽舍大街	香榭麗舍大街
马修麦费狄恩	馬修麥費狄恩
马克斯普朗克	馬克斯普朗克
马可波罗游记	馬可波羅遊記
马噶尔尼使团	馬噶爾尼使團
马尔克奥雷利	馬爾克奥雷利
马戛尔尼使团	馬戛爾尼使團
马斯垂克条约	馬斯垂克條約
马斯特里赫特	馬斯特裏赫特
马里亚纳海沟	馬裏亞納海溝
马里亚纳群岛	馬里亞納羣島
马里安纳海沟	馬里安納海溝
高分子化合物	高分子化合物
高尔基复合体	高爾基複合體
高级管理人才	高級管理人才
高能烈性炸药	高能烈性炸藥
高雄师范大学	高雄師範大學
高雄师范学院	高雄師範學院
鬼迷了张天师	鬼迷了張天師
魏斯里史奈普	魏斯里史奈普
鸡蛋里挑骨头	雞蛋裏挑骨頭
鸦窝里出凤凰	鴉窩裏出鳳凰
麦克道格拉斯	麥克道格拉斯
黄冈师范学院	黃岡師範學院
黄州寒食诗卷	黃州寒食詩卷
黎明前的黑暗	黎明前的黑暗
鼻子上挂鲞鱼	鼻子上掛鯗魚
龙无云而不行	龍無雲而不行
