三藩市	舊金山
沃爾瑟姆福里斯特	瓦爾珊森林
沃爾索爾	沃索爾
沃特福德	瓦特福
沃特頓	瓦特頓
沃里克	華威
沙勒羅瓦	夏勒華
沙合礁	海安礁
沙吉礁	海寧礁
沙問暗	薩蒙阿姆
沙地	沙烏地
沙地阿拉伯	沙烏地阿拉伯
沙尼亞	薩尼亞
沙尼治	薩尼奇
沙必里	沙比利
沙托魯	夏托魯
沙斯加通	薩斯喀屯
沙斯卡寸旺	薩克其萬 薩斯喀徹溫
沙末	薩馬德
沙比里	沙比利
沙特	沙烏地
沙特阿拉伯	沙烏地阿拉伯
沙馬德	薩馬德
泄蘭	昔得蘭
法屬波利尼西亞	法屬玻里尼西亞
法恩伯勒	法恩堡
法戈	法哥
法梅訥	法梅恩
法爾斯	瓦爾斯
波什尼亞克	波士尼亞克
波倫亞	波隆納
波利尼西亞	玻里尼西亞
波基亞	包奇亞
波多諾伏	新港
波德戈里察	波德里查
波恩	波昂
波斯尼亞	波士尼亞
波斯尼亞和黑塞哥維那	波士尼亞與赫塞哥維納
波斯尼亞黑塞哥維那	波士尼亞赫塞哥維納
波爾塔瓦	波塔瓦
波珀靈厄	波佩林厄
波美恩	波莫瑞
波美拉尼亞	波莫瑞
波英	波茵
波茨坦	波茲坦
波黑	波赫
泰因	泰恩
泰益·馬哈茂德	泰益瑪目
泰米爾	坦米爾
洛磯	落磯
洛蒙德	洛蒙
洛迪	洛戴
洛達咸	羅瑟勒姆
津巴布韋	辛巴威
洪都拉斯	宏都拉斯
活士	伍玆
活特頓	瓦特頓
海格特	海機治
海爾布隆	海布隆
海馬礁	南安礁
淡米爾	坦米爾
深圳灣	后海灣
清奈	欽奈
渭州	威爾特
湯加	東加
溫切斯特	溫徹斯特
溫尼辟	溫尼伯
溫布爾登	溫布頓
溫布萊	溫布利
溫得和克	溫荷克
溫特窩夫	溫特沃斯
溫納圖萬	那杜
溫車士打	溫徹斯特
滿地可	蒙特婁
漆咸	查塔姆
漢密爾頓	漢米頓
澤凱利亞	德凱利亞
澳大利亞	澳洲
澳大利亞聯邦	澳洲聯邦
澳洲	澳大利亞
灣斯禾夫	旺茲沃斯
火奴魯魯	檀香山
烏帕塔爾	烏帕塔
烏得勒支	烏特勒支
烏德勒支	烏特勒支
烏普頓	厄普頓
烏格都古	瓦加杜古
烏比烏比礁	光星仔礁
烏爾姆	烏姆
烏玆別克斯坦	烏茲別克
烏茲別克斯坦	烏茲別克
烏赫爾	烏格爾
烏隆迪	烏隆地
無憂宮	忘憂宮
熱納普	日內普
燕豪芬	恩荷芬
特倫特河畔史篤	特倫特河畔斯托克
特倫甘納	泰倫加納
特倫蒂諾	特倫提諾
特倫頓	翠登
特克斯	土克
特克斯和凱科斯	土克凱可
特克斯和凱科斯群島	土克凱可群島
特古西加爾巴	德古西加巴
特拉華州	德拉瓦州
特普利釆	特普利策
特立尼達和多巴哥	千里達及托巴哥
特蘭斯凱	川斯凱
特雷斯登	德勒斯登
特雷西	雀西
特魯瓦	特華
特魯華	特華
獨聯體	獨立國協
獲素	沃克斯霍爾
珀斯	伯斯
班列特	巴內特
班吉	班基
班布里奇	班布里治
班珠爾	班竹
班迪哥	本迪戈
琳吉礁	法顯暗沙
琳寶	蘭貝斯
瑙魯	諾魯
瑟比利	薩德伯里
瓜德羅普	瓜地洛普
瓜達爾卡納爾	瓜達康納爾
瓦加瓦加	沃加沃加
瓦努阿圖	萬那杜
瓦哈比	瓦哈
瓦杜玆	瓦都茲
瓦爾訥通	瓦內頓
瓦茨曼	瓦茲曼
瓦萊塔	瓦勒他
甘岡	干貢
甘馬粦	甘馬仁
申根協議	申根公約
留尼汪	留尼旺
畢爾巴鄂	畢爾包
畿內亞	幾內亞
畿內亞比紹	幾內亞比索
登地	丹地
登巴	鄧巴
登巴薩	丹帕沙
登打士	鄧達斯
發羅拉	夫羅勒
白石灘	澄平礁
白禮頓	布萊頓
白蘭軒	布倫亨 布林德海姆
百慕大	百慕達
百福	貝德福
皆因	開雲
皮利士葛	普雷史考特
皮姆利科	匹黎可
皮特凱恩	皮特肯
盧塞恩	琉森
盧布爾雅那	盧比安納
盧旺達	盧安達
盧瓦爾河	羅亞爾河
盧瓦羅克桑斯	羅亞羅克桑斯
盧薩卡	路沙卡
真尼沙	肯尼茲
石勒蘇益格	什列斯威 什勒斯維希
石荷州	什霍邦
砵蘭	波特蘭
硅谷	矽谷
碧勤翠	貝肯翠
神根	申根
神根公約	申根公約
福拉爾貝格州	福拉爾貝格邦
禧福	赫瑞福
禾京頓	沃金頓
禾夫斯堡	狼堡
禾獲甸拿	佛伊弗迪納
科倫坡	可倫坡
科布倫茨	科布倫茲
科摩羅	葛摩
科爾切斯特	科赤斯特
科爾多瓦	哥多華
科爾察	科赤
科爾蒂納丹佩佐	柯蒂納戴比索
科特賴克	科特里克
科特迪瓦	象牙海岸
科珀斯克里斯蒂	聖體市
科發	福弗爾
科米訥	科敏
科納克里	柯那克里
科羅拉多斯普林斯	科羅拉多泉
科羅爾	柯羅
科隆群島	加拉巴哥群島
穆希丁	慕尤丁
穆斯佐	穆斯喬
穆爾西亞	莫夕亞
積遜	傑克森
積遜威爾	傑克孫維
突尼斯	突尼西亞
窩咸史杜	沃爾珊斯托
窩咸森林	瓦爾珊森林
窩士打	伍斯特
窩打老	滑鐵盧
端古·賽義德·西拉杰丁	端姑賽西拉如丁
端姑賽義德·西拉杰丁	端姑賽西拉如丁
端姑賽西拉祖丁	端姑賽西拉如丁
符拉迪沃斯托克	海參崴
第尼伯	第聶伯羅
第尼伯彼得羅夫斯克	第聶伯羅彼得羅夫斯克
第比利斯	提比里斯
第聶伯	聶伯
第聶伯羅	聶伯城
第聶伯羅彼得羅夫斯克	聶伯城
策林根	哲林根
米占再納阿比丁	米占·再納·阿比丁
米德爾塞克斯	密德瑟斯
米德爾斯伯勒	米德斯堡
米德爾斯堡	米德斯堡
米德蘭	密德蘭
米杜士堡	米德斯堡
米沙鄢	維薩亞斯
米沙鄢人	維薩亞人
米爾哥羅德	米爾果羅德
米爾豪森	慕豪森
米詹	米占
米詹·扎因·阿比丁	米占·再納·阿比丁
約塞米蒂	優勝美地
約翰內斯堡	約翰尼斯堡
約翰斯頓	強斯頓
約翰斯頓島	強斯頓島
約翰斯頓環礁	強斯頓環礁
約訥河	約納河
約訥省	約納省
約郡	約克郡
納什維爾	納許維爾
納吉布	納吉
納士維	納許維爾
納帕尼	納潘尼
納戈爾諾	納戈爾諾卡拉巴赫
納沙泰爾	紐沙特
納茨福德	納次福
納華拉	納瓦拉
納言	納哈揚
紐卡斯爾	新堡 紐卡索
紐卡素	新堡 紐卡索
紐咸	紐漢
紐瓦克	紐華克
紐英倫	新英格蘭
紐賓士域	新布藍茲維
紐馬赫	諾伊馬克特
純喫茶	純喫茶
索倫托	蘇連多
索爾玆伯里	索爾茲伯里 索茲伯里
索美塞	索美塞特
索韋托	索維托
索馬里	索馬利亞
索馬里蘭	索馬利蘭
累西腓	勒西菲
紹曾德奧克斯	千橡
經濟合作與發展部	經濟合作及發展部
經濟和氣候保護部	經濟事務和氣候行動部
維也納州	維也納邦
維奇	威治
維岡	維根
維希	維琪
維滕貝格	威登堡
維爾京	維京
維爾京群島	維京群島
維爾茨堡	符茲堡
維珍尼亞	維吉尼亞
緬尼吐巴	曼尼托巴
緬尼圖連	馬尼圖林
緬恩斯	美因茲
羅利	羅里
羅安達	魯安達
羅得島	羅德島
羅得西亞	羅德西亞
羅慈地	羅奇代爾
羅索	羅梭
羅訥新堡	隆河新堡
羅訥河	隆河
羅訥省	隆河省
美加華蒂	梅嘉娃蒂
美善同	梅德斯通
美因	美茵
美因茨	美因茲 美茵茲
美巴蒂灘	歡樂暗沙
美度息士	密德瑟斯
美度石士	密德瑟斯
翁布里亞	溫布利亞
翠絲	雀西
老撾	寮國
老撾人民民主共和國	寮人民民主共和國
老撾文	寮文
老撾法國保護國	寮法國保護國
老撾王國	寮王國
老撾語	寮語
考文垂	科芬特里
考納斯	考那斯
耶也	亞雅
耶哈也	亞雅
耶洛奈夫	黃刀鎮
耶羅納夫	黃刀鎮
耶谷	雅柯布
聖伊天	聖德田
聖何塞	聖荷西
聖何西	聖荷西
聖克拉拉	聖塔克拉拉
聖勞倫斯	聖羅倫斯
聖占士	聖詹姆士
聖地亞哥	聖地牙哥
聖基茨和尼維斯	聖克里斯多福及尼維斯
聖多明各	聖多明哥
聖多美和普林西比	聖多美普林西比
聖尤斯特歇斯	聖佑達修斯
聖巴勃羅	聖帕布羅
聖巴泰勒米	聖巴瑟米
聖帕爾滕	聖波爾坦
聖彼得斯	聖彼得
聖文森特和格林納丁斯	聖文森及格瑞那丁
聖海倫娜	聖海蓮娜 聖赫勒拿
聖特賴登	聖楚登
聖珀爾滕	聖波爾坦
聖班納甸奴	聖伯納迪諾
聖皮埃爾	聖皮耶
聖皮埃爾和密克隆	聖皮耶與密克隆
聖盧西亞	聖露西亞
聖羅莎	聖羅沙
聖老楞佐	聖勞倫斯
聖艾蒂安	聖德田
聖菲	聖塔菲 聖非
聖詹姆斯	聖詹姆士
聖貝納迪諾	聖伯納迪諾
聖赫勒拿	聖海蓮娜
聖路易	聖路易斯
聖迭戈	聖地牙哥
聖達菲	聖塔菲
聖馬力諾	聖馬利諾
聖馬特奧	聖馬刁
聯福	倫弗魯
聯邦信息處理標准	聯邦資料處理標準
肯尼亞	肯亞
胡列治	伍利奇
興都教	印度教
舍伯恩	社本
舒梨	薩里
般尼	班來
般尼茅夫	伯恩茅斯
艾伯塔	亞伯達
艾哈邁德	阿末
艾奧瓦	愛荷華
艾恩德霍芬	恩荷芬
艾斯美	艾厄士米爾
艾爾姆胡爾特	阿姆胡特
艾瑟爾	愛塞
艾肯礁	義淨礁
艾薩	伊薩
艾麗斯斯普林斯	愛麗斯泉
芒廷維尤	山景城
芒特巴克	白加山
芒特甘比爾	甘比爾山
芒特艾薩	伊薩山
芬士巴利	芬斯伯里
芬斯伯雷	芬斯伯里
苗頓	米爾頓
英倫海峽	英吉利海峽
英戈爾施塔特	因戈施塔特
英皇佐治廣場	喬治王廣場
英皇十字	國王十字
英聯邦	大英國協
茨欣瓦利	茲辛瓦利
茨維考	茲威考
茲維考	茲威考
茲錫	奇西克
茹埃萊圖爾	茹埃萊都爾
荷伯特	荷巴特
荷屬安的列斯	荷屬安地列斯
荷爾斯泰因	霍爾斯坦
荷甫	霍夫
荷里活	好萊塢
荷頓	哈爾頓
莫哈末	穆罕默德
莫士比	摩斯比
莫士比港	摩斯比港
莫德伯里	摩保利
莫桑比克	莫三比克
莫爾文	茂路凡
莫爾斯比	摩斯比
莫爾斯比港	摩斯比港
莫策爾	摩策爾
莫羅尼	莫洛尼
莫西亞	莫夕亞
莫迪礁	康西暗沙
莫道克	梅鐸
莫雷阿島	茉莉亞島
華亞度列	瓦拉多利德
華倫	沃倫
華倫西亞	瓦倫西亞
華加華加	沃加沃加
華合	瓦哈
華斯卡拿	瓦斯卡納
華杜茲	瓦都茲
華素爾	沃索爾
華隆	瓦隆
華隆尼亞	瓦隆尼亞
菲尼克斯	鳳凰城
菲尼克斯群島	鳳凰群島
菲希特爾山	費希特山
菲沙	弗雷澤
菲爾特	福爾特
菲瑟涅	弗雷西內
萊斯沃斯	列斯伏斯
萊普州	萊普邦
萊法州	萊法邦
萊波薩維齊	萊波薩維奇
萊特島	雷伊泰島
萊特灣	雷伊泰島 雷伊泰灣
萊特省	雷伊泰省
萊索托	賴索托
萊茵蘭	萊因蘭
萊蒙格羅韋	檸檬林
萊西訥	列辛
萌島	曼島
萬·阿齐扎	旺阿芝莎
萬年煙礁	潭門礁
萬茂	蒙茅斯
萬象	永珍
落基	落磯
葉士域治	伊普斯威奇
葉海亞	亞雅
蒂特里加利	茶樹涌
蒂羅爾	提洛
蒂羅爾州	提洛邦
蒂賓根	圖賓根
蒂頓	提頓
蒙彼利埃	蒙佩利爾 蒙特佩利爾
蒙彼利埃	蒙皮立
蒙得維的亞	蒙特維多
蒙特利爾	蒙特婁
蒙特塞拉特	蒙哲臘
蒙特雷	蒙特瑞
蒲福	博福爾
蓋特威克	蓋威克
蓋茨黑德	蓋茲赫德
薛鄧咸	錫德納姆
薩克拉門托	沙加緬度
薩克森州	薩克森邦
薩安州	薩安邦
薩巴	荷屬沙巴
薩拉戈薩	沙拉哥薩
薩拉熱窩	塞拉耶佛
薩拉赫丁	沙拉胡丁
薩斯卡渣文	薩斯喀徹溫
薩斯卡通	薩斯喀屯
薩斯喀徹溫	薩克其萬
薩斯奎漢納	薩斯奎哈納
薩格勒布	札格瑞布
薩爾州	薩爾邦
薩爾布呂肯	薩爾布魯根
薩爾斯堡州	薩爾斯堡邦
薩爾特河	薩特河
薩爾特省	薩特省
薩爾茨堡	薩爾斯堡
薩爾茨堡州	薩爾斯堡邦
薩爾蘭州	薩爾蘭邦
薩瑟克	南華克
薩福克	沙福
薩萊諾	薩雷諾
薩赫勒	薩赫爾
薩那	沙那
薩頓	索頓
薩默塞特	索美塞特
藍色海岸	蔚藍海岸
蘇克雷	蘇克瑞
蘇加諾	蘇卡諾
蘇哈多	蘇哈托
蘇彞士	蘇伊士
蘇彞士運河	蘇伊士運河
蘇必利爾	蘇必略
蘇里南	蘇利南
蘭加士打	蘭卡斯特
蘭喬科爾多瓦	科多瓦牧場
蘭斯	漢斯
蘭秀	拿索
蘭茨胡特	蘭休特
蘭開斯特	蘭卡斯特
處女	維京
處女群島	維京群島
衛氏朝鮮	衞氏朝鮮
衛滿朝鮮	衞滿朝鮮
衡州	漢普
西南非洲	西南非
西哥特	西哥德
西布礁	簸箕礁
西拉杰丁	西拉如丁
西拉祖丁	西拉如丁
西斯凱	希斯凱
西法倫	西伐利亞 西發利亞
西漢姆	西罕
西澳大利亞州	西澳州
西米卡綿	西密卡米恩
西維爾	塞維亞
西谷	塞爾寇克
西里西亞	西利西亞
訥沙托	紐沙特
訥沙泰勒	紐沙特
訥韋爾	尼維爾
設得蘭	昔得蘭 昔德蘭
設德蘭	昔得蘭 昔德蘭
詩貝亞	斯派爾
詹姆士暗沙	曾母暗沙
詹姆斯	詹姆士
諾丁漢	諾丁罕
諾伍德	諾活
諾咸頓	北安普惇
諾域治	諾威治
諾士佛	納次福
諾定咸	諾丁罕
諾曼底	諾曼第
諾活	諾伍德
諾瓦斯科舍	新斯科細亞
諾維薩德	新沙德
諾華斯高沙	新斯科細亞
諾里奇	諾威治
謝潑德	雪柏
謝爾本	社本
謝菲爾德	雪菲爾
謝赫·穆扎法尔	錫慕查化
譚禾夫	譚沃思
讓布盧	戎布魯
豪士羅	豪恩斯洛
貝夫諾格林	貝思納爾綠地
貝夫農綠地	貝思納爾綠地
貝寧	貝南
貝德福德	貝德福
貝洛奧里藏特	美景市
貝洛納	貝隆納
貝爾格萊德	貝爾格勒
貝爾熱拉克	貝傑拉克
貝爾維尤	柏衛
貝爾莫潘	貝爾墨邦
貝爾訥姆	貝爾嫩
貝羅那	貝隆納
貝靈恩	白令根
貢比涅	康比涅
費特咸	費爾特姆
費雷堡	弗萊堡
賈法	惹化
賓士域	布藍茲維
賓夕凡尼亞	賓夕法尼亞
賓茨	賓茲
賓頓	布蘭普頓
賴興瑙	萊赫瑙
賴謝瑙	萊赫瑙
賽夫	賽義夫
賽慕查化	錫慕查化
賽益	薩伊德
賽義德	薩伊德
贊比亞	尚比亞
赫拉克勒斯	海克力斯
赫爾河畔金斯惇	赫爾河畔京斯惇
赫特福德	哈特福 赫瑞福
赫福	哈特福 赫瑞福
赫里福德	赫瑞福
路易咸	路易斯罕
路易港	路易士港
車士打	切斯特
車士打菲特	赤斯特非
車士打郡	柴郡
車特咸	卓特咸
車路士	切爾西
辛菲羅波爾	辛菲洛普 辛費羅波爾
迪克斯邁德	迪克斯木德
迪凱特	第開特
迪勃拉	第巴爾
迪爾多夫	迪爾道夫
迪耶普	第厄普
通托維	湯多威
道森克里克	道森河
道菲	陶菲克
道里	道裡
道里區	道裡區
達勒姆	德罕 達拉謨
達喀爾	達卡
達姆施塔特	達姆城
達格納姆	達根罕
達沃市	納卯市
達爾富爾	達佛
達爾豪斯	戴爾豪斯
達累斯薩拉姆	三蘭港
達豪	達浩
達雅克	達雅
邁亞密	邁阿密
那不勒斯	拿坡里
那慕爾	納木爾
那米比亞	納米比亞
都靈	杜林
鄧寇克	惇克爾克
鄧巴頓	惇巴頓
鄧迪	丹地
釆倫多夫	釆倫道夫
釆蒂涅	策提涅
里士滿	列治文 里奇蒙
里東礁	北安礁
里爾	里耳
里賈納	雷吉納
金奈	欽奈
金寶	坎貝爾
金寶河	坎貝爾河
金巴倫	坎伯蘭 坎布里亞
金斯惇	京斯惇 京斯頓
金斯惇	金石城
金斯頓	京士頓 京斯頓
金沙薩	金夏沙
釣魚台	釣魚臺
釣魚台及其附屬島嶼	釣魚臺列嶼
釣魚島	釣魚臺
釣魚島及其附屬島嶼	釣魚臺列嶼
錦祿	甘露
錫利	夕利
錫巴頓	非百惇
錫根	席根
錫格堡	希格堡
錫格馬林根	西格馬林根
錫瓦塔內霍	芝華塔尼歐
錫耶納	西恩納
錫菲	雪菲爾
錫里斯	席瑞絲
門洛帕克	門洛公園
門興格拉德巴赫	慕森加柏
閃高	錫姆科
開姆尼茨	肯尼茲
閣倫	科克倫
阿什哈巴德	阿什哈巴特
阿什福德	亞士霍
阿什莫爾和卡捷	亞什摩及卡地爾
阿他加馬	亞他加馬
阿伯丁	亞伯丁
阿伯茨福德	亞博斯福
阿克羅蒂里	亞克羅提利
阿克羅蒂里和澤凱利亞	亞克羅提利與德凱利亞
阿克魯帝利	亞克羅提利
阿克魯帝利及德基利亞	亞克羅提利與德凱利亞
阿卜杜勒	阿布都
阿卜杜勒-阿齊玆	阿布都-阿濟茲
阿卜杜勒-阿齊茲	阿布都-阿濟茲
阿卜杜勒·拉希姆	阿都·拉欣
阿卜杜勒·拉扎克	阿都·拉薩
阿卜杜勒·拉赫曼	阿布都拉曼
阿卜杜勒·阿齊玆	阿布都·阿濟茲
阿卜杜勒·阿齊茲	阿布都·阿濟茲
阿卜杜勒·馬利克	阿都馬力
阿卜杜拉	阿布都拉
阿卜杜拉·巴達威	阿布都拉·巴達威
阿卜杜拉·巴達維	阿布都拉·巴達威
阿卜耶伊	艾卜耶
阿基坦	亞奎丹
阿塔卡馬	亞他加馬
阿塞拜疆	亞塞拜然
阿姆哈拉	安哈拉
阿姆霍特	阿姆胡特
阿布·巴卡爾	阿布巴卡
阿布峇卡	阿布巴卡
阿布巴卡爾	阿布巴卡
阿布扎比	阿布達比
阿布賈	阿布加
阿彭策爾	亞本塞
阿德萊得	阿得雷德
阿德萊德	阿得雷德
阿拉伯埃及共和國	埃及阿拉伯共和國
阿拉伯聯合酋長國	阿拉伯聯合大公國
阿拉姆	阿蘭
阿拉梅達	阿拉米達
阿拉貢	亞拉岡
阿斯馬拉	阿斯瑪拉
阿方索克勞迪烏	阿風索克勞迪歐
阿梅爾	阿爾梅勒
阿森松	亞森欣
阿比讓	阿必尚
阿比路	艾比路
阿爾伯克基	阿布奎基
阿爾伯塔	亞伯達
阿爾伯特	艾伯特
阿爾勒	亞爾
阿爾戈納	阿哥納
阿爾派恩	阿爾卑斯
阿爾維	阿威
阿爾薩斯	亞爾薩斯
阿爾費爾德	阿費爾德
阿特沃特	艾特瓦特
阿特蘭大	亞特蘭大
阿玆	阿濟茲
阿玆敏	阿茲敏
阿玆莎	阿芝莎
阿玆蘭	阿茲蘭
阿登	亞爾丁
阿登森林	亞爾丁森林
阿皮亞	阿庇亞
阿省	亞省
阿米代爾	阿密達
阿納海姆	安那翰
阿維尼翁	亞維農
阿聯酋	阿聯
阿育	阿尤布
阿茲莎	阿芝莎
阿訥西	安錫
阿都	阿布都
阿都拉	阿布都拉
阿都拉·巴達威	阿布都拉·巴達威
阿都拉曼	阿布都拉曼
阿都拉欣	阿都·拉欣
阿都拉薩	阿都·拉薩
阿都阿玆	阿布都-阿濟茲
阿都阿玆	阿布都·阿濟茲
阿順礁	海康暗沙
阿馬爾菲	阿瑪菲
阿齊扎	阿芝莎
阿齊玆	阿濟茲
阿齊茲	阿濟茲
陶域	特威德
陶爾哈姆萊茨	哈姆雷特塔
隆達省	倫達省
隱波暗沙	隠波暗沙
雅也	亞雅
雅各布	雅柯布
雅息士	艾塞克斯
雅息特	艾希特
雅溫得	雅恩德
雅爾塔	雅爾達
雅耶	亞雅
雅賓利	阿伯尼
雷伊泰灣	雷伊泰島
雷克瑟姆	雷克斯漢姆
雷克雅未克	雷克雅維克
雷士廉	萊斯里普
雷德伍德城	紅木城
雷德布里奇	紅橋
雷格尼茨河	雷格尼茲河
霍尼亞拉	荷尼阿拉
霍巴特	荷巴特
霍赫斯特拉滕	胡格斯特拉頓
露明	洛蒙
韋克菲爾德	威克菲
韋卓	維特祖治
韋和夫	維特沃斯
韋息士	威塞克斯
韋斯咸	西罕
韋斯特比奇	西灘
韋根	維根
韋爾登拉特	威登拉特
韋爾維耶	弗威耶
韋爾菲克	威維克
韋特史東	威爾德斯通
韋瑟爾	威瑟爾
韋維爾	威埠
韋茨拉爾	威茲拉爾
韓國	南韓
韓國以及朝鮮	南韓以及北韓
韓國及朝鮮	南韓及北韓
韓國同朝鮮	南韓同北韓
韓國和朝鮮	南韓和北韓
韓國科學技朮院	韓國科學技術院
韓國與朝鮮	南韓與北韓
韓方	南韓方面
韓裔	南韓裔
頓涅茨	頓內次
頓涅茨克	頓內次克 頓內茨克
飛嶼	飛瀨
食品和農業部	食品及農業部
香農	夏農
馬丁內斯	馬丁尼茲
馬來西亞總理	馬來西亞首相
馬六甲	麻六甲
馬利蘭	馬里蘭
馬卡迪	馬卡蒂
馬哈蒂爾	馬哈地
馬哈迪	馬哈地
馬塞盧	馬賽魯
馬恩島	曼島
馬拉維	馬拉威
馬提尼克	馬丁尼克
馬斯河	馬士河
馬斯特里赫特	馬斯垂克
馬普托	馬布多
馬末	馬哈茂德
馬朱羅	馬久羅
馬格德堡	馬德堡
馬爾什	馬什
馬爾代夫	馬爾地夫
馬爾凱	馬凱
馬爾默	馬爾摩
馬耳他	馬爾他
馬薩諸塞	麻薩諸塞
馬薩諸塞州	麻薩諸塞州
馬那瓜	馬納瓜
馬里亞納	馬利安納
馬里共和國	馬利共和國
馬魯古	摩鹿加
驕寧咸	吉林漢姆
高活	科爾伍德
高車士打	科赤斯特
高雲地利	科芬特里
魏爾堡	威爾堡
魏瑪	威瑪
魯昂	盧昂
魯梅爾斯堡	魯梅斯堡
鮑里斯皮爾	波里斯皮爾
鯨灣港	華維斯灣
鴉蘭	阿倫
鴨巴甸	亞伯丁
麥克默里	麥克墨雷
麥吉爾	麥基爾
麥梅利	麥克墨雷
麥納麥	麥納瑪
麥考瑞	麥覺理
麻省	麻薩諸塞州
黑塞哥維那	赫塞哥維納
黑山	蒙特內哥羅
黑林山	黑森林
黑森州	黑森邦
黑池	黑潭
黑爾舍姆	海爾斯罕
黑爾訥	赫內
默塞德	美熹德
黨近	鄧肯
