上伏塔	上沃爾特
比斯凱克	比什凱克
比特	弼
比肯斯菲爾德	比更士菲
毛爾布龍	毛布朗
毛里求斯	毛里裘斯
民答那峨	棉蘭老
民答那峨島	棉蘭老島
汝拉	侏羅
汝拉山	侏羅山
汝拉州	侏羅州
汶萊和平之國	汶萊達魯薩蘭國
沃倫	華倫
沃克斯豪爾	獲素
沃克斯霍爾	獲素
沃克維爾	獲加圍
沃加沃加	華加華加
沃森維爾	華生維爾
沃爾夫斯伯格	沃爾夫斯貝格
沃爾夫斯堡	禾夫斯堡
沃爾姆斯	沃姆斯
沃爾珊斯托	窩咸史杜
沃爾瑟姆斯托	窩咸史杜
沃爾瑟姆福里斯特	窩咸森林
沃爾索爾	華素爾
沃特福德	屈福特
沃特頓	活特頓
沃索爾	華素爾
沃里克	和域
沃金頓	禾京頓
沖北岩	北嶼
沖南岩	南嶼
沙勒羅瓦	夏勒華
沙合礁	海安礁
沙吉礁	海寧礁
沙必里	沙比利
沙托魯	夏托魯
沙末	薩馬德
沙比里	沙比利
沙烏地	沙地
沙烏地阿拉伯	沙地阿拉伯
沙特	沙地
沙特阿拉伯	沙地阿拉伯
沙那	薩那
沙馬德	薩馬德
法哥	法戈
法夫	快富
法屬玻里尼西亞	法屬波利尼西亞
法恩伯勒	法恩堡
法梅恩	法梅訥
法爾斯	瓦爾斯
法爾茲	普法茨
法蘭科夫斯克	弗蘭科夫斯克
波基亞	柏嘉
波塔瓦	波爾塔瓦
波士尼亞	波斯尼亞
波士尼亞克	波什尼亞克
波士尼亞與赫塞哥維納	波斯尼亞和黑塞哥維那
波夕	博伊西
波奈	博奈爾
波德里查	波德戈里察
波昂	波恩
波札那	博茨瓦納
波爾塔瓦	波塔瓦
波爾察諾	博爾扎諾
波爾頓	保頓
波特蘭	砵蘭
波珀靈厄	波佩林厄
波登湖	博登湖
波美拉尼亞	波美恩 波莫瑞
波英	波茵
波茨坦	波茲坦
波莫瑞	波美恩
波赫	波黑
波里斯皮爾	鮑里斯皮爾
波隆納	波倫亞
泰因	泰恩
泰益·馬哈茂德	泰益瑪目
洛蒙	露明
洛蒙德	露明
洛迪	洛戴
派丁頓	柏靈頓
海格特	海機治
海爾布隆	海布隆
海馬礁	南安礁
淡米爾	泰米爾
深圳灣	后海灣
溫切斯特	温車士打
溫尼伯	温尼辟
溫布利	温布萊
溫布爾登	温布頓
溫得和克	温荷克
溫徹斯特	温車士打
溫特沃斯	温特窩夫
滑鐵盧	窩打老
漢密爾頓	咸美頓
漢彌爾頓	咸美頓
漢斯	蘭斯
漢普	衡州
漢普頓	咸頓
漢米頓	咸美頓
漢默史密斯	咸默史密夫
澤凱利亞	德基利亞
澳大利亞	澳洲
澳大利亞聯邦	澳洲聯邦
火奴魯魯	檀香山
烏姆	烏爾姆
烏帕塔	烏帕塔爾
烏得勒支	烏德勒支
烏比烏比礁	光星仔礁
烏特勒支	烏德勒支
烏玆別克斯坦	烏茲別克
烏赫爾	烏格爾
烏隆地	烏隆迪
焦爾	傑爾
熱納普	日內普
特倫提諾	特倫蒂諾
特倫特河畔斯托克	特倫特河畔史篤
特倫甘納	泰倫加納
特克斯	土克
特克斯和凱科斯	土克凱可
特克斯和凱科斯群島	土克凱可羣島
特古西加爾巴	德古西加巴
特威德	陶域
特普利釆	特普利策
特立尼達和多巴哥	千里達及托巴哥 千里達和多巴哥
特羅布里奇	措必列治
特華	特魯華
特蘭斯凱	川斯凱
特諾皮爾	捷爾諾波爾
特雷爾	始路
特雷西	翠絲
特魯瓦	特魯華
狄力	帝力
狄蒙	德梅因
狼堡	沃爾夫斯堡 禾夫斯堡
猶加惇	尤卡坦
獅子山	塞拉利昂
獨立國協	獨聯體
玻里尼西亞	波利尼西亞
珀斯	巴富
班來	般尼
班吉	班基
班布里奇	班布里治
班珠爾	班竹
琳吉礁	法顯暗沙
瓜地洛普	瓜德羅普
瓜地馬拉	危地馬拉
瓜地馬拉市	危地馬拉市
瓜達康納爾	瓜達爾卡納爾
瓦倫西亞	華倫西亞
瓦加杜古	烏格都古
瓦加瓦加	華加華加
瓦哈比	瓦哈
瓦拉多利德	華亞度列
瓦斯卡納	華斯卡拿
瓦杜玆	華杜茲
瓦爾珊森林	窩咸森林
瓦爾訥通	瓦內頓
瓦特福	屈福特
瓦特頓	活特頓
瓦茨曼	瓦茲曼
瓦萊塔	瓦勒他
瓦都茲	華杜茲
瓦隆	華隆
瓦隆尼亞	華隆尼亞
甘比亞	岡比亞
甘露	錦祿
甘馬仁	甘馬粦
申根	神根
申根公約	神根公約
申根協議	神根公約
留尼汪	留尼旺
畢爾巴鄂	畢爾包
發羅拉	夫羅勒
白石灘	澄平礁
百慕大	百慕達
皮姆利科	匹黎哥
皮特凱恩	皮特肯
盧塞恩	琉森
盧安達	盧旺達
盧昂	魯昂
盧比安納	盧布爾雅那
盧薩卡	路沙卡
石勒蘇益格	什列斯威
硅谷	矽谷
社本	謝爾本
祖格峰	楚格峰
福弗爾	科發
福拉爾貝格邦	福拉爾貝格州
福爾特	菲爾特
禾夫斯堡	沃爾夫斯堡
科克倫	閣倫
科布倫茨	科布倫茲
科斯雷	庫賽埃
科爾伍德	高活
科爾切斯特	高車士打
科爾多瓦	哥多華
科爾察	科赤
科爾蒂納丹佩佐	柯蒂納戴比索
科特賴克	科特里克
科珀斯克里斯蒂	聖體市
科米訥	科敏
科納克里	柯那克里
科羅拉多斯普林斯	科羅拉多泉
科羅爾	柯羅
科羅納多	嘉拿多
科芬特里	高雲地利
科赤斯特	高車士打
科隆群島	加拉帕戈斯羣島
穆希丁	慕尤丁
穆斯喬	穆斯佐
穆爾西亞	莫夕亞 莫西亞
突尼斯	突尼西亞
端古·賽義德·西拉杰丁	端姑賽義德·西拉杰丁
端姑賽西拉如丁	端姑賽義德·西拉杰丁
端姑賽西拉祖丁	端姑賽義德·西拉杰丁
符拉迪沃斯托克	海參崴
符茲堡	維爾茨堡
第厄普	迪耶普
第聶伯羅	第尼伯
第聶伯羅彼得羅夫斯克	第尼伯彼得羅夫斯克
策提涅	釆蒂涅
策林根	哲林根
米占	米詹
米占·再納·阿比丁	米詹·扎因·阿比丁
米占再納阿比丁	米詹·扎因·阿比丁
米德斯堡	米杜士堡
米德爾塞克斯	美度息士 美度石士
米德爾斯伯勒	米杜士堡
米德爾斯堡	米杜士堡
米沙鄢	維薩亞斯
米沙鄢人	維薩亞人
米爾果羅德	米爾哥羅德
米爾豪森	慕豪森
米爾頓	苗頓
約克郡	約郡
約塞米蒂	優勝美地
約納河	約訥河
約納省	約訥省
約翰內斯堡	約翰尼斯堡
納什維爾	納士維
納卯市	達沃市
納吉布	納吉
納奈莫	乃磨
納帕尼	納潘尼
納戈爾諾卡拉巴赫	納戈爾諾
納木爾	那慕爾
納次福	諾士佛
納沙泰爾	紐沙特
納瓦拉	納華拉
納茨福德	諾士佛
納蒂靈	尼德寧
納言	納哈揚
納許維爾	納士維
紐卡斯爾	紐卡素
紐卡索	紐卡素
紐沙特	納沙泰爾
紐波特	新港
紐漢	紐咸
紐澤西	新澤西
紐華克	紐瓦克
紐西蘭	新西蘭
索倫托	蘇連多
索利赫爾	梳利侯
索斯蓋特	修夫基
索爾玆伯里	梳士巴利
索爾茲伯里	梳士巴利
索美塞	森麻實
索美塞特	森麻實
索茲伯里	梳士巴利
索韋托	索維托
索頓	薩頓
索馬利亞	索馬里
索馬利蘭	索馬里蘭
累西腓	勒西菲
紹曾德奧克斯	千橡
經濟合作與發展部	經濟合作及發展部
經濟和氣候保護部	經濟事務和氣候行動部
維也納邦	維也納州
維京	處女
維京群島	處女羣島
維吉尼亞	維珍尼亞
維奇	域治
維岡	韋根
維希	維琪
維德角	佛得角
維根	韋根
維爾京	處女
維爾京群島	處女羣島
維特沃斯	韋和夫
維特祖治	韋卓
緬尼托巴	曼尼托巴
羅亞爾河	盧瓦爾河
羅亞羅克桑斯	盧瓦羅克桑斯
羅奇代爾	羅慈地
羅安達	魯安達
羅得島	羅德島
羅得西亞	羅德西亞
羅梭	羅索
羅瑟勒姆	洛達咸
羅索	羅梭
羅里	羅利
美加華蒂	梅加瓦蒂
美因	美茵
美因茨	緬恩斯 美因茲 美茵茲
美因茲	緬恩斯
美巴蒂灘	歡樂暗沙
美景市	比路賀利桑特
美西納	墨西拿
義屬	意屬
義屬利比亞	意屬利比亞
義屬索馬利	意屬索馬里
翁布里亞	温布利亞
翠登	特倫頓
老安道爾	安道爾城
考文垂	高雲地利
考納斯	考那斯
耶也	葉海亞
耶哈也	葉海亞
耶洛奈夫	黃刀鎮
耶羅納夫	黃刀鎮
耶谷	雅柯布
聖伯納迪諾	聖班納甸奴
聖何塞	聖何西
聖克拉拉	聖塔克拉拉
聖克里斯多福及尼維斯	聖基茨和尼維斯
聖勞倫斯	聖羅倫斯 聖老楞佐
聖地亞哥	聖地牙哥
聖地牙哥	聖地亞哥
聖基茨和尼維斯	聖克里斯多福及尼維斯
聖塔菲	聖菲 聖達菲
聖多明各	聖多明哥
聖多明哥	聖多明各
聖多美和普林西比	聖多美普林西比
聖多美普林西比	聖多美和普林西比
聖尤斯特歇斯	聖佑達修斯
聖巴勃羅	聖帕布羅
聖巴瑟米	聖巴泰勒米
聖彼得斯	聖彼得
聖德田	聖伊天
聖文森及格瑞那丁	聖文森特和格林納丁斯
聖波爾坦	聖帕爾滕
聖海蓮娜	聖海倫娜
聖特賴登	聖楚登
聖珀爾滕	聖帕爾滕
聖皮耶	聖皮埃爾
聖皮耶與密克隆	聖皮埃爾和密克隆
聖羅莎	聖羅沙
聖艾蒂安	聖伊天
聖荷西	聖何西
聖菲	聖塔菲 聖達菲 聖非
聖詹姆士	聖占士
聖詹姆斯	聖占士
聖貝納迪諾	聖班納甸奴
聖赫勒拿	聖海倫娜
聖路易	聖路易斯
聖迭戈	聖地亞哥
聖馬利諾	聖馬力諾
聖馬力諾	聖馬利諾
聖馬特奧	聖馬刁
聯邦信息處理標准	聯邦資料處理標準
聶伯	第聶伯
聶伯城	第聶伯羅 第聶伯羅彼得羅夫斯克
聶斯特	德涅斯特
肯亞	肯尼亞
肯尼茲	真尼沙
肯特	根德
臺夫特	代爾夫特
興都教	印度教
舊金山	三藩市
舍伯恩	謝爾本
舒維茲	施維茨
舒茲伯利	什魯斯伯里
艾伯塔	亞伯達
艾伯特	亞厘畢
艾厄士米爾	艾斯美
艾哈邁德	阿末
艾塞克斯	雅息士
艾奧瓦	愛荷華
艾希特	雅息特
艾恩德霍芬	燕豪芬
艾爾姆胡爾特	阿姆霍特
艾珊	愛特咸
艾瑟爾	愛塞
艾肯礁	義淨礁
艾薩	伊薩
艾霍蘭	上荷蘭
艾麗斯斯普林斯	愛麗斯泉
芒廷維尤	山景城
芒特巴克	白加山
芒特甘比爾	甘比爾山
芒特艾薩	伊薩山
芝華塔尼歐	斯華坦尼奧
芬斯伯里	芬士巴利
芬斯伯雷	芬士巴利
芳登廣場	凡登廣場
英吉利海峽	英倫海峽
英屬哥倫比亞	卑詩
英戈爾施塔特	因戈施塔特
茅利塔尼亞	毛里塔尼亞
茨欣瓦利	茲辛瓦利
茨維考	茲維考
茲威考	茲維考
茹埃萊圖爾	茹埃萊都爾
荷屬安的列斯	荷屬安地列斯
荷巴特	荷伯特
莫三比克	莫桑比克
莫哈末	穆罕默德
莫夕亞	莫西亞
莫德伯里	摩保利
莫桑比克	莫三比克
莫洛尼	莫羅尼
莫爾文	茂路凡
莫爾斯比	摩斯比 莫士比
莫爾斯比港	莫士比港
莫策爾	摩策爾
莫迪礁	康西暗沙
莫道克	梅鐸
莫里	慕禮
莫雷阿島	茉莉亞島
華合	瓦哈
華威	和域
菲尼克斯	鳳凰城
菲尼克斯群島	鳳凰羣島
菲希特爾山	費希特山
菲德里克	弗雷德里克
萊斯特	李斯特
萊斯里普	雷士廉
萊普邦	萊普州
萊法邦	萊法州
萊波薩維齊	萊波薩維奇
萊特島	雷伊泰島
萊特灣	雷伊泰灣
萊特省	雷伊泰省
萊茵蘭	萊因蘭
萊蒙格羅韋	檸檬林
萊西訥	列辛
萬·阿齐扎	旺阿茲莎
萬年煙礁	潭門礁
萬象	永珍
萬那杜	瓦努阿圖
落基	洛磯
落磯	洛磯
葉門	也門
葛摩	科摩羅
葛蘭蓋瑞	己連加利
蒂特里加利	茶樹涌
蒂頓	提頓
蒙哲臘	蒙特塞拉特
蒙彼利埃	蒙佩利爾 蒙皮立
蒙得維的亞	蒙特維多
蒙特佩利爾	蒙彼利埃
蒙特內哥羅	黑山
蒙特利爾	滿地可 蒙特婁
蒙特塞拉特	蒙哲臘
蒙特婁	滿地可
蒙特瑞	蒙特雷
蒙皮立	蒙彼利埃
蒙茅斯	萬茂
蒲隆地	布隆迪
蓋威克	格域
蓋特威克	格域
蓋茨黑德	格士黑德
蓋茲赫德	格士黑德
薩丁尼亞	撒丁
薩克其萬	沙斯卡寸旺
薩克拉門托	沙加緬度
薩克森邦	薩克森州
薩塞克斯	修適士
薩安邦	薩安州
薩尼亞	沙尼亞
薩尼奇	沙尼治
薩巴	荷屬沙巴
薩德伯里	瑟比利
薩拉戈薩	沙拉哥薩
薩拉熱窩	塞拉耶佛
薩拉赫丁	沙拉胡丁
薩斯卡渣文	沙斯卡寸旺
薩斯卡通	沙斯加通
薩斯喀屯	沙斯加通
薩斯喀徹溫	沙斯卡寸旺
薩斯奎漢納	薩斯奎哈納
薩爾布呂肯	薩爾布魯根
薩爾斯堡邦	薩爾斯堡州
薩爾特河	薩特河
薩爾特省	薩特省
薩爾茨堡	薩爾斯堡
薩爾茨堡州	薩爾斯堡州
薩爾蘭邦	薩爾蘭州
薩爾邦	薩爾州
薩瑟克	南華克
薩瑟蘭	修打蘭
薩福克	沙福
薩萊諾	薩雷諾
薩蒙阿姆	沙問暗
薩赫爾	薩赫勒
薩那	沙那
薩里	舒梨
薩默塞特	森麻實
藍色海岸	蔚藍海岸
蘇伊士	蘇彞士
蘇伊士運河	蘇彞士運河
蘇克雷	蘇克瑞
蘇加諾	蘇卡諾
蘇哈多	蘇哈托
蘇必利爾	蘇必略
蘭卡斯特	蘭加士打
蘭喬科爾多瓦	科多瓦牧場
蘭茨胡特	蘭休特
蘭貝斯	琳寶
蘭開斯特	蘭加士打
衛氏朝鮮	衞氏朝鮮
衛滿朝鮮	衞滿朝鮮
衣索比亞	埃塞俄比亞
西伐利亞	西法倫
西利西亞	西里西亞
西南非洲	西南非
西哥特	西哥德
西密卡米恩	西米卡綿
西布礁	簸箕礁
西拉如丁	西拉杰丁
西拉祖丁	西拉杰丁
西斯凱	希斯凱
西漢姆	韋斯咸
西澳大利亞州	西澳州
西發利亞	西法倫
西罕	韋斯咸
訥沙托	紐沙特
訥沙泰勒	紐沙特
訥韋爾	尼維爾
設得蘭	昔德蘭 泄蘭
設德蘭	昔德蘭 泄蘭
詹姆士	占士
詹姆士暗沙	曾母暗沙
詹姆斯	占士
諾丁漢	諾定咸
諾丁罕	諾丁漢 諾定咸
諾伊馬克特	紐馬赫
諾伍德	諾活
諾威治	諾域治
諾曼底	諾曼第
諾瓦斯科舍	諾華斯高沙
諾里奇	諾域治
諾魯	瑙魯
謝菲爾德	錫菲
謝赫·穆扎法尔	錫慕查化
譚沃思	譚禾夫
讓布盧	戎布魯
象牙海岸	科特迪瓦
豪恩斯洛	豪士羅
貝傑拉克	貝爾熱拉克
貝克島	必嘉島
貝克街	必嘉街
貝南	貝寧
貝司蘭	別斯蘭
貝夫諾格林	貝夫農綠地
貝德福	百福
貝德福德	百福
貝思納爾綠地	貝夫農綠地
貝洛奧里藏特	比路賀利桑特
貝洛納	貝羅那
貝爾格勒	貝爾格萊德
貝爾維尤	柏衞
貝爾莫潘	貝爾墨邦
貝爾訥姆	貝爾嫩
貝肯翠	碧勤翠
貝里斯	伯利茲
貝隆納	貝羅那
貝靈恩	白令根
貢比涅	康比涅
費爾特姆	費特咸
賓夕法尼亞	賓夕凡尼亞
賓茨	賓茲
賴比瑞亞	利比里亞
賴索托	萊索托
賴興瑙	萊赫瑙
賴謝瑙	萊赫瑙
賽夫	賽義夫
賽慕查化	錫慕查化
賽普勒斯	塞浦路斯
賽益	薩伊德
賽義德	薩伊德
赤斯特街	切斯特勒街
赤斯特非	車士打菲特
赫內	黑爾訥
赫塞哥維納	黑塞哥維那
赫拉克勒斯	海克力斯
赫爾河	侯河
赫爾河畔京斯惇	侯城
赫爾河畔金斯惇	侯城
赫特福德	赫福
赫瑞福	禧福 赫福
赫羅納	基羅納
赫里福德	禧福
路易士港	路易港
路易斯罕	路易咸
路易港	路易士港
車尼夫契	切爾諾夫策
車諾比	切爾諾貝爾
辛巴威	津巴布韋
辛菲羅波爾	辛菲洛普
辛費羅波爾	辛菲羅波爾
迪克斯邁德	迪克斯木德
迪凱特	第開特
迪勃拉	第巴爾
迪爾多夫	迪爾道夫
通托維	湯多威
道森克里克	多臣隙
道森河	多臣隙
道菲	陶菲克
道里	道裏
道里區	道裏區
達佛	達爾富爾
達勒姆	對衡 德罕
達喀爾	達卡
達姆施塔特	達姆城
達弗林	德芙靈
達拉謨	對衡
達根罕	杜根咸
達格納姆	杜根咸
達爾豪斯	戴爾豪斯
達累斯薩拉姆	三蘭港
達豪	達浩
達雅克	達雅
邁阿密	邁亞密
那不勒斯	拿坡里
那米比亞	納米比亞
鄧巴	登巴
鄧巴頓	東寶庭
鄧肯	黨近
鄧迪	登地
鄧達斯	登打士
釆倫多夫	釆倫道夫
里士滿	列治文
里奇蒙	列治文
里希坦伯格	利希滕貝格
里朗威	利隆威
里東礁	北安礁
里耳	里爾
里茲	列斯
里賈納	利載拿
金夏沙	金沙薩
金奈	清奈
金斯惇	京士惇 京士頓
金斯頓	京士頓
金石城	京士頓
釣魚島	釣魚台
釣魚島及其附屬島嶼	釣魚台及其附屬島嶼
釣魚臺	釣魚台
釣魚臺列嶼	釣魚台及其附屬島嶼
錫姆科	閃高
錫巴頓	非百惇
錫德納姆	薛鄧咸
錫根	席根
錫格堡	希格堡
錫格馬林根	西格馬林根
錫瓦塔內霍	斯華坦尼奧
錫耶納	西恩納
錫里斯	席瑞絲
門洛帕克	門洛公園
門興格拉德巴赫	慕遜加柏
開姆尼茨	真尼沙
開雲	皆因
阿什哈巴特	阿什哈巴德
阿什福德	亞士霍
阿什莫爾和卡捷	亞什摩及卡地爾
阿伯丁	鴨巴甸
阿伯尼	雅賓利
阿伯茨福德	亞博斯福
阿倫	鴉蘭
阿克提卡	奧赫蒂爾卡
阿克羅蒂里	阿克魯帝利
阿克羅蒂里和澤凱利亞	亞克羅提利與德凱利亞 阿克魯帝利及德基利亞
阿克頓	厄頓
阿卜杜勒-阿齊玆	阿卜杜勒-阿齊茲
阿卜杜勒·拉希姆	阿都拉欣
阿卜杜勒·拉扎克	阿都拉薩
阿卜杜勒·拉赫曼	阿都拉曼
阿卜杜勒·阿齊玆	阿卜杜勒·阿齊茲
阿卜杜拉·巴達維	阿卜杜拉·巴達威
阿卜耶伊	艾卜耶
阿因維克	安域
阿基坦	亞奎丹
阿塔卡馬	阿他加馬
阿姆哈拉	岩哈拉
阿姆斯特朗	暗士黨
阿姆胡特	阿姆霍特
阿威	阿爾維
阿密達	阿米代爾
阿布·巴卡爾	阿布巴卡爾
阿布加	阿布賈
阿布奎基	阿爾伯克基
阿布峇卡	阿布巴卡爾
阿布巴卡	阿布巴卡爾
阿布達比	阿布扎比
阿布都	阿卜杜勒
阿布都-阿濟茲	阿卜杜勒-阿齊茲
阿布都·阿濟茲	阿卜杜勒·阿齊茲
阿布都拉	阿卜杜拉
阿布都拉·巴達威	阿卜杜拉·巴達威
阿布都拉曼	阿都拉曼
阿得雷德	阿德萊得 阿德萊德
阿德萊德	阿德萊得
阿必尚	阿比讓
阿拉伯埃及共和國	埃及阿拉伯共和國
阿拉伯聯合大公國	阿拉伯聯合酋長國
阿拉姆	阿蘭
阿拉巴馬	亞拉巴馬
阿拉梅達	阿拉米達
阿拉貢	亞拉岡
阿斯馬拉	阿斯瑪拉
阿方索克勞迪烏	亞豐素克勞迪烏
阿比路	艾比路
阿濟茲	阿齊茲
阿爾伯塔	亞伯達
阿爾伯特	亞厘畢
阿爾勒	亞爾
阿爾戈納	阿哥納
阿爾梅勒	阿梅爾
阿爾派恩	阿爾卑斯
阿爾薩斯	亞爾薩斯
阿爾費爾德	阿費爾德
阿特沃特	艾特瓦特
阿玆	阿齊茲
阿玆敏	阿茲敏
阿玆莎	阿茲莎
阿玆蘭	阿茲蘭
阿登	亞爾丁
阿登森林	亞爾丁森林
阿皮亞	阿庇亞
阿省	亞省
阿納海姆	安納海姆
阿維尼翁	亞維農
阿聯	阿聯酋
阿育	阿尤布
阿芝莎	阿茲莎
阿蓋爾	亞皆老
阿訥西	安錫
阿迪斯阿貝巴	亞的斯亞貝巴
阿都	阿卜杜勒
阿都·拉欣	阿都拉欣
阿都·拉薩	阿都拉薩
阿都拉	阿卜杜拉
阿都拉·巴達威	阿卜杜拉·巴達威
阿都阿玆	阿卜杜勒-阿齊茲
阿都阿玆	阿卜杜勒·阿齊茲
阿都馬力	阿卜杜勒·馬利克
阿順礁	海康暗沙
阿風索克勞迪歐	亞豐素克勞迪烏
阿馬爾菲	阿瑪菲
阿齊扎	阿茲莎
阿齊玆	阿齊茲
陶爾哈姆萊茨	塔村
隆河	羅訥河
隆河新堡	羅訥新堡
隆河省	羅訥省
隆達省	倫達省
隱波暗沙	隠波暗沙
雀西	翠絲
雅也	葉海亞
雅各布	雅柯布
雅恩德	雅温得
雅爾塔	雅爾達
雅耶	葉海亞
雅連	亞倫
雪柏	謝潑德
雪梨	悉尼
雪菲爾	錫菲
雷伊泰島	雷伊泰灣
雷克斯漢姆	域斯咸
雷克瑟姆	域斯咸
雷克雅維克	雷克雅未克
雷吉納	利載拿
雷德伍德城	紅木城
雷德布里奇	紅橋
雷格尼茨河	雷格尼茲河
霍夫	荷甫
霍尼亞拉	荷尼阿拉
霍巴特	荷伯特
霍爾斯坦	荷爾斯泰因
霍赫斯特拉滕	胡格斯特拉頓
韋克菲爾德	域菲 域菲路
韋斯特比奇	西灘
韋爾登拉特	威登拉特
韋爾維耶	弗威耶
韋爾菲克	威維克
韋維爾	威埠
韋茨拉爾	威茲拉爾
韓國	南韓
韓國以及朝鮮	南韓以及北韓
韓國及朝鮮	南韓及北韓
韓國同朝鮮	南韓同北韓
韓國和朝鮮	南韓和北韓
韓國科學技朮院	韓國科學技術院
韓國與朝鮮	南韓與北韓
韓方	南韓方面
韓裔	南韓裔
頓內次	頓涅茨
頓內次克	頓涅茨克
頓內茨克	頓涅茨克
飛瀨	飛嶼
食品和農業部	食品及農業部
馬丁內斯	馬丁尼茲
馬丁尼克	馬提尼克
馬什	馬爾什
馬來西亞總理	馬來西亞首相
馬卡蒂	馬卡迪
馬哈地	馬哈迪
馬哈蒂爾	馬哈迪
馬塞盧	馬賽魯
馬尼圖林	緬尼圖連
馬恩島	萌島
馬拉威	馬拉維
馬拉維	馬拉威
馬斯垂克	馬斯特里赫特
馬斯河	馬士河
馬普托	馬布多
馬末	馬哈茂德
馬朱羅	馬久羅
馬格德堡	馬德堡
馬爾他	馬耳他
馬爾凱	馬凱
馬爾地夫	馬爾代夫
馬爾默	馬爾摩
馬耳他	馬爾他
馬薩諸塞	麻薩諸塞
馬薩諸塞州	麻省
馬那瓜	馬納瓜
馬里亞納	馬利安納
馬里蘭	馬利蘭
馬魯古	摩鹿加
魏爾堡	威爾堡
魏瑪	威瑪
魯安達	羅安達
魯梅爾斯堡	魯梅斯堡
鯨灣港	華維斯灣
麥克墨雷	麥梅利
麥克默里	麥梅利
麥吉爾	麥基爾
麥納麥	麥納瑪
麥考瑞	麥覺理
麻六甲	馬六甲
麻薩諸塞州	麻省
黑斯廷斯	喜士定
黑林山	黑森林
黑森邦	黑森州
黑潭	黑池
黑爾舍姆	海爾斯罕
默塞德	美熹德
