# Open Chinese Convert (OpenCC) Dictionary
# File: CJK_Compatibility_Ideographs.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://www.unicode.org/Public/UCD/latest/ucd/UnicodeData.txt (accessed 2026-06-07)
# Used in configs: all built-in configs (hk2s, hk2sp, hk2t, jp2t, s2hk, s2hkp,
#   s2t, s2tw, s2twp, t2hk, t2jp, t2s, t2tw, tw2s, tw2sp, tw2t) via the
#   normalization field, which runs this dictionary as a pre-pass before
#   segmentation and conversion.
# Compatible OpenCC implementations are encouraged to apply the same
#   normalization pre-pass so that CJK Compatibility Ideograph input is handled
#   consistently across implementations.
#
# Notes:
# - This file maps CJK Compatibility Ideographs to their UnicodeData
#   decomposition targets, normalizing compatibility forms to standard
#   CJK unified ideographs before the main conversion chain runs.
# - It is also used as a reference table for tests and audits, including
#   checks that prevent regular dictionaries from accidentally adding
#   incorrect compatibility ideograph mappings.
# - Includes both the BMP block (U+F900–U+FAFF) and the CJK Compatibility
#   Ideographs Supplement block (U+2F800–U+2FA1F).
# - The following CJK Compatibility Ideographs have no decomposition
#   mapping in UnicodeData.txt and are therefore not listed as entries:
#   﨎 U+FA0E CJK COMPATIBILITY IDEOGRAPH-FA0E
#   﨏 U+FA0F CJK COMPATIBILITY IDEOGRAPH-FA0F
#   﨑 U+FA11 CJK COMPATIBILITY IDEOGRAPH-FA11
#   﨓 U+FA13 CJK COMPATIBILITY IDEOGRAPH-FA13
#   﨔 U+FA14 CJK COMPATIBILITY IDEOGRAPH-FA14
#   﨟 U+FA1F CJK COMPATIBILITY IDEOGRAPH-FA1F
#   﨡 U+FA21 CJK COMPATIBILITY IDEOGRAPH-FA21
#   﨣 U+FA23 CJK COMPATIBILITY IDEOGRAPH-FA23
#   﨤 U+FA24 CJK COMPATIBILITY IDEOGRAPH-FA24
#   﨧 U+FA27 CJK COMPATIBILITY IDEOGRAPH-FA27
#   﨨 U+FA28 CJK COMPATIBILITY IDEOGRAPH-FA28
#   﨩 U+FA29 CJK COMPATIBILITY IDEOGRAPH-FA29

# CJK Compatibility Ideographs
# 豈 U+F900 -> 豈 U+8C48
豈	豈
# 蝹 U+FAB5 -> 蝹 U+8779
蝹	蝹
# 襁 U+FAB6 -> 襁 U+8941
襁	襁
# 覆 U+FAB7 -> 覆 U+8986
覆	覆
# 視 U+FAB8 -> 視 U+8996
視	視
# 調 U+FAB9 -> 調 U+8ABF
調	調
# 諸 U+FABA -> 諸 U+8AF8
諸	諸
# 請 U+FABB -> 請 U+8ACB
請	請
# 謁 U+FABC -> 謁 U+8B01
謁	謁
# 諾 U+FABD -> 諾 U+8AFE
諾	諾
# 諭 U+FABE -> 諭 U+8AED
諭	諭
# 謹 U+FABF -> 謹 U+8B39
謹	謹
# 變 U+FAC0 -> 變 U+8B8A
變	變
# 贈 U+FAC1 -> 贈 U+8D08
贈	贈
# 輸 U+FAC2 -> 輸 U+8F38
輸	輸
# 遲 U+FAC3 -> 遲 U+9072
遲	遲
# 醙 U+FAC4 -> 醙 U+9199
醙	醙
# 鉶 U+FAC5 -> 鉶 U+9276
鉶	鉶
# 陼 U+FAC6 -> 陼 U+967C
陼	陼
# 難 U+FAC7 -> 難 U+96E3
難	難
# 靖 U+FAC8 -> 靖 U+9756
靖	靖
# 韛 U+FAC9 -> 韛 U+97DB
韛	韛
# 響 U+FACA -> 響 U+97FF
響	響
# 頋 U+FACB -> 頋 U+980B
頋	頋
# 頻 U+FACC -> 頻 U+983B
頻	頻
# 鬒 U+FACD -> 鬒 U+9B12
鬒	鬒
# 龜 U+FACE -> 龜 U+9F9C
龜	龜
# 𢡊 U+FACF -> 𢡊 U+2284A
𢡊	𢡊
# 𢡄 U+FAD0 -> 𢡄 U+22844
𢡄	𢡄
# 𣏕 U+FAD1 -> 𣏕 U+233D5
𣏕	𣏕
# 㮝 U+FAD2 -> 㮝 U+3B9D
㮝	㮝
# 䀘 U+FAD3 -> 䀘 U+4018
䀘	䀘
# 䀹 U+FAD4 -> 䀹 U+4039
䀹	䀹
# 𥉉 U+FAD5 -> 𥉉 U+25249
𥉉	𥉉
# 𥳐 U+FAD6 -> 𥳐 U+25CD0
𥳐	𥳐
# 𧻓 U+FAD7 -> 𧻓 U+27ED3
𧻓	𧻓
# 齃 U+FAD8 -> 齃 U+9F43
齃	齃
# 龎 U+FAD9 -> 龎 U+9F8E
龎	龎

# CJK Compatibility Ideographs Supplement
# 丽 U+2F800 -> 丽 U+4E3D
丽	丽
# 丸 U+2F801 -> 丸 U+4E38
丸	丸
# 乁 U+2F802 -> 乁 U+4E41
乁	乁
# 𠄢 U+2F803 -> 𠄢 U+20122
𠄢	𠄢
# 你 U+2F804 -> 你 U+4F60
你	你
# 侮 U+2F805 -> 侮 U+4FAE
侮	侮
# 侻 U+2F806 -> 侻 U+4FBB
侻	侻
# 倂 U+2F807 -> 倂 U+5002
倂	倂
# 偺 U+2F808 -> 偺 U+507A
偺	偺
# 備 U+2F809 -> 備 U+5099
備	備
# 僧 U+2F80A -> 僧 U+50E7
僧	僧
# 像 U+2F80B -> 像 U+50CF
像	像
# 㒞 U+2F80C -> 㒞 U+349E
㒞	㒞
# 𠘺 U+2F80D -> 𠘺 U+2063A
𠘺	𠘺
# 免 U+2F80E -> 免 U+514D
免	免
# 兔 U+2F80F -> 兔 U+5154
兔	兔
# 兤 U+2F810 -> 兤 U+5164
兤	兤
# 具 U+2F811 -> 具 U+5177
具	具
# 𠔜 U+2F812 -> 𠔜 U+2051C
𠔜	𠔜
# 㒹 U+2F813 -> 㒹 U+34B9
㒹	㒹
# 內 U+2F814 -> 內 U+5167
內	內
# 再 U+2F815 -> 再 U+518D
再	再
# 𠕋 U+2F816 -> 𠕋 U+2054B
𠕋	𠕋
# 冗 U+2F817 -> 冗 U+5197
冗	冗
# 冤 U+2F818 -> 冤 U+51A4
冤	冤
# 仌 U+2F819 -> 仌 U+4ECC
仌	仌
# 冬 U+2F81A -> 冬 U+51AC
冬	冬
# 况 U+2F81B -> 况 U+51B5
况	况
# 𩇟 U+2F81C -> 𩇟 U+291DF
𩇟	𩇟
# 凵 U+2F81D -> 凵 U+51F5
凵	凵
# 刃 U+2F81E -> 刃 U+5203
刃	刃
# 㓟 U+2F81F -> 㓟 U+34DF
㓟	㓟
# 刻 U+2F820 -> 刻 U+523B
刻	刻
# 剆 U+2F821 -> 剆 U+5246
剆	剆
# 割 U+2F822 -> 割 U+5272
割	割
# 剷 U+2F823 -> 剷 U+5277
剷	剷
# 㔕 U+2F824 -> 㔕 U+3515
㔕	㔕
# 勇 U+2F825 -> 勇 U+52C7
勇	勇
# 勉 U+2F826 -> 勉 U+52C9
勉	勉
# 勤 U+2F827 -> 勤 U+52E4
勤	勤
# 勺 U+2F828 -> 勺 U+52FA
勺	勺
# 包 U+2F829 -> 包 U+5305
包	包
# 匆 U+2F82A -> 匆 U+5306
匆	匆
# 北 U+2F82B -> 北 U+5317
北	北
# 卉 U+2F82C -> 卉 U+5349
卉	卉
# 卑 U+2F82D -> 卑 U+5351
卑	卑
# 博 U+2F82E -> 博 U+535A
博	博
# 即 U+2F82F -> 即 U+5373
即	即
# 卽 U+2F830 -> 卽 U+537D
卽	卽
# 卿 U+2F831 -> 卿 U+537F
卿	卿
# 卿 U+2F832 -> 卿 U+537F
卿	卿
# 卿 U+2F833 -> 卿 U+537F
卿	卿
# 𠨬 U+2F834 -> 𠨬 U+20A2C
𠨬	𠨬
# 灰 U+2F835 -> 灰 U+7070
灰	灰
# 及 U+2F836 -> 及 U+53CA
及	及
# 叟 U+2F837 -> 叟 U+53DF
叟	叟
# 𠭣 U+2F838 -> 𠭣 U+20B63
𠭣	𠭣
# 叫 U+2F839 -> 叫 U+53EB
叫	叫
# 叱 U+2F83A -> 叱 U+53F1
叱	叱
# 吆 U+2F83B -> 吆 U+5406
吆	吆
# 咞 U+2F83C -> 咞 U+549E
咞	咞
# 吸 U+2F83D -> 吸 U+5438
吸	吸
# 呈 U+2F83E -> 呈 U+5448
呈	呈
# 周 U+2F83F -> 周 U+5468
周	周
# 咢 U+2F840 -> 咢 U+54A2
咢	咢
# 哶 U+2F841 -> 哶 U+54F6
哶	哶
# 唐 U+2F842 -> 唐 U+5510
唐	唐
# 啓 U+2F843 -> 啓 U+5553
啓	啓
# 啣 U+2F844 -> 啣 U+5563
啣	啣
# 善 U+2F845 -> 善 U+5584
善	善
# 善 U+2F846 -> 善 U+5584
善	善
# 喙 U+2F847 -> 喙 U+5599
喙	喙
# 喫 U+2F848 -> 喫 U+55AB
喫	喫
# 喳 U+2F849 -> 喳 U+55B3
喳	喳
# 嗂 U+2F84A -> 嗂 U+55C2
嗂	嗂
# 圖 U+2F84B -> 圖 U+5716
圖	圖
# 嘆 U+2F84C -> 嘆 U+5606
嘆	嘆
# 圗 U+2F84D -> 圗 U+5717
圗	圗
# 噑 U+2F84E -> 噑 U+5651
噑	噑
# 噴 U+2F84F -> 噴 U+5674
噴	噴
# 切 U+2F850 -> 切 U+5207
切	切
# 壮 U+2F851 -> 壮 U+58EE
壮	壮
# 城 U+2F852 -> 城 U+57CE
城	城
# 埴 U+2F853 -> 埴 U+57F4
埴	埴
# 堍 U+2F854 -> 堍 U+580D
堍	堍
# 型 U+2F855 -> 型 U+578B
型	型
# 堲 U+2F856 -> 堲 U+5832
堲	堲
# 報 U+2F857 -> 報 U+5831
報	報
# 墬 U+2F858 -> 墬 U+58AC
墬	墬
# 𡓤 U+2F859 -> 𡓤 U+214E4
𡓤	𡓤
# 売 U+2F85A -> 売 U+58F2
売	売
# 壷 U+2F85B -> 壷 U+58F7
壷	壷
# 夆 U+2F85C -> 夆 U+5906
夆	夆
# 多 U+2F85D -> 多 U+591A
多	多
# 夢 U+2F85E -> 夢 U+5922
夢	夢
# 奢 U+2F85F -> 奢 U+5962
奢	奢
# 𡚨 U+2F860 -> 𡚨 U+216A8
𡚨	𡚨
# 𡛪 U+2F861 -> 𡛪 U+216EA
𡛪	𡛪
# 姬 U+2F862 -> 姬 U+59EC
姬	姬
# 娛 U+2F863 -> 娛 U+5A1B
娛	娛
# 娧 U+2F864 -> 娧 U+5A27
娧	娧
# 姘 U+2F865 -> 姘 U+59D8
姘	姘
# 婦 U+2F866 -> 婦 U+5A66
婦	婦
# 㛮 U+2F867 -> 㛮 U+36EE
㛮	㛮
# 㛼 U+2F868 -> 㛼 U+36FC
㛼	㛼
# 嬈 U+2F869 -> 嬈 U+5B08
嬈	嬈
# 嬾 U+2F86A -> 嬾 U+5B3E
嬾	嬾
# 嬾 U+2F86B -> 嬾 U+5B3E
嬾	嬾
# 𡧈 U+2F86C -> 𡧈 U+219C8
𡧈	𡧈
# 寃 U+2F86D -> 寃 U+5BC3
寃	寃
# 寘 U+2F86E -> 寘 U+5BD8
寘	寘
# 寧 U+2F86F -> 寧 U+5BE7
寧	寧
# 寳 U+2F870 -> 寳 U+5BF3
寳	寳
# 𡬘 U+2F871 -> 𡬘 U+21B18
𡬘	𡬘
# 寿 U+2F872 -> 寿 U+5BFF
寿	寿
# 将 U+2F873 -> 将 U+5C06
将	将
# 当 U+2F874 -> 当 U+5F53
当	当
# 尢 U+2F875 -> 尢 U+5C22
尢	尢
# 㞁 U+2F876 -> 㞁 U+3781
㞁	㞁
# 屠 U+2F877 -> 屠 U+5C60
屠	屠
# 屮 U+2F878 -> 屮 U+5C6E
屮	屮
# 峀 U+2F879 -> 峀 U+5CC0
峀	峀
# 岍 U+2F87A -> 岍 U+5C8D
岍	岍
# 𡷤 U+2F87B -> 𡷤 U+21DE4
𡷤	𡷤
# 嵃 U+2F87C -> 嵃 U+5D43
嵃	嵃
# 𡷦 U+2F87D -> 𡷦 U+21DE6
𡷦	𡷦
# 嵮 U+2F87E -> 嵮 U+5D6E
嵮	嵮
# 嵫 U+2F87F -> 嵫 U+5D6B
嵫	嵫
# 嵼 U+2F880 -> 嵼 U+5D7C
嵼	嵼
# 巡 U+2F881 -> 巡 U+5DE1
巡	巡
# 巢 U+2F882 -> 巢 U+5DE2
巢	巢
# 㠯 U+2F883 -> 㠯 U+382F
㠯	㠯
# 巽 U+2F884 -> 巽 U+5DFD
巽	巽
# 帨 U+2F885 -> 帨 U+5E28
帨	帨
# 帽 U+2F886 -> 帽 U+5E3D
帽	帽
# 幩 U+2F887 -> 幩 U+5E69
幩	幩
# 㡢 U+2F888 -> 㡢 U+3862
㡢	㡢
# 𢆃 U+2F889 -> 𢆃 U+22183
𢆃	𢆃
# 㡼 U+2F88A -> 㡼 U+387C
㡼	㡼
# 庰 U+2F88B -> 庰 U+5EB0
庰	庰
# 庳 U+2F88C -> 庳 U+5EB3
庳	庳
# 庶 U+2F88D -> 庶 U+5EB6
庶	庶
# 廊 U+2F88E -> 廊 U+5ECA
廊	廊
# 𪎒 U+2F88F -> 𪎒 U+2A392
𪎒	𪎒
# 廾 U+2F890 -> 廾 U+5EFE
廾	廾
# 𢌱 U+2F891 -> 𢌱 U+22331
𢌱	𢌱
# 𢌱 U+2F892 -> 𢌱 U+22331
𢌱	𢌱
# 舁 U+2F893 -> 舁 U+8201
舁	舁
# 弢 U+2F894 -> 弢 U+5F22
弢	弢
# 弢 U+2F895 -> 弢 U+5F22
弢	弢
# 㣇 U+2F896 -> 㣇 U+38C7
㣇	㣇
# 𣊸 U+2F897 -> 𣊸 U+232B8
𣊸	𣊸
# 𦇚 U+2F898 -> 𦇚 U+261DA
𦇚	𦇚
# 形 U+2F899 -> 形 U+5F62
形	形
# 彫 U+2F89A -> 彫 U+5F6B
彫	彫
# 㣣 U+2F89B -> 㣣 U+38E3
㣣	㣣
# 徚 U+2F89C -> 徚 U+5F9A
徚	徚
# 忍 U+2F89D -> 忍 U+5FCD
忍	忍
# 志 U+2F89E -> 志 U+5FD7
志	志
# 忹 U+2F89F -> 忹 U+5FF9
忹	忹
# 悁 U+2F8A0 -> 悁 U+6081
悁	悁
# 㤺 U+2F8A1 -> 㤺 U+393A
㤺	㤺
# 㤜 U+2F8A2 -> 㤜 U+391C
㤜	㤜
# 悔 U+2F8A3 -> 悔 U+6094
悔	悔
# 𢛔 U+2F8A4 -> 𢛔 U+226D4
𢛔	𢛔
# 惇 U+2F8A5 -> 惇 U+60C7
惇	惇
# 慈 U+2F8A6 -> 慈 U+6148
慈	慈
# 慌 U+2F8A7 -> 慌 U+614C
慌	慌
# 慎 U+2F8A8 -> 慎 U+614E
慎	慎
# 慌 U+2F8A9 -> 慌 U+614C
慌	慌
# 慺 U+2F8AA -> 慺 U+617A
慺	慺
# 憎 U+2F8AB -> 憎 U+618E
憎	憎
# 憲 U+2F8AC -> 憲 U+61B2
憲	憲
# 憤 U+2F8AD -> 憤 U+61A4
憤	憤
# 憯 U+2F8AE -> 憯 U+61AF
憯	憯
# 懞 U+2F8AF -> 懞 U+61DE
懞	懞
# 懲 U+2F8B0 -> 懲 U+61F2
懲	懲
# 懶 U+2F8B1 -> 懶 U+61F6
懶	懶
# 成 U+2F8B2 -> 成 U+6210
成	成
# 戛 U+2F8B3 -> 戛 U+621B
戛	戛
# 扝 U+2F8B4 -> 扝 U+625D
扝	扝
# 抱 U+2F8B5 -> 抱 U+62B1
抱	抱
# 拔 U+2F8B6 -> 拔 U+62D4
拔	拔
# 捐 U+2F8B7 -> 捐 U+6350
捐	捐
# 𢬌 U+2F8B8 -> 𢬌 U+22B0C
𢬌	𢬌
# 挽 U+2F8B9 -> 挽 U+633D
挽	挽
# 拼 U+2F8BA -> 拼 U+62FC
拼	拼
# 捨 U+2F8BB -> 捨 U+6368
捨	捨
# 掃 U+2F8BC -> 掃 U+6383
掃	掃
# 揤 U+2F8BD -> 揤 U+63E4
揤	揤
# 𢯱 U+2F8BE -> 𢯱 U+22BF1
𢯱	𢯱
# 搢 U+2F8BF -> 搢 U+6422
搢	搢
# 揅 U+2F8C0 -> 揅 U+63C5
揅	揅
# 掩 U+2F8C1 -> 掩 U+63A9
掩	掩
# 㨮 U+2F8C2 -> 㨮 U+3A2E
㨮	㨮
# 摩 U+2F8C3 -> 摩 U+6469
摩	摩
# 摾 U+2F8C4 -> 摾 U+647E
摾	摾
# 撝 U+2F8C5 -> 撝 U+649D
撝	撝
# 摷 U+2F8C6 -> 摷 U+6477
摷	摷
# 㩬 U+2F8C7 -> 㩬 U+3A6C
㩬	㩬
# 敏 U+2F8C8 -> 敏 U+654F
敏	敏
# 敬 U+2F8C9 -> 敬 U+656C
敬	敬
# 𣀊 U+2F8CA -> 𣀊 U+2300A
𣀊	𣀊
# 旣 U+2F8CB -> 旣 U+65E3
旣	旣
# 書 U+2F8CC -> 書 U+66F8
書	書
# 晉 U+2F8CD -> 晉 U+6649
晉	晉
# 㬙 U+2F8CE -> 㬙 U+3B19
㬙	㬙
# 暑 U+2F8CF -> 暑 U+6691
暑	暑
# 㬈 U+2F8D0 -> 㬈 U+3B08
㬈	㬈
# 㫤 U+2F8D1 -> 㫤 U+3AE4
㫤	㫤
# 冒 U+2F8D2 -> 冒 U+5192
冒	冒
# 冕 U+2F8D3 -> 冕 U+5195
冕	冕
# 最 U+2F8D4 -> 最 U+6700
最	最
# 暜 U+2F8D5 -> 暜 U+669C
暜	暜
# 肭 U+2F8D6 -> 肭 U+80AD
肭	肭
# 䏙 U+2F8D7 -> 䏙 U+43D9
䏙	䏙
# 朗 U+2F8D8 -> 朗 U+6717
朗	朗
# 望 U+2F8D9 -> 望 U+671B
望	望
# 朡 U+2F8DA -> 朡 U+6721
朡	朡
# 杞 U+2F8DB -> 杞 U+675E
杞	杞
# 杓 U+2F8DC -> 杓 U+6753
杓	杓
# 𣏃 U+2F8DD -> 𣏃 U+233C3
𣏃	𣏃
# 㭉 U+2F8DE -> 㭉 U+3B49
㭉	㭉
# 柺 U+2F8DF -> 柺 U+67FA
柺	柺
# 枅 U+2F8E0 -> 枅 U+6785
枅	枅
# 桒 U+2F8E1 -> 桒 U+6852
桒	桒
# 梅 U+2F8E2 -> 梅 U+6885
梅	梅
# 𣑭 U+2F8E3 -> 𣑭 U+2346D
𣑭	𣑭
# 梎 U+2F8E4 -> 梎 U+688E
梎	梎
# 栟 U+2F8E5 -> 栟 U+681F
栟	栟
# 椔 U+2F8E6 -> 椔 U+6914
椔	椔
# 㮝 U+2F8E7 -> 㮝 U+3B9D
㮝	㮝
# 楂 U+2F8E8 -> 楂 U+6942
楂	楂
# 榣 U+2F8E9 -> 榣 U+69A3
榣	榣
# 槪 U+2F8EA -> 槪 U+69EA
槪	槪
# 檨 U+2F8EB -> 檨 U+6AA8
檨	檨
# 𣚣 U+2F8EC -> 𣚣 U+236A3
𣚣	𣚣
# 櫛 U+2F8ED -> 櫛 U+6ADB
櫛	櫛
# 㰘 U+2F8EE -> 㰘 U+3C18
㰘	㰘
# 次 U+2F8EF -> 次 U+6B21
次	次
# 𣢧 U+2F8F0 -> 𣢧 U+238A7
𣢧	𣢧
# 歔 U+2F8F1 -> 歔 U+6B54
歔	歔
# 㱎 U+2F8F2 -> 㱎 U+3C4E
㱎	㱎
# 歲 U+2F8F3 -> 歲 U+6B72
歲	歲
# 殟 U+2F8F4 -> 殟 U+6B9F
殟	殟
# 殺 U+2F8F5 -> 殺 U+6BBA
殺	殺
# 殻 U+2F8F6 -> 殻 U+6BBB
殻	殻
# 𣪍 U+2F8F7 -> 𣪍 U+23A8D
𣪍	𣪍
# 𡴋 U+2F8F8 -> 𡴋 U+21D0B
𡴋	𡴋
# 𣫺 U+2F8F9 -> 𣫺 U+23AFA
𣫺	𣫺
# 汎 U+2F8FA -> 汎 U+6C4E
汎	汎
# 𣲼 U+2F8FB -> 𣲼 U+23CBC
𣲼	𣲼
# 沿 U+2F8FC -> 沿 U+6CBF
沿	沿
# 泍 U+2F8FD -> 泍 U+6CCD
泍	泍
# 汧 U+2F8FE -> 汧 U+6C67
汧	汧
# 洖 U+2F8FF -> 洖 U+6D16
洖	洖
# 派 U+2F900 -> 派 U+6D3E
派	派
# 海 U+2F901 -> 海 U+6D77
海	海
# 流 U+2F902 -> 流 U+6D41
流	流
# 浩 U+2F903 -> 浩 U+6D69
浩	浩
# 浸 U+2F904 -> 浸 U+6D78
浸	浸
# 涅 U+2F905 -> 涅 U+6D85
涅	涅
# 𣴞 U+2F906 -> 𣴞 U+23D1E
𣴞	𣴞
# 洴 U+2F907 -> 洴 U+6D34
洴	洴
# 港 U+2F908 -> 港 U+6E2F
港	港
# 湮 U+2F909 -> 湮 U+6E6E
湮	湮
# 㴳 U+2F90A -> 㴳 U+3D33
㴳	㴳
# 滋 U+2F90B -> 滋 U+6ECB
滋	滋
# 滇 U+2F90C -> 滇 U+6EC7
滇	滇
# 𣻑 U+2F90D -> 𣻑 U+23ED1
𣻑	𣻑
# 淹 U+2F90E -> 淹 U+6DF9
淹	淹
# 潮 U+2F90F -> 潮 U+6F6E
潮	潮
# 𣽞 U+2F910 -> 𣽞 U+23F5E
𣽞	𣽞
# 𣾎 U+2F911 -> 𣾎 U+23F8E
𣾎	𣾎
# 濆 U+2F912 -> 濆 U+6FC6
濆	濆
# 瀹 U+2F913 -> 瀹 U+7039
瀹	瀹
# 瀞 U+2F914 -> 瀞 U+701E
瀞	瀞
# 瀛 U+2F915 -> 瀛 U+701B
瀛	瀛
# 㶖 U+2F916 -> 㶖 U+3D96
㶖	㶖
# 灊 U+2F917 -> 灊 U+704A
灊	灊
# 災 U+2F918 -> 災 U+707D
災	災
# 灷 U+2F919 -> 灷 U+7077
灷	灷
# 炭 U+2F91A -> 炭 U+70AD
炭	炭
# 𠔥 U+2F91B -> 𠔥 U+20525
𠔥	𠔥
# 煅 U+2F91C -> 煅 U+7145
煅	煅
# 𤉣 U+2F91D -> 𤉣 U+24263
𤉣	𤉣
# 熜 U+2F91E -> 熜 U+719C
熜	熜
# 𤎫 U+2F91F -> 𤎫 U+243AB
𤎫	𤎫
# 爨 U+2F920 -> 爨 U+7228
爨	爨
# 爵 U+2F921 -> 爵 U+7235
爵	爵
# 牐 U+2F922 -> 牐 U+7250
牐	牐
# 𤘈 U+2F923 -> 𤘈 U+24608
𤘈	𤘈
# 犀 U+2F924 -> 犀 U+7280
犀	犀
# 犕 U+2F925 -> 犕 U+7295
犕	犕
# 𤜵 U+2F926 -> 𤜵 U+24735
𤜵	𤜵
# 𤠔 U+2F927 -> 𤠔 U+24814
𤠔	𤠔
# 獺 U+2F928 -> 獺 U+737A
獺	獺
# 王 U+2F929 -> 王 U+738B
王	王
# 㺬 U+2F92A -> 㺬 U+3EAC
㺬	㺬
# 玥 U+2F92B -> 玥 U+73A5
玥	玥
# 㺸 U+2F92C -> 㺸 U+3EB8
㺸	㺸
# 㺸 U+2F92D -> 㺸 U+3EB8
㺸	㺸
# 瑇 U+2F92E -> 瑇 U+7447
瑇	瑇
# 瑜 U+2F92F -> 瑜 U+745C
瑜	瑜
# 瑱 U+2F930 -> 瑱 U+7471
瑱	瑱
# 璅 U+2F931 -> 璅 U+7485
璅	璅
# 瓊 U+2F932 -> 瓊 U+74CA
瓊	瓊
# 㼛 U+2F933 -> 㼛 U+3F1B
㼛	㼛
# 甤 U+2F934 -> 甤 U+7524
甤	甤
# 𤰶 U+2F935 -> 𤰶 U+24C36
𤰶	𤰶
# 甾 U+2F936 -> 甾 U+753E
甾	甾
# 𤲒 U+2F937 -> 𤲒 U+24C92
𤲒	𤲒
# 異 U+2F938 -> 異 U+7570
異	異
# 𢆟 U+2F939 -> 𢆟 U+2219F
𢆟	𢆟
# 瘐 U+2F93A -> 瘐 U+7610
瘐	瘐
# 𤾡 U+2F93B -> 𤾡 U+24FA1
𤾡	𤾡
# 𤾸 U+2F93C -> 𤾸 U+24FB8
𤾸	𤾸
# 𥁄 U+2F93D -> 𥁄 U+25044
𥁄	𥁄
# 㿼 U+2F93E -> 㿼 U+3FFC
㿼	㿼
# 䀈 U+2F93F -> 䀈 U+4008
䀈	䀈
# 直 U+2F940 -> 直 U+76F4
直	直
# 𥃳 U+2F941 -> 𥃳 U+250F3
𥃳	𥃳
# 𥃲 U+2F942 -> 𥃲 U+250F2
𥃲	𥃲
# 𥄙 U+2F943 -> 𥄙 U+25119
𥄙	𥄙
# 𥄳 U+2F944 -> 𥄳 U+25133
𥄳	𥄳
# 眞 U+2F945 -> 眞 U+771E
眞	眞
# 真 U+2F946 -> 真 U+771F
真	真
# 真 U+2F947 -> 真 U+771F
真	真
# 睊 U+2F948 -> 睊 U+774A
睊	睊
# 䀹 U+2F949 -> 䀹 U+4039
䀹	䀹
# 瞋 U+2F94A -> 瞋 U+778B
瞋	瞋
# 䁆 U+2F94B -> 䁆 U+4046
䁆	䁆
# 䂖 U+2F94C -> 䂖 U+4096
䂖	䂖
# 𥐝 U+2F94D -> 𥐝 U+2541D
𥐝	𥐝
# 硎 U+2F94E -> 硎 U+784E
硎	硎
# 碌 U+2F94F -> 碌 U+788C
碌	碌
# 磌 U+2F950 -> 磌 U+78CC
磌	磌
# 䃣 U+2F951 -> 䃣 U+40E3
䃣	䃣
# 𥘦 U+2F952 -> 𥘦 U+25626
𥘦	𥘦
# 祖 U+2F953 -> 祖 U+7956
祖	祖
# 𥚚 U+2F954 -> 𥚚 U+2569A
𥚚	𥚚
# 𥛅 U+2F955 -> 𥛅 U+256C5
𥛅	𥛅
# 福 U+2F956 -> 福 U+798F
福	福
# 秫 U+2F957 -> 秫 U+79EB
秫	秫
# 䄯 U+2F958 -> 䄯 U+412F
䄯	䄯
# 穀 U+2F959 -> 穀 U+7A40
穀	穀
# 穊 U+2F95A -> 穊 U+7A4A
穊	穊
# 穏 U+2F95B -> 穏 U+7A4F
穏	穏
# 𥥼 U+2F95C -> 𥥼 U+2597C
𥥼	𥥼
# 𥪧 U+2F95D -> 𥪧 U+25AA7
𥪧	𥪧
# 𥪧 U+2F95E -> 𥪧 U+25AA7
𥪧	𥪧
# 竮 U+2F95F -> 竮 U+7AEE
竮	竮
# 䈂 U+2F960 -> 䈂 U+4202
䈂	䈂
# 𥮫 U+2F961 -> 𥮫 U+25BAB
𥮫	𥮫
# 篆 U+2F962 -> 篆 U+7BC6
篆	篆
# 築 U+2F963 -> 築 U+7BC9
築	築
# 䈧 U+2F964 -> 䈧 U+4227
䈧	䈧
# 𥲀 U+2F965 -> 𥲀 U+25C80
𥲀	𥲀
# 糒 U+2F966 -> 糒 U+7CD2
糒	糒
# 䊠 U+2F967 -> 䊠 U+42A0
䊠	䊠
# 糨 U+2F968 -> 糨 U+7CE8
糨	糨
# 糣 U+2F969 -> 糣 U+7CE3
糣	糣
# 紀 U+2F96A -> 紀 U+7D00
紀	紀
# 𥾆 U+2F96B -> 𥾆 U+25F86
𥾆	𥾆
# 絣 U+2F96C -> 絣 U+7D63
絣	絣
# 䌁 U+2F96D -> 䌁 U+4301
䌁	䌁
# 緇 U+2F96E -> 緇 U+7DC7
緇	緇
# 縂 U+2F96F -> 縂 U+7E02
縂	縂
# 繅 U+2F970 -> 繅 U+7E45
繅	繅
# 䌴 U+2F971 -> 䌴 U+4334
䌴	䌴
# 𦈨 U+2F972 -> 𦈨 U+26228
𦈨	𦈨
# 𦉇 U+2F973 -> 𦉇 U+26247
𦉇	𦉇
# 䍙 U+2F974 -> 䍙 U+4359
䍙	䍙
# 𦋙 U+2F975 -> 𦋙 U+262D9
𦋙	𦋙
# 罺 U+2F976 -> 罺 U+7F7A
罺	罺
# 𦌾 U+2F977 -> 𦌾 U+2633E
𦌾	𦌾
# 羕 U+2F978 -> 羕 U+7F95
羕	羕
# 翺 U+2F979 -> 翺 U+7FFA
翺	翺
# 者 U+2F97A -> 者 U+8005
者	者
# 𦓚 U+2F97B -> 𦓚 U+264DA
𦓚	𦓚
# 𦔣 U+2F97C -> 𦔣 U+26523
𦔣	𦔣
