128位	128位元
智能手錶	智慧型手錶
智能電視	智慧型電視
智能音箱	智慧型喇叭
替米考星	氨基泰黴素
最優化	最佳化
最小二乘	最小平方
最底層派生類	最末層衍生類別
最終用戶	終端使用者
最終用戶許可協議	終端使用者授權協定 終端使用者授權合約
會話	對談
會話劫持	連線劫持
會話標識	交談識別碼
有序域	有序體
有心力	連心力
有損壓縮	失真壓縮 有失真壓縮
有盡不循環小數	有限不循環小數
有盡小數	有限小數
有盡循環小數	有限循環小數
有限域	有限體
服務器	伺服器
服務器消息塊	伺服器訊息區塊
服務器陣列	伺服器陣列
服務框架	服務架構
服務端	伺服器端
朗繆爾	朗繆耳
本地代碼	原生代碼
本地化	在地化
本地的	原生的
本徵函數	固有函數
朱克伯格	祖克柏
李屬	梅屬
李納	黎納
東方長嫵蛛	東亞夜蛛
東方長蟱蛛	東亞夜蛛
析搆	解構
析搆函數	解構函式
析構函數	解構函式
枚舉	列舉
枚舉器	列舉元
枚舉成員	列舉元
果凍豆	雷根糖
柏克萊軟件套件	柏克萊軟體套件
柏金遜症	帕金森氏症
查依釆夫	柴瑟夫
查德威克	查兌克
查戈夫	查加夫
查找	尋找 查詢
查看	檢視
柯弗氏細胞	庫佛氏細胞
柳葉刀	刺胳針
柳葉桉	雪梨藍桉
校園網	校園網路
校園網絡	校園網路
核嬗變	核轉換
核磁共振波譜法	核磁諧振譜學
核磁共振譜學	核磁諧振譜學
核素	核種
核聚變	核融合
核裂變	核分裂
格拉赫	革拉赫
格里夫氏症	葛瑞夫茲氏病
格里斯	革利士
格銳目	格雷姆
框同步化	影格同步化
框圖	方塊圖
框指標	影格指標
桌上電腦	桌上型電腦
桌面型	桌上型
梅塞爾森	梅瑟生
梗死	梗塞
條脊甲	背條蟲
棘層	棘狀層
棣莫弗	棣美弗
楞次	冷次
概率	機率
榛蚶	船魁蛤
構築原理	遞建原理
構造函數	建構函式
樂視云計算	樂視雲計算
標勢	純量勢
標清	標準畫質
標簽頁	分頁
標記語言	標示語言
標識符	識別碼 識別符號
標量	純量
標頭	檔頭
標題欄	標題列
模塊	模組
模式識別	圖型識別
模擬	模擬 類比 類比
模擬廣播	類比廣播
模擬現實	模擬實境
模擬電子	類比電子
模擬電視	類比電視
模擬電路	類比電路
樹狀細胞	樹突細胞
樹突狀細胞	樹突細胞
機器代碼	機器碼
機械碼	機器碼
機頂盒	機上盒
橫屏幕	橫螢幕
橫熒幕	橫螢幕
橫紋蠅獅	橫紋蠅虎
檢驗	檢定
檢驗位	核對位元
檢驗和	核對和
權標	符記
權限	許可權
欠阻尼	次阻尼
歐內斯特	歐尼斯特
正交補	正交補餘
正則表達式	正規表示式
正則語言	正規語言
正態	常態
步甲	步行蟲
死機	宕機 當機
死鎖	死結
殺毒	防毒
比特	位元
比特幣	比特幣
比特率	位元率 位元速率
比特誤碼率	位元錯誤率
毛山豬菜	變葉姬旋花
毛泥甲	長花蚤
毛葉喜鹽草	毛葉鹽藻
毛葉桉	托列里桉
氟甲喹	氟滅菌
氟甲碸霉素	氟甲磺氯黴素
氟苯尼考	氟甲磺氯黴素
氟苯達唑	氟苯並嘧唑氨基甲酸
氦聚變	氦融合
氨基	胺基
氨基酸	胺基酸
氨肽酶	胺肽酶
氨苄青霉素	安比西林
氨酸	胺酸
氫聚變	氫融合
氯喹	氯化奎寧
水制	水製
水印	浮水印
求余	求餘
沃森	華生
沃爾克	沃克
沙哈諾夫	沙卡洛夫
沙士	SARS
沙斯	SARS
沼大蚊	亮大蚊
沼芋屬	水芭蕉屬
泊松	卜瓦松 帕松
法布里	法布立
泡利	包立
泡沫塑料	泡沫塑膠
波分複用	波長分波多工
波矢	波向量
波義耳	波以耳
注冊機	序號產生器
注冊表	登錄檔
泰妙菌素	泰妙素
泰樂菌素	泰黴素
洛倫玆	勞侖茲
洛倫茨	勞侖次
洛埃境	洛以得鏡
洛必達	羅必達
洪德規則	洪德定則
洪特規則	洪德定則
活動體	滋養體
活度因子	活性因子
活度系數	活性係數
活鎖	活結
派生	衍生
派生類	衍生類別
派生類型	衍生類型
流動互聯網	行動網際網路
流動代理	行動代理
流動作業系統	行動作業系統
流動公司	行動公司
流動平台	行動平台
流動廣播	行動廣播
流動性	行動性
流動應用	行動應用
流動支付	行動支付
流動數據	行動資料
流動瀏覽器	行動瀏覽器
流動營辦商	行動業者
流動版	行動版
流動產品	行動產品
流動用戶端	行動用戶端
流動硬碟	行動硬碟
流動程式碼	行動程式碼
流動端	行動端
流動終端	行動終端
流動網絡	行動網路
流動網絡營辦商	行動網路業者
流動裝置	行動裝置
流動資訊器材定義檔	行動資訊裝置設定檔
流動軟件	行動軟體
流動通訊	行動通訊
流動通訊開放制式聯盟	開放行動聯盟
流動電腦	行動電腦
流動電視	行動電視
流動電訊	行動電信
流動電訊營辦商	行動電信業者
流動電話	行動電話
流媒體	串流媒體
流密碼	串流加密法
流水線	管線
流腦	流行性腦脊髓膜炎
浦肯野縴維	浦肯野纖維
浮萍屬	青萍屬
海馬旁回	海馬旁迴
海馬體	海馬迴
消元法	消去法
消去反應	脫去反應
消息	訊息
消息	訊息 消息
消息框	訊息方塊
消息認證碼	訊息鑑別碼
消除反應	脫去反應
液力變矩器	扭矩轉換器
液泡	液胞
深切治療部	加護病房
混合現實	混合實境
添加	新增
清理緩存	清除快取
減毒活	活性減毒
減毒活疫苗	減毒性疫苗
減毒活病毒	減毒性病毒
減活	活性減毒
減活疫苗	減毒性疫苗
減活病毒	減毒性病毒
測序	定序
渲染	彩現
游蛇科	黃頷蛇科
湍流	亂流
湯姆孫	湯姆森
湯姆生	湯姆森
源代碼	原始碼
源文件	原始檔
源碼	原始碼
溢出	溢位
溶組織內阿米巴	痢疾阿米巴
溶酶體	溶體
滅活	不活化
滑塊	滾軸
滾動	捲動
滾動框	捲動方塊
滾動條	捲軸
滾動欄	捲軸
演示文稿	簡報
演示稿	簡報
漢坦病毒	漢他病毒
潰客	劊客
澤字節	皆位元組
澱粉樣物質	類澱粉蛋白
澱粉樣蛋白	類澱粉蛋白
激光	鐳射 雷射
激光視盤	雷射影碟
激動劑	促效劑
激微波	邁射
激活	啟用 活化
激活函數	啟用功能
激活劑	活化劑
瀏覽框	瀏覽域
火制	火製
炮制	炮製
無偏	不偏
無損	無失真
無損壓縮	無失真壓縮
無盡不循環小數	無限不循環小數
無盡小數	無限小數
無盡循環小數	無限循環小數
無細胞百白破疫苗	白喉破傷風非細胞性百日咳混合疫苗
煙酰胺	菸鹼醯胺
煙酸	菸鹼酸
照片	相片
熒幕	螢幕
熒幕保護裝置	螢幕保護裝置
熒幕擷取	螢幕擷取
熱亞海芋	蘭嶼姑婆芋
營運總監	營運長
營銷	行銷
燭大蚊	錐大蚊
爬行綱	爬蟲綱
爬行類	爬蟲類
父類	父類別
版權	著作權
牙甲科	牙蟲科
牡竹屬	麻竹屬
物理內存	實體記憶體
物理地址	實體位址 實體地址
物理層	實體層
物質的量	物量
特麗瓏	特麗霓虹
犁頭尖	土半夏
犁頭尖屬	土半夏屬
狀態欄	狀態列
狄默夫	棣美弗
獅子尾	香港針房藤
獐牙菜屬	當藥屬
獲取	取得
玉山竹	玉山箭竹
玉山竹屬	玉山箭竹屬
王氏原指樹蛙	王氏樹蛙
玩家國度	玩家共和國
玻恩	波恩
玻爾	波耳
玻爾玆曼	波茲曼
玻爾玆曼常數	波茲曼常數
玻爾磁子	波耳磁元
珀羅	培若
班納杜	普拿疼
球蛛屬	姬蛛屬
球蛛科	姬蛛科
琉球原指樹蛙	艾氏樹蛙
瑞利	瑞立
瑞鳳玉	多角仙人球
瑪莉	瑪麗
瑪莉亞	瑪麗亞
瓊脂	洋菜
瓢甲科	瓢蟲科
瓢蠟蟬科	圓飛蝨科
甘油三酸酯	三酸甘油酯
生發中心	生髮中心
生精小管	細精管
生長抑素	體抑素
產品密鑰	產品金鑰
用戶	使用者
用戶介面	使用者介面
用戶名	使用者名稱
用戶框	使用者方塊
用戶生成內容	使用者供應內容
用戶界面	使用者介面
用戶組	使用者群組
用戶頁	使用者頁面
甲型H1N1流感	H1N1新型流感
甲型流感	A型流感
甲型肝炎	A型肝炎
甲殼素	幾丁質
甲狀旁腺	副甲狀腺
甲狀旁腺激素	副甲狀腺素
界面	介面
畢奧	必歐
畢氏數	畢氏三元數
異亮氨酸	異白胺酸
異常處理	例外處理
異或	互斥或
異搆體	異構物
異方差	異質變異數
異構體	異構物
異步	非同步
異白氨酸	異白胺酸
異養	異營
當且僅當	若且唯若
當前版本	目前版本
疑難解答	疑難排解
痴呆症	失智症
瘋牛病	狂牛症
瘋牛症	狂牛症
瘦木虱屬	中尾突木蝨屬
登錄	登入
發佈	釋出
發短信	傳簡訊
發短訊	傳簡訊
發簡訊	傳簡訊
發送	傳送
白氨酸	白胺酸
白氨醯	白胺醯
白破疫苗	白喉破傷風混合疫苗
白細胞	白血球
百度云計算	百度雲計算
百白破	白喉破傷風百日咳
百白破三聯	白喉破傷風百日咳混合
百金花屬	百金屬
皮埃爾	皮耶
皮爾遜	皮爾森
皮蠹	鰹節蟲
監控	監視
盤片	碟片
盤符	磁碟機代號
盧瑟福	拉塞福
目標代碼	目的碼
目標用戶	目標使用者
目標碼	目的碼
目標軟件	目標軟體
目標集	目標集合
相互作用	交互作用
相冊	相簿
相機手機	照相手機
相消干涉	破壞性干涉
相長干涉	建設性干涉
盾蚧科	盾介殼蟲科
盾蝽科	盾背蝽科
矢勢	向量勢
矢量	向量
矢量圖形	向量圖形
知識產權	智慧財產權
短信	簡訊
短視頻	短影音
短訊	簡訊
石柑子	柚葉藤
石柑屬	柚葉藤屬
石柑族	柚葉藤族
砹	砈 砈
硅	矽
硅藻	矽藻
硝酸甘油	硝化甘油
硝酸甘油炸藥	矽藻土炸藥
硬件	硬體
硬盤	硬碟
硬盤陣列	硬碟陣列
硬盤驅動器	硬碟機
硬編碼	寫死
碧眼原指樹蛙	碧眼樹蛙
碼分多址	分碼多重進接
碼率	位元速率
磁共振成像	磁共振造影
磁力共振掃描	磁共振造影
磁疇	磁域
磁盤	磁碟
磁盤碎片整理	磁碟重組
磁盤碎片整理程序	磁碟重組工具
磁盤陣列	磁碟陣列
磁盤驅動器	磁碟機
磁道	磁軌
磁頭划碰	磁頭損壞
示例	範例
社交媒體	社群媒體
社交網站	社群網站
社交網絡	社群網路
社區	社羣 社區
社會媒體	社群媒體
祝蛾	折角蛾
神曲	神麴
神經氨酸	神經胺酸
神經症	精神官能症
科普蘭	克柏蘭
科赫法則	柯霍氏法則
移動互聯網	行動網際網路
移動代理	行動代理
移動代碼	行動程式碼
移動信息設備配置文件	行動資訊裝置設定檔
移動內容管理	行動內容管理
移動公司	行動公司
移動客戶端	行動用戶端
移動平台	行動平台
移動廣播	行動廣播
移動性	行動性
移動應用	行動應用
移動應用管理	行動應用管理
移動操作系統	行動作業系統
移動支付	行動支付
移動數據	行動資料
移動瀏覽器	行動瀏覽器
移動版	行動版
移動產品	行動產品
移動硬盤	行動硬碟
移動端	行動端
移動終端	行動終端
移動網絡	行動網路
移動網絡運營商	行動網路業者
移動聯網設備	行動網路裝置
移動計算機	行動電腦
移動設備	行動裝置
移動設備管理	行動裝置管理
移動資料	行動資料
移動軟件	行動軟體
移動通信	行動通訊
移動運營商	行動業者
移動電信	行動電信
移動電信運營商	行動電信業者
移動電源	行動電源
移動電視	行動電視
移動電話	行動電話
稀有氣體	惰性氣體
稈柄	莖脛
程序	程式
程序員	程式設計師
程序編寫員	程式設計師
程序設計	程式設計
種群	族群
穀氨	麩胺
穀氨酰胺	麩醯胺酸
穀氨酸	麩胺酸
穀草轉胺酶	麩草轉胺酶
穀蛾科	蕈蛾科
穆斯堡爾	梅斯堡
積矩	積動差
穎蠟蟬科	小頭飛蝨科
空串	空字串
空分多址	分空間多重進接
空分複用	空間多工
空列表	空串列
空穴	電洞
窄帶	窄頻
窗口	視窗
窗口管理器	視窗管理員
窗大蚊	平大蚊
窗體	表單
立體異搆體	立體異構物
立體異構體	立體異構物
站點標識按鈕	網站識別鈕
端口	埠
端口轉發	通訊埠轉發
笛卡爾	笛卡兒
第一型錯誤	型一錯誤
第一范式	第一規格化
第一類錯誤	型一錯誤
第三范式	第三正規化
第二型錯誤	型二錯誤
第二范式	第二正規化
第二類錯誤	型二錯誤
第五范式	第五規格化
第六范式	第六規格化
第四范式	第四規格化
筆記本電腦	筆記型電腦 膝上型電腦
等勢線	等位線
等離子態	電漿態
等離子體	電漿 電漿體
答復	答覆
算子	運算元
算朮平方根	主平方根
算法	演算法
範式	正規化
簕竹屬	蓬萊竹屬
簽名	簽章
米篩竹	八芝蘭竹
粉虱	粉蝨
粒細胞	顆粒球
粗面內質網	粗糙內質網
粘康酸	黏康酸
粘貼	貼上
粘貼	貼上 粘貼
粘連	沾黏
粲夸克	魅夸克
粲數	魅數
精神分裂症	思覺失調症
糖原貯積症	肝糖儲積症
糖基	醣苷基
糖基化	醣基化
糖異生	糖質新生
糖酵解	糖解
系數	係數
系統發生學	種系發生學
系統盤	系統磁碟
系統磁碟機	系統磁碟
系統綜述	系統性回顧
系統脫敏	系統減敏感
糾纏	纏結
約數	因數
約束聚變	局限融合
紅千層屬	瓶刷子樹屬
紅心大戰	傷心小棧
紅細胞	紅血球
納米	奈米
素元	質元素
素因子	質因子
素因數	質因數
素性	質性
素性測試	質數測試
素數	質數
素理想	質理想
素環	質環
索尼流動	索尼行動
索尼流動通訊	索尼行動通訊
索尼移動	索尼行動
索尼移動通信	索尼行動通訊
紫萍屬	浮萍屬
細胞器	胞器
終結器	終端子
組件	元件
組合框	組合方塊
組提示	群組提示
組氨酸	組胺酸
組群	群組
組胺	組織胺
組蛋白	組織蛋白
組鏈接	塊鏈結
結合存儲	可定址內容記憶體
結合疫苗	混合疫苗
結實腰蟱蛛	膝形渦蛛
結束應用程序	結束應用程式
絡合物	錯合物
絡離子	錯離子
統一渲染架搆	統一著色器架構
統計功效	檢定力
統計噪聲	統計雜訊
統計推斷	統計推論
綁定	繫結
經典	古典
綜合徵	症候群
綜合症	症候群
綠色軟件	可攜式軟體
綠蘿	黃金葛
維他命	維生素
維恩	維因
維蒂希	威悌
網上欺凌	網路霸凌
網上鄰居	網路上的芳鄰
網卡	網絡卡
網吧	網咖
網景導航者	網景領航員
網格線	格線
網民	網友
網狀數據庫	網狀式資料庫
網盤	網路硬碟
網絡	網路
網絡動畫	網路動畫
網絡攝影機	網路攝影機
網絡欺凌	網路霸凌
網絡漫畫	網路漫畫
網絡營辦商	網路業者
網絡硬盤	網路硬碟
網絡硬碟	網路硬碟
網絡資料庫	網狀式資料庫
網絡購物	網路購物
網絡運營商	網路業者
網誌	部落格
網關	閘道器
網頁快照	頁庫存檔 頁面快取檔
線上影片	網路影片
線形蟲動物門	線形動物門
線性無關	線性獨立
線性相關	線性相依
線程	執行緒
線粒體	粒線體
編程	程式設計
編程范型	程式設計範式
編程語言	程式語言
編輯欄	編輯列
緩存	快取
緩存溢出	緩衝區溢位
緩沖器	緩衝區
緩沖存儲器	快取記憶體
緲中微子	緲微中子
縮小膜殼絛蟲	縮小絛蟲
縮略圖	縮圖
縮略網址	縮網址
縮進	縮排
總線	匯流排
總體	母體
繼承列表	衍化列
繼發性主動運輸	次級主動運輸
纓甲科	櫻毛蕈蟲科
缺省	預設
置信區間	信賴區間
置信水平	信心水準
置標語言	標示語言
羊毛甾醇	羊毛脂固醇
美國在線	美國線上
羥氯喹	羥氯奎寧
翻譯	轉譯
耗散力	耗能力
聚糖	聚醣
聚變反應	融合反應
聯機交易處理	線上異動處理
聯機分析處理	連線分析處理
聯系	聯絡
聯系人	聯絡人
聯繫	聯絡
聯繫歷史	通話記錄
聲卡	音效卡
聲明	宣告
職業治療	職能治療
肉桂醛	桂皮醛
胃食管反流病	胃食道逆流
胞間連絲	原生質絲
胡克	虎克
胰高血糖素	升糖素
能層	動區 動圈
能級	能階
脈蠟蟬科	縞飛蝨科
脊冠葉蟬科	緣脊葉蟬科
脊髓灰質炎	小兒麻痺症
脫機	離線
脫氧	去氧
脫氧土霉素	去氧羥四環黴素
脫氧核糖	去氧核糖
脫氧羥四環黴素	去氧羥四環黴素
脫氫	去氫
脫碘	去碘
脫落酸	離層素
脫輔基酶	去輔基酶
腎單位	腎元
腦下垂體	腦垂腺
腦回	腦迴
腦垂體	腦垂腺
腦橋	橋腦
腦機接口	人機介面
腦退化症	失智症
腳本	指令碼
腳本語言	手稿語言
腳注	註腳
腹胚亞目	抱卵亞目
臉譜	臉書
自動轉屏	自動旋轉螢幕
自回歸	自我迴歸
自守形式	自守式
自定義	自訂
自底向上	由下而上
自相關	自我相關
自述文件	讀我檔案
自養	自營
致電離輻射	游離輻射
臺式機	桌上型電腦
臺灣電鰩	臺灣電鱝
舟蚶	鷹翼魁蛤
航天飛機	太空梭
般若	裝飾仙人球
艾字節	艾位元組
芫菁科	地膽科
芯片	晶片
花尾斜鱗蛇	史丹吉氏斜鱗蛇
花屏	破圖
花葉病毒	鑲嵌病毒
花螢科	菊虎科
苄基	苯甲基
苯並	苯駢
苯二氮䓬	苯二氮平
苯并	苯駢
英偉達	輝達
范型	範式
范德瓦耳斯	凡得瓦
范德華	凡得瓦
范德華力	凡得瓦力
范德華引力	凡得瓦力
范德華方程	凡得瓦方程式
范德華方程式	凡得瓦方程式
范德華鍵	凡得瓦鍵
范托夫	凡特荷夫
范特霍夫	凡特荷夫
茨藻屬	拂尾藻屬
草茨藻	拂尾藻
荷質比	電荷質量比
莫塞萊	莫斯利
菊花鏈接	菊式鏈結
菜單	選單
菜單	選單 菜單
菱蠟蟬科	菱飛蝨科
菲涅耳衍射	菲涅耳繞射
萬維網	全球資訊網
萬維網聯盟	全球資訊網協會
葉甲科	金花蟲科
著作權信息	著作權資訊
葡萄桉	鹽風桉
葬甲科	埋葬蟲科
蒙特卡洛	蒙地卡羅
蒲金耶氏纖維	浦肯野纖維
蒸騰	蒸散
蓋	給呂薩克
蓋斯	赫士
蓋茨	蓋茲
蓋革計數器	蓋格計數器
蓮座蕨	觀音座蓮
薛定諤	薛丁格
薩伐爾	沙伐
薩哈羅夫	沙卡洛夫
薩斯坎德	色斯金
藍子魚	臭肚魚
藍屏	藍色畫面
藍屏死機	藍白當機
藍牙	藍芽
藍畫面死機	藍白當機
藥劑師	藥師
藻百年屬	紫芳草屬
蘇士侃	色斯金
處理函數	處理常式
虛函數	虛擬函式
虛擬內存	虛擬記憶體
虛擬專用網	虛擬私人網路
虛擬機	虛擬機器
虛擬機器	虛擬機器
虛無假設	虛無假說
虛軸	虛數軸
蚜科	常蚜科
蚶屬	魁蛤屬
蚶目	魁蛤目
蚶科	魁蛤科
蛋白同化甾類	同化類固醇
蛋白質組	蛋白質體
蛤莫蛛屬	蛤蟆蛛屬
蜂巢式數據	蜂巢式資料
蜂巢式網絡	蜂巢式網路
蜂窩數據	蜂巢式資料
蜂窩網絡	蜂巢式網路
蜘蛛紙牌	連環新接龍
蟱蛛科	渦蛛科
蠅虎屬	條斑蠅虎屬
血管緊張素	血管收縮素
血紅素	血基質
行動聯網裝置	行動網路裝置
行政總裁	執行長
行程控制表	過程控制段
衍射	繞射
衣原體	披衣菌
衣原體門	披衣菌門
表情包	哏圖
表達式	表示式 運算式
表面皿	錶玻璃
袖蠟蟬科	長翅飛蝨科
裂合酶	解離酶
裂木虱科	錦葵木蝨科
裂解酶	解離酶
補丁	修補程式
補救合成	再利用合成
補救途徑	再利用路徑
補碼	二補數
裴蜀	貝祖
複印	影印
複合物	錯合物
複選按鈕	覈取按鈕
複選框	覈取方塊
複離子	錯離子
西方印跡	西方墨點
西部數據	威騰電子
覆銅板	銅箔基板
規範化	規格化
規范化	規格化
視像會議	視訊會議
視光師	驗光師
視圖	檢視
視杆細胞	視桿細胞
視頻	影片
視頻	影片 視訊
視頻接口	視訊連接頭
視頻文件	視訊檔
視頻文檔	視訊檔案
視頻會議	視訊會議
視頻檔	視訊檔
視頻游戲	電動遊戲
視頻處理器	影像處理器
視頻軌	視訊軌
視頻輸入	視訊輸入
視頻輸出	視訊輸出
視頻通話	視訊通話
解像度	解析度
解引用	解除參照
解釋器	直譯器
解釋型語言	直譯語言
觸屏	觸控螢幕
觸摸	觸控 輕觸
觸摸屏	觸控式螢幕
觸摸板	觸控板
計算機安全	電腦保安
計算機斷層成像	電腦斷層掃描
計算機科學	電腦科學
計算機體系結搆	電腦架構
訊號量	號誌
討論區	論壇
訪問	訪問 存取
訪問控制表	存取控制列表
訪問量	瀏覽量
設備	裝置
設置	設定
註冊機	序號產生器
註冊表	登錄檔
註銷	登出
評測系統	解題系統
認知障礙症	失智症
語法高亮	語法突顯
語義	語意
語義網	語意網
語言包	語言套件
誤差	殘留誤差
調制	調變
調制解調器	數據機
調度	排程
調度器	排程器
調用	呼叫
調用層接口	呼叫層級介面
調色板	調色盤
調製解調器	數據機
調試	除錯
調試	除錯 偵錯
調試器	偵錯程式
請勿追蹤	停止追蹤
諾頓克隆精靈	諾頓魅影系統
證書	憑證
識別	辨識
護士	護理師
讀卡器	讀卡機
變換	轉換
變構	異位
變速圓周運動	變速率圓周運動
變量	變數
谷氨	麩胺
谷氨酰胺	麩醯胺酸
谷氨酸	麩胺酸
谷甾醇	穀固醇
谷翔信息技朮	谷翔信息技術
谷芽	穀芽
谷草轉氨酶	麩草轉胺酶
谷蛾科	蕈蛾科
豆甾醇	豆固醇
象甲科	象鼻蟲科
豪斯多夫	郝斯多夫
貝克勒爾	貝克勒
貝塔	貝他
貝塞爾曲線	貝茲曲線
貝德諾爾茨	比得諾茲
貝葉斯估計	貝氏估計
貝葉斯定理	貝氏定理
貝葉斯推斷	貝氏推論
貝葉斯概率	貝氏機率
貝葉斯法則	貝氏定理
貝葉斯理論	貝氏定理
貝葉斯統計	貝氏統計
貪心法	貪婪法
貪心算法	貪婪演算法
貴氣體	惰性氣體
費密能級	費米階
費希爾	費雪
資源管理器	檔案總管
資訊年代	資訊時代
資訊科學	資訊學
資訊總監	資訊長
賦值運算符	設定運算子
賦范	賦範
質粒	質體
質素	品質
質量	品質
質體外途徑	原生質體外路徑
質體外運輸	原生質體外運輸
賬戶	帳戶
賬號	帳號
賴氨酸	離胺酸
赤蘚糖	赤藻糖
赤蘚酮糖	赤藻酮糖
赤霉素	吉貝素
赤黴素	吉貝素
超文本標記語言	超文件標示語言
超文本置標語言	超文件標示語言
超時	逾時
超極本	超極致筆電
超編程	超程式設計
超聲心動圖	心臟超音波
超聲波	超音波
超靜定	靜不定
跖趾	蹠趾
跖骨	蹠骨
跗跖	跗蹠
跨性別激素療法	跨性別荷爾蒙治療
跳蛛科	蠅虎科
身份	身分
軌態	軌域
軌道	軌域
軍團病	退伍軍人病
軟件	軟體
軟件包	軟體套件
軟件包管理系統	軟體套件管理系統
軟件套件	軟體套件
軟件套件管理系統	軟體套件管理系統
軟件流程	軟體流程
軟件過程	軟體流程
軟件開發套件	軟體開發套件
軟件開發工具包	軟體開發套件
軟盤	軟碟
軟盤驅動器	軟碟機
軟驅	軟碟機
輕觸式熒幕	觸控式螢幕
輕觸熒幕	觸控螢幕
轉基因	基因轉移
轉氨酶	轉胺酶
轉義	跳脫
轉義字符	跳脫字元
近親三角蛛	扇網蛛
退出應用程序	結束應用程式
退出程序	結束程式
退相干	去相干
逆元	反元素
逆轉錄	反轉錄
通信	通訊
通信順序進程	交談循序程式
通用串行總線	通用序列匯流排
通訊卡	通話卡
通配符	萬用字元
連接	連線
連接器	聯結器
連續互通	接續互通
進制	進位制
進程	程序 進程
進程控制塊	過程控制段
進程組	行程群組
進程間	行程間
進程間通信	行程間通訊
遊蛇科	黃頷蛇科
運算符	運算子
運籌學	作業研究
運行	執行
過氧化物酶體	過氧化體
過程化	程序化
過程式	程序式
過程式編程	程序式程式設計
道路連通	路徑連通
遞推關系	遞迴關係
遞歸	遞迴
遞歸關係	遞迴關係
遠程	遠端
遠程桌面協議	遠端桌面協定
遠程過程調用	遠端程序呼叫
適配器	介面卡 配接器
選項卡	索引標籤
邁克耳孫	邁克生
邏輯卷管理	邏輯捲軸管理
邏輯器件	邏輯裝置
邏輯門	邏輯閘
邦費羅尼	邦佛洛尼
郭公甲	郭公蟲
郵件列表	郵寄清單
郵箱	電子信箱
鄰氯青霉素	氯噁唑西林
酉矩陣	么正矩陣
酉空間	么正空間
酉群	么正群
配合物	錯合物
配置	組態
配置文件	組態檔 設定檔
配離子	錯離子
配體	配位基
酮症酸中毒	酮酸血症
酰	醯 醯
酰胺	醯胺
醋制	醋製
醫學觀察	醫療觀察
釆樣率	取樣率
里德伯	芮得柏
重命名	重新命名
重啟	重新啟動
重定向	重新導向
重定向頁	重新導向頁面
重復組	重複群
重症監護室	加護病房
重置	重設
重裝	重新安裝 重灌
重載	多載 過載
量子比特	量子位元
量綱	因次
金屬氧化物半導體	金氧半導體
金花魚黃草	菜欒藤
金葡菌激酶	葡萄球菌激酶
金蟬蛛屬	黑條蠅虎屬
金霉素	氯四環黴素
金龜科	金龜子科
鈁	鍅 鍅
鈈	鈽 鈽
鈉鉀泵	鈉鉀幫浦
鈎子	勾點
鈎距蝦脊蘭	鉤距蝦脊蘭
鈣信號	鈣訊號
鈣通道	鈣離子通道
錄像	錄影
錄像帶	錄影帶
錇	鉳 鉳
錐栗屬	栲屬
錶面玻璃	錶玻璃
鍀	鎝 鎝
鍬甲科	鍬形蟲科
鍵盤布局	鍵盤配置
鎄	鑀 鑀
鎇	鋂 鋂
鎿	錼 錼
鏈反應	連鎖反應
鏈式反應	連鎖反應
鏈式法則	連鎖律
鏈接	連結
鏈接反向	鏈結反向
鏈接搜索	鏈結搜尋
鏈接正向	鏈結正向
鏈蚧	鏈介殼蟲
鏈表	連結串列
鏡像	映象
鏽革孔菌	刺革菌
鐘南山	鍾南山
鐦	鉲 鉲
鐳射	雷射
鐳射影碟	雷射影碟
鑥	鎦 鎦
長嫵蛛	長夜蛛
長嫵蛛屬	夜蛛屬
長腹蒙蛛	箭形蠅虎
長蟱蛛	長夜蛛
長蟱蛛屬	夜蛛屬
門戶系統	入口網站
門戶網站	入口網站
門捷列夫	門得列夫
門電路	閘電路
閃存	快閃記憶體
閃迪	新帝
閉圖像定理	閉圖定理
開放手持設備聯盟	開放手機聯盟
開放移動聯盟	開放行動聯盟
開普勒	克卜勒
開機	啟動
開機切換	啟動切換
開爾文	克耳文
間隔缺損	中隔缺損
閔可夫斯基	閔考斯基
關係數據庫	關聯式資料庫
關系數據庫	關聯式資料庫
阿伏伽德羅	亞佛加厥
阿伏伽德羅常量	亞佛加厥常數
阿佛加德羅	亞佛加厥
阿佛加德羅常數	亞佛加厥常數
阿倫尼烏斯	阿瑞尼士
阿內蛛屬	粗腳姬蛛屬
阿司匹林	阿斯匹靈
阿士匹靈	阿斯匹靈
阿爾茨海默病	阿茲海默症
阿片	鴉片
阿莫西林	安默西林
阿里云計算	阿里雲計算
阿里山鈍頭蛇	駒井氏鈍頭蛇
附加組件	附加元件
陣列服務器	陣列伺服器
陣列硬盤	陣列硬碟
除余	除餘
陳述式	語句
陶中微子	濤微中子
隆喜蟱蛛	隆背菲蛛
隆金龜科	厚角金龜科
隊列	佇列
隧穿	穿隧
隨機數	亂數
隱失波	漸逝波
隱翅甲科	隱翅蟲科
隱身模式	無痕模式
隱馬爾可夫模型	隱藏式馬可夫模型
集成	整合
集成設備電路	整合裝置電路
集成開發環境	整合式開發環境
集成電路	積體電路
集羣	叢集
集群	叢集
雙參函數	二元函數
雙名法	二名法
雙射	對射
雙氯西林	雙氯噁唑西林
雙通道	雙連結
雜化	混成
離解	解離
雲存儲	雲端儲存
雲計算	雲端計算
零假設	虛無假說
零元	零元素
雷斯勒	萊斯納
電介質強度	介電強度
電信運營商	電信業者
電偶極子	電雙級
