128位元	128位
氨基泰霉素	替米考星
氯化奎宁	氯喹
氯四环霉素	金霉素
氯恶唑西林	邻氯青霉素
水芭蕉属	沼芋属
永续性	持久性
求余	求馀
汇入	导入
汇出	导出
汇流排	总线
汉他病毒	汉坦病毒
汤姆森	汤姆孙
汤姆生	汤姆孙
沃克	沃尔克
沙伐	萨伐尔
沙卡洛夫	萨哈罗夫
沙哈诺夫	萨哈罗夫
沙士	沙斯
沾黏	粘连
法兰克	弗兰克
法布立	法布里
泡沫塑胶	泡沫塑料
泡沫排序	冒泡排序
波以耳	波义耳
波兹曼	玻尔兹曼
波兹曼常数	玻尔兹曼常数
波向量	波矢
波恩	玻恩
波耳	玻尔
波耳磁元	玻尔磁子
注脚	脚注
泰妙素	泰妙菌素
泰霉素	泰乐菌素
洋菜	琼脂
洛以得镜	洛埃境
洪德定则	洪德规则
洪特规则	洪德规则
活化	激活
活化剂	激活剂
活性减毒	减毒活
活性因子	活度因子
活性系数	活度系数
活结	活锁
流动互联网	移动互联网
流动产品	移动产品
流动代理	移动代理
流动作业系统	移动操作系统
流动公司	移动公司
流动平台	移动平台
流动广播	移动广播
流动应用	移动应用
流动性	移动性
流动支付	移动支付
流动数据	移动数据
流动浏览器	移动浏览器
流动版	移动版
流动用户端	移动客户端
流动电脑	移动计算机
流动电视	移动电视
流动电讯	移动电信
流动电讯营办商	移动电信运营商
流动电话	移动电话
流动硬碟	移动硬盘
流动程式码	移动代码
流动端	移动端
流动终端	移动终端
流动网络	移动网络
流动网络营办商	移动网络运营商
流动营办商	移动运营商
流动装置	移动设备
流动资讯器材定义档	移动信息设备配置文件
流动软件	移动软件
流动通讯	移动通信
流动通讯开放制式联盟	开放移动联盟
流行性脑脊髓膜炎	流脑
流行性脑脊髓膜炎（A型）	A群流脑
流行性脑脊髓膜炎（C型）	C群流脑
浏览域	浏览框
浏览量	访问量
浮水印	水印
浮萍属	紫萍属
海芋	马蹄莲
海马回	海马体
海龙	哈龙
消去反应	消除反应
消去法	消元法
涛微中子	τ中微子
涡蛛科	蟱蛛科
液胞	液泡
淀粉样蛋白	淀粉样物质
深切治疗部	重症监护室
混合实境	混合现实
混合疫苗	结合疫苗
混成	杂化
清除快取	清理缓存
渐逝波	隐失波
渗泌汗腺	外泌汗腺
温瑞尔	风河
游标	光标
游离	电离
游离能	电离能
游离辐射	电离辐射
源代码	原始码
溢位	溢出
溶体	溶酶体
滋养体	活动体
滑鼠	鼠标
滚轴	滑块
滤泡	卵泡
演算法	算法
潘洛斯	彭罗斯
激光	镭射
灰桉	斑叶桉
点选	点击
点阵图	位图
烧录	刻录
爬虫类	爬行类
爬虫纲	爬行纲
爱拉托散尼	埃拉托斯特尼
爱灭虫	伊维菌素
父类别	父类
版权	著作权
牙虫科	牙甲科
物件	对象
物件导向	面向对象
物件导向程式设计	面向对象编程
物量	物质的量
特丽霓虹	特丽珑
状态列	状态栏
狂牛症	疯牛病
狄默夫	棣莫弗
玉山箭竹	玉山竹
玉山箭竹属	玉山竹属
王氏树蛙	王氏原指树蛙
玛莉	玛丽
玛莉亚	玛丽亚
玩家共和国	玩家国度
玫瑰桉	大桉
瑞立	瑞利
瓢虫科	瓢甲科
瓶刷子树属	红千层属
甘油三酸酯	三酸甘油酯
用户介面	用户界面
由下而上	自底向上
电位	电势
电信业者	电信运营商
电动游戏	视频游戏
电双级	电偶极子
电子信箱	邮箱
电子试算表	电子表格
电子邮件	电邮
电弱交互作用	弱电相互作用
电弱相互作用	弱电相互作用
电洞	空穴
电浆	等离子体
电浆体	等离子体
电浆态	等离子态
电脑合成影像	电脑产生图像
电脑断层扫描	计算机断层成像
电脑架构	计算机体系结构
电荷质量比	荷质比
电讯业	电信业
电讯供应商	电信运营商
电讯公司	电信公司
电讯商	电信商
电讯服务	电信服务
电讯行业	电信行业
电负度	电负性
电鲼	电鳐
畜福	头孢噻呋
疑难排解	疑难解答
疯牛症	疯牛病
症候群	综合症
痢疾阿米巴	溶组织内阿米巴
登入	登录
登录档	注册表
登革热	骨痛热症
白努利	伯努利
白千层属	千层树
白喉破伤风全细胞性百日咳混合疫苗	全细胞百白破疫苗
白喉破伤风混合疫苗	白破疫苗
白喉破伤风百日咳	百白破
白喉破伤风百日咳混合	百白破三联
白喉破伤风非细胞性百日咳混合疫苗	无细胞百白破疫苗
白氨酸	亮氨酸
白氨醯	亮氨酰
白胺酸	亮氨酸
白胺醯	亮氨酰
白血球	白细胞
百万位元组	兆字节
百金属	百金花属
皆位元组	泽字节
皮尔森	皮尔逊
皮耶	皮埃尔
皱褶	嵴
盐风桉	葡萄桉
监视	监控
盖兹	盖茨
盖格计数器	盖革计数器
目前版本	当前版本
目标使用者	目标用户
目标码	目标代码
目标软体	目标软件
目标集合	目标集
目的码	目标代码
目贼芋属	岩芋属
直译器	解释器
直译语言	解释型语言
相互资讯	互信息
相容	兼容
相机手机	照相手机
相片	照片
相簿	相册
盾介壳虫科	盾蚧科
盾背蝽科	盾蝽科
真实模式	实模式
短信	简讯
短影音	短视频
短讯	简讯
矽	硅
矽藻	硅藻
矽藻土炸药	硝酸甘油炸药
码产生器	代码生成器
砈	砹
砍站	扒站
破坏性干涉	相消干涉
硝化甘油	硝酸甘油
硬体	硬件
硬碟	硬盘
硬碟机	硬盘驱动器
硬碟阵列	硬盘阵列
确认键	回车键
碎形	分形
碧眼树蛙	碧眼原指树蛙
磁共振造影	磁共振成像
磁力共振扫描	磁共振成像
磁区	扇区
磁域	磁畴
磁头损坏	磁头划碰
磁碟	磁盘
磁碟机	磁盘驱动器
磁碟机代号	盘符
磁碟重组	磁盘碎片整理
磁碟重组工具	磁盘碎片整理程序
磁碟阵列	磁盘阵列
磁轨	磁道
社交媒体	社会媒体
社群媒体	社会媒体
社群网站	社交网站
社群网路	社交网络
祖克柏	扎克伯格
神经胺酸	神经氨酸
神麴	神曲
离层素	脱落酸
离胺酸	赖氨酸
种系发生学	系统发生学
积体电路	集成电路
积动差	积矩
稀有气体	惰性气体
程序化	过程化
程序导向	面向过程
程序式	过程式
程式	程序
程式设计	程序设计
程式设计师	程序员 程序编写员
程式设计范式	编程范型
程式语言	编程语言
稻虱科	飞虱科
稽核	审核
空串列	空列表
空字串	空串
穿隧	隧穿
窄频	窄带
立体异构物	立体异构体
章节附注	尾注
笔记型电脑	笔记本电脑
笛卡儿	笛卡尔
符记	权标
第1型糖尿病	1型糖尿病
第2型糖尿病	2型糖尿病
第一型错误	第一类错误
第一规格化	第一范式
第三正规化	第三范式
第二型错误	第二类错误
第二正规化	第二范式
第五规格化	第五范式
第六规格化	第六范式
第四规格化	第四范式
等位线	等势线
等速率圆周运动	匀速圆周运动
等速直线运动	匀速直线运动
等速运动	匀速运动
签章	签名
简报	演示稿
管线	流水线
箭形蝇虎	长腹蒙蛛
类体	类域
类别为基	基于类
类别为基的程式设计	基于类的编程
类别变数	类变量
类别定义	类定义
类别实例	类实例
类别宣告	类声明
类别导向	面向类
类别成员	类成员
类别方法	类方法
类别模板	类模板
类别的实例	类的实例
类别的建构函数	类的构造函数
类别的破坏函数	类的析构函数
类别载入器	类加载器
类别馆	类库
类比	模拟
类比广播	模拟广播
类比电视	模拟电视
类淀粉蛋白	淀粉样物质
类神经	人工神经
类铎受体	Toll样受体
粒线体	线粒体
粗糙内质网	粗面内质网
粗脚姬蛛属	阿内蛛属
精灵	向导
精神官能症	神经症
糖解	糖酵解
糖质新生	糖异生
系结	绑定
系统减敏感	系统脱敏
系统性回顾	系统综述
系统磁碟	系统盘
系统磁碟机	系统盘
系统记忆体保护	数据执行保护
索尼流动	索尼移动
索尼流动通讯	索尼移动通信
索尼行动	索尼移动
索尼行动通讯	索尼移动通信
索引标签	选项卡
紫芳草属	藻百年属
紫苏草	中华石龙尾
紫质	卟啉
繖花菜栾藤	伞花茉栾藤
红血球	红细胞
纪录档	日志
纯量	标量
纯量势	标势
纯量曲率	数量曲率
线上	在线
线上内容提供者	互联网内容提供商
线上异动处理	联机交易处理
线上影片	在线视频
线形动物门	线形虫动物门
线性独立	线性无关
线性相依	线性相关
组合方块	组合框
组合语言	汇编语言
组态	排布 配置
组态档	配置文件
组织胺	组胺
组织蛋白	组蛋白
组胺酸	组氨酸
组译	汇编
细栉角虫科	扇角甲科
细精管	生精小管
终端使用者	最终用户
终端使用者授权协定	最终用户许可协议
终端使用者授权合约	最终用户许可协议
终端子	终结器
结实压缩	固实压缩
结束应用程序	退出应用程序
结束应用程式	退出应用程序
结束程式	退出程序
绕射	衍射
绘图计算机	图形计算器
给吕萨克	盖
统一著色器架构	统一渲染架构
统合分析	元分析
统计推论	统计推断
统计杂讯	统计噪声
维他命	维生素
维因	维恩
维腾	威滕
综合征	综合症
缈中微子	μ中微子
缈子	μ子
缈微中子	μ中微子
缓冲区	缓冲器
缓冲区溢位	缓存溢出
编辑列	编辑栏
缘脊叶蝉科	脊冠叶蝉科
缟飞虱科	脉蜡蝉科
缠结	纠缠
缩图	缩略图
缩小绦虫	缩小膜壳绦虫
缩排	缩进
缩网址	缩略网址
网上欺凌	网络欺凌
网友	网民
网咖	网吧
网址列	地址栏
网宇实体系统	信息物理系统
网志	部落格
网景领航员	网景导航者
网状式资料库	网状数据库
网站识别钮	站点标识按钮
网络摄影机	摄像头
网络硬碟	网络硬盘
网络营办商	网络运营商
网络资料库	网状数据库
网路	网络
网路上的芳邻	网上邻居
网路业者	网络运营商
网路动画	网络动画
网路影片	在线视频
网路摄影机	摄像头
网路漫画	网络漫画
网路硬碟	网盘 网络硬盘
网路购物	网络购物
网路霸凌	网络欺凌
网际网路	互联网
网际网路服务提供者	互联网服务提供商
网际网路金钥交换	因特网密钥交换
罗必达	洛必达
羊毛脂固醇	羊毛甾醇
美国线上	美国在线
羟氯奎宁	羟氯喹
群组	组群
群组提示	组提示
耗能力	耗散力
职业治疗	康复治疗
职能治疗	康复治疗
联络	联系
联络人	联系人
联集	并集
聚醣	聚糖
肝糖储积症	糖原贮积症
肾元	肾单位
胃食道逆流	胃食管反流病
背景执行	后台运行
背景流量	后台流量
背条虫	条脊甲
胞器	细胞器
胺基	氨基
胺基酸	氨基酸
胺肽酶	氨肽酶
胺酸	氨酸
能阶	能级
脂桉	小帽桉
脑垂腺	垂体 脑下垂体 脑垂体
脑退化症	痴呆症
脱去反应	消除反应
脱氧羟四环霉素	多西环素 强力霉素 脱氧土霉素
脸书	面簿
脸谱	面簿
脸部辨识	人脸识别
膝形涡蛛	结实腰蟱蛛
自守式	自守形式
自我回归	自回归
自我相关	自相关
自营	自养
自订	自定义
臭肚鱼	蓝子鱼
致电离辐射	电离辐射
船魁蛤	榛蚶
色斯金	萨斯坎德
艾位元组	艾字节
艾氏树蛙	琉球原指树蛙
艾狄胥	埃尔德什
艾美氏试验	埃姆斯试验
芮得柏	里德伯
苏士侃	萨斯坎德
若且唯若	当且仅当
苯二氮平	苯二氮䓬
苯甲基	苄基
苯骈	苯并
范例	示例
范式	范型
范德华	范德瓦耳斯
范德华引力	范德华力
范德华方程式	范德华方程
范特霍夫	范托夫
茎胫	秆柄
茨竹	印度簕竹
荧幕	屏幕
荧幕保护装置	屏幕保护程序
荧幕撷取	截屏
药剂师	药师
莫斯利	莫塞莱
莫耳	摩尔
莫耳分率	摩尔分数
莱斯纳	雷斯勒
莱欧维尔	刘维尔
菊式链结	菊花链接
菊虎科	花萤科
菜栾藤	金花鱼黄草
菱蛛属	丘腹蛛属
菱飞虱科	菱蜡蝉科
菲涅耳绕射	菲涅耳衍射
菲蛛属	喜蟱蛛属
菸硷酸	烟酸
菸硷醯胺	烟酰胺
萤幕	屏幕
萤幕保护装置	屏幕保护程序
萤幕撷取	截屏
营运总监	首席运营官
营运长	首席运营官
著作权资讯	著作权信息
葛瑞夫兹氏病	格里夫氏症
葡萄球菌激酶	金葡菌激酶
蒙地卡罗	蒙特卡洛
蒲金耶氏纤维	浦肯野纤维
蒸散	蒸腾
蓝画面死机	蓝屏死机
蓝白当机	蓝屏死机
蓬莱竹	孝顺竹
蓬莱竹属	簕竹属
蕈蛾科	谷蛾科
薛丁格	薛定谔
蘑菇多糖	香菇多糖
虎克	胡克
虚拟函式	虚函数
虚拟机器	虚拟机
虚拟码	伪代码
虚拟私人网路	虚拟专用网
虚拟记忆体	虚拟内存
虚数轴	虚轴
虚无假设	零假设
虚无假说	零假设
蛋白质体	蛋白质组
蛤蟆蛛属	蛤莫蛛属
蜂巢式数据	蜂窝数据
蜂巢式网络	蜂窝网络
蜂巢式网路	蜂窝网络
蜂巢式资料	蜂窝数据
蝇虎科	跳蛛科
融合反应	聚变反应
血基质	血红素
血管收缩素	血管紧张素
行事历程式	日历程序
行内	内联
行动业者	移动运营商
行动产品	移动产品
行动代理	移动代理
行动作业系统	移动操作系统
行动公司	移动公司
行动内容管理	移动内容管理
行动平台	移动平台
行动广播	移动广播
行动应用	移动应用
行动应用管理	移动应用管理
行动性	移动性
行动支付	移动支付
行动浏览器	移动浏览器
行动版	移动版
行动用户端	移动客户端
行动电信	移动电信
行动电信业者	移动电信运营商
行动电源	移动电源
行动电脑	移动计算机
行动电视	移动电视
行动电话	移动电话
行动硬碟	移动硬盘
行动程式码	移动代码
行动端	移动端
行动终端	移动终端
行动网路	移动网络
行动网路业者	移动网络运营商
行动网路装置	移动联网设备
行动网际网路	移动互联网
行动联网装置	移动联网设备
行动装置	移动设备
行动装置管理	移动设备管理
行动资料	移动数据
行动资讯装置设定档	移动信息设备配置文件
行动软体	移动软件
行动通讯	移动通信
行政总裁	首席执行官
行程控制表	进程控制块
行程群组	进程组
行程间	进程间
行程间通讯	进程间通信
行销	营销
衍化列	继承列表
衍生	派生
衍生类别	派生类
衍生类型	派生类型
表单	窗体
表玻璃	表面皿
表面玻璃	表面皿
裂解酶	裂合酶
装置	设备
装饰仙人球	般若
西方印迹	Western印迹
西方墨点	Western印迹
观音座莲	莲座蕨
规格化	规范化
视像会议	视频会议
视光师	验光师
视窗管理员	窗口管理器
视觉化	可视化
视讯会议	视频会议
视讯档	视频文件 视频档
视讯档案	视频文档
视讯记忆体	显存
视讯轨	视频轨
视讯输入	视频输入
视讯输出	视频输出
视讯连接头	视频接口
角胸泥虫科	擎爪泥甲科
解像度	分辨率
解构	析构
解构函式	析构函数
解析度	分辨率
解离	离解
解离酶	裂合酶
解除参照	解引用
解除安装	卸载
解除规格化	反规范化
解题系统	评测系统
触控式萤幕	触摸屏
触控板	触摸板
触控萤幕	触屏
计数机	计算器
计画页	项目页
计算机科学	电脑科学
认知障碍症	痴呆症
讨论区	论坛
讯号	信号
讯号量	信号量
讯息	信息 消息
讯息传递	信号转导
讯息导向	面向消息
讯息导向中介层	面向消息的中间件
讯息方块	消息框
讯息确认颗粒	信号识别颗粒
讯息鉴别码	消息认证码
记忆体	存储器
记忆体漏失	内存泄漏
记忆卡	存储卡
记忆晶片	存储芯片
设定	设置
设定档	配置文件
设定运算子	赋值运算符
识别码	标识符
语意	语义
语意网	语义网
语法突显	语法高亮
语言套件	语言包
语言导向程式设计	面向语言的程序设计
说明与支援	帮助与支持
说明文件	帮助文档
诺顿魅影系统	诺顿克隆精灵
读卡机	读卡器
读我档案	自述文件
调色盘	调色板
谷固醇	谷甾醇
谷草转胺酶	谷草转氨酶
豆固醇	豆甾醇
象鼻虫科	象甲科
贝他	贝塔
贝克勒	贝克勒尔
贝兹曲线	贝塞尔曲线
贝氏估计	贝叶斯估计
贝氏定理	贝叶斯定理 贝叶斯法则 贝叶斯理论
贝氏推论	贝叶斯推断
贝氏机率	贝叶斯概率
贝氏统计	贝叶斯统计
贝祖	裴蜀
质体	质粒
质元素	素元
质因子	素因子
质因数	素因数
质性	素性
质数	素数
质数测试	素性测试
质环	素环
质理想	素理想
质素	质量
贪婪法	贪心法
贪婪演算法	贪心算法
贴上	粘贴
贴文	帖子
贵气体	惰性气体
费氏数列	斐波那契数列
费波纳契	斐波纳契
费米阶	费密能级
费雪	费希尔
贾伯斯	乔布斯
资料中心	数据中心
资料仓储	数据仓库
资料净化	数据清洗
资料包含	数据包含
资料包括	数据包括
资料夹	文件夹
资料市集	数据集市
资料库	数据库
资料报	数据报文
资料挖掘	数据捕捞
资料探勘	数据挖掘
资料来源	数据源
资料框	数据帧
资料类型	数据类型
资料链结	数据链接
资源回收筒	回收站
资讯	信息
资讯参与	信息接触
资讯及通讯科技	信息及通信技术
资讯学	信息学
资讯安全	信息安全
资讯工业	信息产业
资讯年代	信息时代
资讯总监	首席信息官
资讯时代	信息时代
资讯科学	信息学
资讯科技	信息技术
资讯管理	信息管理
资讯超载	信息过载
资讯长	首席信息官
赤藻糖	赤藓糖
赤藻酮糖	赤藓酮糖
赫士	盖斯
超文件标示语言	超文本标记语言 超文本置标语言
超极致笔电	超极本
超程式设计	元编程 超编程
超音波	超声波
跨性别荷尔蒙治疗	跨性别激素疗法
路径连通	道路连通
跳脱	转义
踩地雷	扫雷
身分	身份
轨域	轨道
轨态	轨道
转换	变换
转接蛋白	接头蛋白
转胺酶	转氨酶
转译	翻译
软件套件	软件包
软件套件管理系统	软件包管理系统
软件开发套件	软件开发工具包
软件流程	软件过程
软体	软件
软体套件	软件包
软体套件管理系统	软件包管理系统
软体开发套件	软件开发工具包
软体流程	软件过程
软碟	软盘
软碟机	软盘驱动器
轴元	主元
轻触	触摸
轻触式荧幕	触摸屏
轻触荧幕	触屏
载入	加载
辅助记忆码	助记符
辉达	英伟达
辨识	识别
迅子	快子
过氙酸	高氙酸
过氧化体	过氧化物酶体
过氯酸	高氯酸
过溴酸	高溴酸
过碘酸	高碘酸
过程控制段	进程控制块
过鎝酸	高锝酸
过铼酸	高铼酸
过锰酸	高锰酸
迈克生	迈克耳孙
迈射	激微波
运算元	操作数
运算子	运算符
运算物件	操作对象
还原光碟	恢复光盘
进阶	高级
远端	远程
远端桌面协定	远程桌面协议
远端程序呼叫	远程过程调用
连心力	有心力
连环新接龙	蜘蛛纸牌
连线分析处理	联机分析处理
连线劫持	会话劫持
连结	链接
连结串列	链表
连锁反应	链反应 链式反应
连锁律	链式法则
退伍军人病	军团病
适合度	拟合优度
选单	菜单
递回	递归
递回关系	递推关系
递建原理	构造原理
递归关系	递推关系
递移	传递
通用序列汇流排	通用串行总线
通行码鉴别协定	密码认证协议
通讯埠转发	端口转发
通讯层	套接层
通讯端	套接字
通配符	万用字元
逻辑卷轴管理	逻辑卷管理
逻辑装置	逻辑器件
逻辑闸	逻辑门
逾时	超时
遗失	丢失
遮蔽	屏蔽
邦佛洛尼	邦费罗尼
邮寄清单	邮件列表
邻近感测器	接近传感器
郝斯多夫	豪斯多夫
郭公虫	郭公甲
都会网路	城域网
都卜勒	多普勒
配位基	配体
配接器	适配器
酮酸血症	酮症酸中毒
醣基化	糖基化
醣苷基	糖基
醯	酰
醯胺	酰胺
重力波	引力波
重复群	重复组
重新启动	重启
重新命名	重命名
重新安装	重装
重新导向	重定向
重新导向页面	重定向页
重新整理	刷新
重新整理频率	刷新率
重设	重置
量子位元	量子比特
金姬蛛属	丽蛛属
金氧半导体	金属氧化物半导体
金花虫科	叶甲科
金蛛科	园蛛科
金钥	密钥
金龟子科	金龟科
鉨	鿭
鉲	锎
鉳	锫
鋂	镅
錼	镎
鍅	钫
鎝	锝
鑀	锿
钙离子通道	钙通道
钙讯号	钙信号
钠钾帮浦	钠钾泵
钩吻鲑属	麻哈鱼属
钸	钚
铁酸	高铁酸
铜箔基板	复铜板
铭印	印记
链介壳虫	链蚧
链结反向	链接反向
链结搜寻	链接搜索
链结正向	链接正向
错合物	复合物 络合物 配合物
错离子	复离子 络离子 配离子
锥大蚊	烛大蚊
锦葵木虱科	裂木虱科
键盘配置	键盘布局
锹形虫科	锹甲科
镏	镥
镭射影碟	激光视盘
镶嵌病毒	花叶病毒
长夜蛛	长蟱蛛
长妩蛛	长蟱蛛
长妩蛛属	长蟱蛛属
长翅飞虱科	袖蜡蝉科
长花蚤	毛泥甲
门得列夫	门捷列夫
闭图定理	闭图像定理
间质隔离	基体分离
间隔缺损	中隔缺损
闵考斯基	闵可夫斯基
闸道器	网关
防写	写保护
防毒	杀毒
阵列	数组
阵列服务器	阵列伺服器
阵列硬碟	阵列硬盘
阶层	层次结构
阻断服务	拒绝服务
阿佛加德罗	阿伏伽德罗
阿佛加德罗常数	阿伏伽德罗常量
阿士匹灵	阿司匹林
阿尔茨海默病	阿兹海默症
阿拉伯芥	拟南芥
阿斯匹灵	阿司匹林
阿瑞尼士	阿伦尼乌斯
附加元件	附加组件
陈述式	语句
除余	除馀
除错	调试
陶中微子	τ中微子
陶子	τ子
隆背菲蛛	隆喜蟱蛛
随插即用	即插即用
隐翅虫科	隐翅甲科
隐藏式马可夫模型	隐马尔可夫模型
雪梨蓝桉	柳叶桉
零元素	零元
雷射	镭射
雷射影碟	激光视盘
雷根糖	果冻豆
青萍属	浮萍属
静不定	超静定
静态型别	静态类型
非典	沙斯
非同步	异步
非类固醇抗发炎药	非甾体抗炎药
面天树蛙	面天原指树蛙
革利士	格里斯
革拉赫	格拉赫
鞋魁蛤	偏胀蚶
鞘胺醇	鞘氨醇
鞘腹姬蛛属	鞘腹蛛属
韧体	固件
音效卡	声卡
音讯	音频
音讯档	音频文件 音频文档 音频档
音讯设定档	情景模式
音讯轨	音频轨
音讯输入	音频输入
音讯输出	音频输出
音频档	音频文件 音频文档
页尾	页脚
页库存档	网页快照
页面快取档	网页快照
页首	页眉
预留位置	占位符
预览列印	打印预览
预设	默认
领先股	前导链
频宽	带宽
颗粒球	粒细胞
颗粒白血球	粒细胞
飞航模式	飞行模式
食欲素	食欲肽
食道	食管
首页	主页
香港针房藤	狮子尾
马克士威	麦克斯韦
马可夫	马尔可夫
马可尼可夫	马尔科夫尼科夫
马可尼可夫法则	马氏规则
驱动程式	驱动程序
驹井氏钝头蛇	阿里山钝头蛇
骇客	黑客
骈七苯	并七苯
骈五苯	并五苯
骈六苯	并六苯
骈四苯	并四苯
骈苯	并苯
高传真	高保真
高基	高尔基
高基氏体	高尔基体
高清多媒体介面	高清多媒体界面
高画质	高清
高画质多媒体介面	高清多媒体界面
高速缓冲记忆体	高速缓冲存储器
高阶程式语言	高级编程语言
高阶语言	高级语言
高音质	高清音质
高音质音讯	高清音频
魁蛤属	蚶属
魁蛤目	蚶目
魁蛤科	蚶科
魅夸克	粲夸克
魅数	粲数
鲍莱耳	博雷尔
鲣节虫	皮蠹
鳃蛤蟆蛛	鳃蛤莫蛛
鸦片	阿片
鸭子型别	鸭子类型
鹰翼魁蛤	舟蚶
麦芽醇	麦芽酚
麦赛尔森	梅塞尔森
麸胺	谷氨
麸胺酸	谷氨酸
麸草转胺酶	谷草转氨酶
麸醯胺酸	谷氨酰胺
麻疹德国麻疹疫苗	麻风疫苗
麻疹腮腺炎	麻腮
麻疹腮腺炎德国麻疹	麻腮风
麻疹腮腺炎德国麻疹混合	麻腮风三联
麻竹属	牡竹属
黄金葛	绿萝
黄颔蛇科	游蛇科
黎纳	李纳
黏康酸	粘康酸
黑条蝇虎属	金蝉蛛属
黑画面	黑屏
黑箱测试	黑盒测试
黑维塞	亥维赛
