# Open Chinese Convert (OpenCC) Dictionary
# File: TSCharacters.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, t2s.json, tw2s.json, tw2sp.json
#
# Audit notes for rare inferred simplified forms:
# Lines tagged @tofu-risk keep the original character as the default candidate.
# Their rare inferred simplified forms may render as tofu on mainstream default
# fonts, so they are generated into TSCharactersExt.txt as a separate table.

# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝈 U+2B748
㑮	㑮 𫝈
悅	悦
悞	悮
悵	怅
悶	闷
悽	凄
惡	恶
惱	恼
惲	恽
惻	恻
愛	爱
愜	惬
愨	悫
愴	怆
愷	恺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢙏 U+2264F
愻	愻 𢙏
愾	忾
慄	栗
態	态
慍	愠
慘	惨
慚	惭
慟	恸
慣	惯
慤	悫
慪	怄
慫	怂
慮	虑
慳	悭
慶	庆
慺	㥪
慼	戚
慾	欲
憂	忧
憊	惫
憐	怜
憑	凭
憒	愦
憖	慭
憚	惮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢙒 U+22652
憢	憢 𢙒
憤	愤
憫	悯
憮	怃
憲	宪
憶	忆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪫺 U+2AAFA
憸	憸 𪫺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢙐 U+22650
憹	憹 𢙐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢙓 U+22653
懀	懀 𢙓
懇	恳
應	应
懌	怿
懍	懔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢠁 U+22801
懎	懎 𢠁
懞	蒙
懟	怼
懣	懑
懤	㤽
懨	恹
懲	惩
懶	懒
懷	怀
懸	悬
懺	忏
懼	惧
懾	慑
戀	恋
戇	戆
戔	戋
戧	戗
戩	戬
戰	战 𢧐
戱	戯
戲	戏
戶	户
扞	捍 扞
拋	抛
# 「拼」與「拚」不是嚴格的繁簡字對，而是兼具地區用字差異。現中國大陸簡體通常寫作
# 「拼命」「拼搏」「拼死」，較少用「拚」。因此 t2s 收錄「拚 -> 拼」作為真實繁體
# 輸入的兼容性轉換。反向 s2t 不加入「拼 -> 拚」，以避免過度轉換。
拚	拼
挩	捝
挱	挲
挾	挟
捨	舍
捫	扪
捱	挨
捲	卷
掃	扫
掄	抡
掆	㧏
掗	挜
掙	挣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪭵 U+2AB75
掚	掚 𪭵
掛	挂
採	采
揀	拣
揚	扬
換	换
揮	挥
揯	搄
損	损
搖	摇
搗	捣
搧	扇
搵	揾
搶	抢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢫬 U+22AEC
摋	摋 𢫬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪭢 U+2AB62
摐	摐 𪭢
摑	掴
摜	掼
摟	搂
摯	挚
摳	抠
摶	抟
摺	折
摻	掺
撈	捞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪭾 U+2AB7E
撊	撊 𪭾
撏	挦
撐	撑
撓	挠
撝	㧑
撟	挢
撣	掸
撥	拨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪮖 U+2AB96
撧	撧 𪮖
撫	抚
撲	扑
撳	揿
撻	挞
撾	挝
撿	捡
擁	拥
擄	掳
擇	择
擊	击
擋	挡
擓	㧟
擔	担
據	据
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪭧 U+2AB67
擟	擟 𪭧
擠	挤
擡	抬
擣	捣 𢭏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢬍 U+22B0D
擫	擫 𢬍
擬	拟
擯	摈
擰	拧
擱	搁
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擽	㧰
擾	扰
攄	摅
攆	撵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪮶 U+2ABB6
攋	攋 𪮶
攏	拢
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攢	攒
攣	挛
攤	摊
攪	搅
攬	揽
敎	教
敓	敚
敗	败
敘	叙
敵	敌
數	数
斂	敛
斃	毙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢽾 U+22F7E
斅	斅 𢽾
斆	敩
斕	斓
斬	斩
斷	断
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣃁 U+230C1
斸	斸 𣃁
於	于 於
旂	旗
旣	既
昇	升 昇
時	时
晉	晋
晛	𬀪
晝	昼
暈	晕
暉	晖
暐	𬀩
暘	旸
暢	畅
暫	暂
曄	晔
曆	历
曇	昙
曉	晓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪰶 U+2AC36
曊	曊 𪰶
曏	向
曖	暧
曠	旷
曥	𣆐
曨	昽
曬	晒
書	书
會	会
朥	𦛨
朧	胧
朮	术
東	东
枴	拐
柵	栅
柺	拐
査	查
桱	𣐕
桿	杆
梔	栀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪱷 U+2AC77
梖	梖 𪱷
梘	枧
梜	𬂩
條	条
梟	枭
梲	棁
棄	弃
棊	棋
棖	枨
棗	枣
棟	栋
棡	㭎
棧	栈
棲	栖
棶	梾
椀	椀 碗
椏	桠 丫
椲	㭏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣒌 U+2348C
楇	楇 𣒌
楊	杨
楓	枫
楨	桢
業	业
極	极
榘	矩
榦	干
榪	杩
榮	荣
榲	榅
榿	桤
構	构
槍	枪
槓	杠
槤	梿
槧	椠
槨	椁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣏢 U+233E2
槫	槫 𣏢
槮	椮
槳	桨
槶	椢
槼	椝
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樞	枢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣗊 U+235CA
樠	樠 𣗊
樢	㭤
樣	样
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣔌 U+2350C
樤	樤 𣔌
樧	榝
樫	㭴
樳	桪
樸	朴
樹	树
樺	桦
樿	椫
橈	桡
橋	桥
機	机
橢	椭
橫	横
橯	𣓿
檁	檩
檉	柽
檔	档
檜	桧
檟	槚
檢	检
檣	樯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣘴 U+23634
檭	檭 𣘴
檮	梼
檯	台
檳	槟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪲛 U+2AC9B
檵	檵 𪲛
檸	柠
檻	槛
櫃	柜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪲎 U+2AC8E
櫅	櫅 𪲎
櫍	𬃊
櫓	橹
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪲮 U+2ACAE
櫠	櫠 𪲮
櫥	橱
櫧	槠
櫨	栌
櫪	枥
櫫	橥
櫬	榇
櫱	蘖
櫳	栊
櫸	榉
櫻	樱
欄	栏
欅	榉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪳍 U+2ACCD
欇	欇 𪳍
權	权
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣐤 U+23424
欍	欍 𣐤
欏	椤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪲔 U+2AC94
欐	欐 𪲔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪴙 U+2AD19
欑	欑 𪴙
欒	栾
欓	𣗋
欖	榄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣚚 U+2369A
欘	欘 𣚚
欞	棂
欽	钦
歎	叹
歐	欧
歟	欤
歡	欢
歲	岁
歷	历
歸	归
歿	殁
殘	残
殞	殒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣨼 U+23A3C
殢	殢 𣨼
殤	殇
殨	㱮
殫	殚
殭	僵
殮	殓
殯	殡
殰	㱩
殲	歼
殺	杀
殻	壳
殼	壳
毀	毁
毆	殴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪵑 U+2AD51
毊	毊 𪵑
毿	毵
氂	牦
氈	毡
氌	氇
氣	气
氫	氢
氬	氩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣱝 U+23C5D
氭	氭 𣱝
氳	氲
氾	泛 氾
汎	泛
汙	污
決	决
沈	沈 沉
沒	没
沖	冲
況	况
泝	溯
洩	泄
洶	汹
浹	浃
浿	𬇙
涇	泾
涗	涚
涼	凉
淒	凄
淚	泪
淥	渌
淨	净
淩	凌
淪	沦
淵	渊
淶	涞
淺	浅
淼	淼 渺
渙	涣
減	减
渢	沨
渦	涡
測	测
渾	浑
湊	凑
湋	𣲗
湞	浈
湧	涌
湯	汤
溈	沩
準	准
溝	沟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪶄 U+2AD84
溡	溡 𪶄
溫	温
溮	浉
溳	涢
溼	湿
滄	沧
滅	灭
滌	涤
滎	荥
滙	汇
滬	沪
滯	滞
滲	渗
滷	卤
滸	浒
滻	浐
滾	滚
滿	满
漁	渔
漊	溇
漍	𬇹
漚	沤
漢	汉
漣	涟
漬	渍
漲	涨
漵	溆
漸	渐
漿	浆
潁	颍
潑	泼
潔	洁
潕	𣲘
潙	沩
潚	㴋
潛	潜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞗 U+2B797
潣	潣 𫞗
潤	润
潯	浔
潰	溃
潷	滗
潿	涠
澀	涩
澂	澂 澄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣶩 U+23DA9
澅	澅 𣶩
澆	浇
澇	涝
澐	沄
澗	涧
澠	渑
澤	泽
澦	滪
澩	泶
澫	𬇕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞚 U+2B79A
澬	澬 𫞚
澮	浍
澱	淀
澾	㳠
濁	浊
濃	浓
濄	㳡
濆	𣸣
濕	湿
濘	泞
濚	溁
濛	蒙
濜	浕
濟	济
濤	涛
濧	㳔
濫	滥
濰	潍
濱	滨
濺	溅
濼	泺
濾	滤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪵱 U+2AD71
濿	濿 𪵱
瀂	澛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣽷 U+23F77
瀃	瀃 𣽷
瀅	滢
瀆	渎
瀇	㲿
瀉	泻
瀋	沈 渖
瀏	浏
瀕	濒
瀘	泸
瀝	沥
瀟	潇
瀠	潆
瀦	潴
瀧	泷
瀨	濑
瀰	弥 㳽
瀲	潋
瀾	澜
灃	沣
灄	滠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞝 U+2B79D
灍	灍 𫞝
灑	洒
灒	𪷽
灕	漓
灘	滩
灙	𣺼
灝	灏
灡	㳕
灣	湾
灤	滦
灧	滟
灩	滟
災	灾
為	为
烏	乌
烴	烃
無	无
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪸩 U+2AE29
煇	煇 𪸩
煉	炼
煒	炜
煙	烟
煢	茕
煥	焕
煩	烦
煬	炀
煱	㶽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪸕 U+2AE15
熂	熂 𪸕
熅	煴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤈶 U+24236
熉	熉 𤈶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤇄 U+241C4
熌	熌 𤇄
熒	荧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤆡 U+241A1
熓	熓 𤆡
熗	炝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤇹 U+241F9
熚	熚 𤇹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤋏 U+242CF
熡	熡 𤋏
熰	𬉼
熱	热
熲	颎
熾	炽
燀	𬊤
燁	烨
燈	灯
燉	炖
燒	烧
燖	𬊈
燙	烫
燜	焖
營	营
燦	灿
燬	毁
燭	烛
燴	烩
燶	㶶
燻	熏
燼	烬
燾	焘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞡 U+2B7A1
爃	爃 𫞡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤇃 U+241C3
爄	爄 𤇃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦶟 U+26D9F
爇	爇 𦶟
爍	烁
爐	炉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤇭 U+241ED
爖	爖 𤇭
爛	烂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪹳 U+2AE73
爥	爥 𪹳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞠 U+2B7A0
爧	爧 𫞠
爭	争
爲	为
爺	爷
爾	尔
牀	床
牆	墙
牘	牍
牴	抵
牽	牵
犇	犇 奔
犖	荦
犛	牦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪺭 U+2AEAD
犞	犞 𪺭
犢	犊
犧	牺
狀	状
狹	狭
狽	狈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪺽 U+2AEBD
猌	猌 𪺽
猙	狰
猶	犹
猻	狲
獁	犸
獃	呆
獄	狱
獅	狮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪺷 U+2AEB7
獊	獊 𪺷
獎	奖
獨	独
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤞃 U+24783
獩	獩 𤞃
獪	狯
獫	猃
獮	狝
獰	狞
獱	㺍
獲	获
獵	猎
獷	犷
獸	兽
獺	獭
獻	献
獼	猕
玀	猡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤞤 U+247A4
玁	玁 𤞤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞥 U+2B7A5
珼	珼 𫞥
現	现
琱	雕
琺	珐
琿	珲
瑋	玮
瑒	玚
瑣	琐
瑤	瑶
瑩	莹
瑪	玛
瑲	玱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪻲 U+2AEF2
瑻	瑻 𪻲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪻐 U+2AED0
瑽	瑽 𪻐
璉	琏
璊	𫞩
璕	𬍤
璗	𬍡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪻺 U+2AEFA
璝	璝 𪻺
璡	琎
璣	玑
璦	瑷
璫	珰
璯	㻅
環	环
璵	玙
璸	瑸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞨 U+2B7A8
璼	璼 𫞨
璽	玺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞦 U+2B7A6
璾	璾 𫞦
璿	璇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪻨 U+2AEE8
瓄	瓄 𪻨
瓅	𬍛
瓊	琼
瓏	珑
瓔	璎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤦀 U+24980
瓕	瓕 𤦀
瓚	瓒
瓛	𤩽
甌	瓯
甕	瓮
產	产
産	产
# 《通用規範漢字表》規定「甦」可用於姓氏、人名。普通詞語如「甦醒」
# 仍簡化為「苏」，其例外列於 TSPhrases.txt。
甦	甦 苏
甯	甯 宁
畝	亩
畢	毕
畫	画 划
異	异
畵	画
當	当
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪽈 U+2AF48
畼	畼 𪽈
疇	畴
疊	叠
痙	痉
痠	酸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪽪 U+2AF6A
痮	痮 𪽪
痾	疴
瘂	痖
瘋	疯
瘍	疡
瘓	痪
瘞	瘗
瘡	疮
瘧	疟
瘮	瘆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪽷 U+2AF77
瘱	瘱 𪽷
瘲	疭
瘺	瘘
瘻	瘘
療	疗
癆	痨
癇	痫
癉	瘅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤶊 U+24D8A
癐	癐 𤶊
癒	愈
癘	疠
癟	瘪
癡	痴
癢	痒
癤	疖
癥	症
癧	疬
癩	癞
癬	癣
癭	瘿
癮	瘾
癰	痈
癱	瘫
癲	癫
發	发
皁	皂
皚	皑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤾀 U+24F80
皟	皟 𤾀
皰	疱
皸	皲
皺	皱
盃	杯
盜	盗
盞	盏
盡	尽
監	监
盤	盘
盧	卢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪾔 U+2AF94
盨	盨 𪾔
盪	荡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪾣 U+2AFA3
眝	眝 𪾣
眞	真
眥	眦
眾	众
睍	𪾢
睏	困
睜	睁
睞	睐
瞘	眍
瞜	䁖
瞞	瞒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥆧 U+251A7
瞤	瞤 𥆧
瞭	瞭 了
瞶	瞆
瞼	睑
矇	蒙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪾸 U+2AFB8
矉	矉 𪾸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪾦 U+2AFA6
矑	矑 𪾦
矓	眬
矚	瞩
矯	矫
硃	朱
硜	硁
硤	硖
硨	砗
硯	砚
碕	埼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥐻 U+2543B
碙	碙 𥐻
碩	硕
碭	砀
碸	砜
確	确
碼	码
碽	䂵
磑	硙
磚	砖
磠	硵
磣	碜
磧	碛
磯	矶
磽	硗
磾	䃅
礄	硚
# 參見 STCharacters.txt 中「硷」的注釋。
礆	礆 硷
礎	础
礐	𬒈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥐟 U+2541F
礒	礒 𥐟
礙	碍
礦	矿
礪	砺
礫	砾
礬	矾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪿫 U+2AFEB
礮	礮 𪿫
礱	砻
祇	祇 只
祕	秘 祕
祿	禄
禍	祸
禎	祯
禕	祎
禡	祃
禦	御
禪	禅
禮	礼
禰	祢
禱	祷
禿	秃
秈	籼
稅	税
稈	秆
稏	䅉
稜	棱
稟	禀
種	种
稱	称
穀	谷
穇	䅟
穌	稣
積	积
穎	颖
穠	秾
穡	穑
穢	秽
穩	稳
穫	获
穭	穞
窩	窝
窪	洼
窮	穷
窯	窑
窵	窎
窶	窭
窺	窥
竄	窜
竅	窍
竇	窦
竈	灶
竊	窃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥩟 U+25A5F
竚	竚 𥩟
竪	竖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫁟 U+2B05F
竱	竱 𫁟
競	竞
筆	笔
筍	笋
筦	筦 管
筧	笕
筴	䇲
箇	个
箋	笺
箏	筝
箚	札 劄
節	节
範	范
築	筑
篋	箧
篔	筼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥬠 U+25B20
篘	篘 𥬠
篠	筿
篢	𬕂
篤	笃
篩	筛
篳	筚
篸	𥮾
簀	箦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫂆 U+2B086
簂	簂 𫂆
簍	篓
簑	蓑
簞	箪
簡	简
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫂃 U+2B083
簢	簢 𫂃
簣	篑
簫	箫
簹	筜
簽	签
簾	帘
籃	篮
籅	𥫣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥬞 U+25B1E
籋	籋 𥬞
籌	筹
籔	䉤
籙	箓
籛	篯
籜	箨
籟	籁
籠	笼
籤	签
籩	笾
籪	簖
籬	篱
籮	箩
籲	吁
粵	粤
糉	粽
糝	糁
糞	粪
糧	粮
糰	团
糲	粝
糴	籴
糶	粜
糹	纟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄙 U+2B119
糺	糺 𫄙
糾	纠
紀	纪
紂	纣
紃	𬘓
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
納	纳
紐	纽
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
紘	纮
紙	纸
級	级
紛	纷
紜	纭
紝	纴
紞	𬘘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄛 U+2B11B
紟	紟 𫄛
紡	纺
紬	䌷
紮	扎
細	细
紱	绂
紲	绁
紳	绅
紵	纻
紹	绍
紺	绀
紼	绋
紿	绐
絀	绌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄟 U+2B11F
絁	絁 𫄟
終	终
絃	弦
組	组
絅	䌹
絆	绊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟃 U+2B7C3
絍	絍 𫟃
絎	绗
結	结
絕	绝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄠 U+2B120
絙	絙 𫄠
絛	绦
絜	絜 洁
絝	绔
絞	绞
絡	络
絢	绚
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄢 U+2B122
絥	絥 𫄢
給	给
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄡 U+2B121
絧	絧 𫄡
絨	绒
絪	𬘡
絰	绖
統	统
絲	丝
絳	绛
絶	绝
絹	绢
絺	𫄨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈌 U+2620C
綀	綀 𦈌
綁	绑
綃	绡
綄	𬘫
綆	绠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈋 U+2620B
綇	綇 𦈋
綈	绨
綉	绣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟄 U+2B7C4
綋	綋 𫟄
綌	绤
綎	𬘩
綏	绥
綐	䌼
綑	捆
經	经
綖	𫄧
綜	综
綝	𬘭
綞	缍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄫 U+2B12B
綟	綟 𫄫
綠	绿
綡	𫟅
綢	绸
綣	绻
綧	𬘯
綪	𬘬
綫	线
綬	绶
維	维
綯	绹
綰	绾
綱	纲
網	网
綳	绷
綴	缀
綵	彩 䌽
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫
綿	绵
緄	绲
緇	缁
緊	紧
緋	绯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈏 U+2620F
緍	緍 𦈏
緑	绿
緒	绪
緓	绬
緔	绱
緗	缃
緘	缄
緙	缂
線	线 缐
緝	缉
緞	缎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟆 U+2B7C6
緟	緟 𫟆
締	缔
緡	缗
緣	缘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄬 U+2B12C
緤	緤 𫄬
緦	缌
編	编
緩	缓
緬	缅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄭 U+2B12D
緮	緮 𫄭
緯	纬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈕 U+26215
緰	緰 𦈕
緱	缑
緲	缈
練	练
緶	缏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈉 U+26209
緷	緷 𦈉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈑 U+26211
緸	緸 𦈑
緹	缇
緻	致
緼	缊
縈	萦
縉	缙
縊	缢
縋	缒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄰 U+2B130
縍	縍 𫄰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈔 U+26214
縎	縎 𦈔
縐	绉
縑	缣
縕	缊
縗	缞
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
縫	缝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈚 U+2621A
縬	縬 𦈚
縭	缡
縮	缩
縯	𬙂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄳 U+2B133
縰	縰 𫄳
縱	纵
縲	缧
縳	䌸
縴	纤
縵	缦
縶	絷
縷	缕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄲 U+2B132
縸	縸 𫄲
縹	缥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈐 U+26210
縺	縺 𦈐
總	总
績	绩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄴 U+2B134
繂	繂 𫄴
繃	绷
繅	缫
繆	缪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄶 U+2B136
繈	繈 𫄶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈝 U+2621D
繏	繏 𦈝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𰬸 U+30B38
繐	繐 𰬸
繒	缯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈛 U+2621B
繓	繓 𦈛
織	织
繕	缮
繚	缭
繞	绕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈎 U+2620E
繟	繟 𦈎
繡	绣
繢	缋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄤 U+2B124
繨	繨 𫄤
繩	绳
繪	绘
繫	系
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄱 U+2B131
繬	繬 𫄱
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繶	𫄷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄣 U+2B123
繷	繷 𫄣
繸	䍁
繹	绎
繻	𦈡
繼	继
繽	缤
繾	缱
繿	䍀
纁	𫄸
纆	𬙊
纇	颣
纈	缬
纊	纩
續	续
纍	累
纏	缠
纓	缨
纔	才
纕	𬙋
纖	纤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄹 U+2B139
纗	纗 𫄹
纘	缵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄥 U+2B125
纚	纚 𫄥
纜	缆
缽	钵
罃	䓨
罈	坛
罌	罂
罎	坛
罰	罚
罵	骂
罷	罢
羅	罗
羆	罴
羈	羁
羋	芈
羣	群
羥	羟
羨	羡
義	义
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫅗 U+2B157
羵	羵 𫅗
羶	膻
習	习
翫	玩
翬	翚
翹	翘
翽	翙
耑	耑 专
耬	耧
耮	耢
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫆏 U+2B18F
聻	聻 𫆏
聽	听
聾	聋
肅	肃
脅	胁
脈	脉
脛	胫
脣	唇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣍰 U+23370
脥	脥 𣍰
脩	修 脩
脫	脱
脹	胀
腎	肾
腖	胨
腡	脶
腦	脑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣍯 U+2336F
腪	腪 𣍯
腫	肿
腳	脚
腸	肠
膃	腽
膕	腘
膚	肤
膞	䏝
膠	胶
膢	𦝼
膩	腻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪱥 U+2AC65
膹	膹 𪱥
膽	胆
膾	脍
膿	脓
臉	脸
臍	脐
臏	膑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣎑 U+23391
臗	臗 𣎑
臘	腊
臚	胪
臟	脏
臠	脔
臢	臜
臥	卧
臨	临
臺	台
與	与
興	兴
舉	举
舊	旧
舖	铺
舘	馆
艙	舱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫇛 U+2B1DB
艣	艣 𫇛
艤	舣
艦	舰
艫	舻
艱	艰
艷	艳
芻	刍
苧	苎
茲	兹
荊	荆
莊	庄
莖	茎
莢	荚
莧	苋
菉	菉 绿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𰰨 U+30C28
菕	菕 𰰨
華	华
菴	庵
菸	烟
萇	苌
萊	莱
萬	万
萴	荝
萵	莴
葉	叶
葒	荭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫈎 U+2B20E
葝	葝 𫈎
葤	荮
葦	苇
葯	药
葷	荤
蒍	𫇭
蒐	搜 蒐
蒓	莼
蒔	莳
蒕	蒀
蒞	莅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫇴 U+2B1F4
蒭	蒭 𫇴
蒼	苍
蓀	荪
蓆	席
蓋	盖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦰏 U+26C0F
蓧	蓧 𦰏
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔄	𬜬
蔔	卜
蔘	参
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蔯	𫈟
蔿	𫇭
