万·阿齐扎	旺阿兹莎
格士黑德	盖茨黑德
格拉兹	格拉茨
格拉拿达	格拉纳达
格来斯瓦德	格赖夫斯瓦尔德
格林威治	格林尼治
格洛索普	格洛瑟普
格瑞那达	格林纳达
格罗索普	格洛瑟普
桑德令罕	桑德灵厄姆
桑治奥	松德里奥
桥港	布里奇波特
桥镇	布里奇顿
梅加瓦蒂	美加华蒂
梅嘉娃蒂	美加华蒂
梅铎	莫道克
梳利侯	索利赫尔
梳士巴利	索尔兹伯里
梳士贝利	什鲁斯伯里
棉登	明登
森吉列伊	先吉列伊
森林地	伍德兰
森麻实	索美塞
楚胡伊夫	丘胡伊夫
榆亚暗沙	柏宁礁
模里西斯	毛里求斯
欢乐暗沙	美巴蒂滩
欧伊朋	奥伊彭
欧文湾	欧文桑德
欧登堡	奥尔登堡
歌来顿	克罗伊登
比亚希兹	比亚里茨
比勒菲尔德	比勒费尔德
比斯凯克	比什凯克
比更士菲	比肯斯菲尔德
比立勤	布拉卡
比路贺利桑特	贝洛奥里藏特
毕尔包	毕尔巴鄂
毛布朗	毛尔布龙
毛里裘斯	毛里求斯
民答那峨	棉兰老
民答那峨岛	棉兰老岛
水牛城	布法罗
汉弥尔顿	哈密尔顿
汉斯	兰斯
汉米顿	汉密尔顿
汉默史密斯	哈默史密斯
汤玛士	托马斯
汶莱	文莱
汶莱和平之国	文莱达鲁萨兰国 汶莱达鲁萨兰国
汶莱达鲁萨兰国	文莱达鲁萨兰国
沃克斯霍尔	沃克斯豪尔
沃加沃加	瓦加瓦加
沃姆斯	沃尔姆斯
沃尔夫斯伯格	沃尔夫斯贝格
沃尔珊斯托	沃尔瑟姆斯托
沃特顿	活特顿
沃索尔	沃尔索尔
沙乌地	沙地
沙乌地阿拉伯	沙地阿拉伯
沙加缅度	萨克拉门托
沙尼亚	萨尼亚
沙尼治	萨尼奇
沙必里	沙比里
沙拉哥萨	萨拉戈萨
沙斯加通	萨斯卡通
沙斯卡寸旺	萨斯卡渣文 萨斯喀彻温
沙比利	沙比里
沙特	沙地
沙特阿拉伯	沙地阿拉伯
沙福	萨福克
沙那	萨那
沙问暗	萨蒙阿姆
沙马德	沙末
泄兰	设德兰
法兰克尼亚地区	弗兰肯地区
法兰克尼亚行政区	弗兰肯行政区
法兰德斯	佛兰德
法兰科夫斯克	弗兰科夫斯克
法哥	法戈
法尔兹	普法尔茨
法属玻里尼西亚	法属波利尼西亚
法恩堡	法恩伯勒
法显暗沙	琳吉礁
法梅恩	法梅讷
波伦亚	博洛尼亚
波佩林厄	波珀灵厄
波兹坦	波茨坦
波塔瓦	波尔塔瓦
波士尼亚与赫塞哥维纳	波斯尼亚和黑塞哥维那
波士尼亚克	波什尼亚克
波夕	博伊西
波奈	博奈尔
波尔察诺	博尔扎诺
波尔顿	博尔顿
波布那	博普塔茨瓦纳
波德里查	波德戈里察
波斯尼亚	波士尼亚
波昂	波恩
波朗	博兰
波札那	博茨瓦纳
波格伦	博尔赫隆
波登湖	博登湖
波美恩	波美拉尼亚
波茵	波英
波莫瑞	波美拉尼亚
波赫	波黑
波里斯皮尔	鲍里斯皮尔
波隆纳	博洛尼亚
泰恩	泰因
泰益·马哈茂德	泰益玛目
泰米尔	淡米尔
泽凯利亚	亚克罗提利
洛戴	洛迪
洛蒙	洛蒙德
洛达咸	罗瑟勒姆
活士	伍兹
活橡	利夫奥克
派丁顿	帕丁顿
海克力斯	赫拉克勒斯
海参崴	符拉迪沃斯托克
海宁礁	沙吉礁
海安礁	沙合礁
海尔斯罕	黑尔舍姆
海布隆	海尔布隆
海康暗沙	阿顺礁
海机治	海格特
淡米尔	泰米尔
深圳湾	后海湾
温切斯特	温彻斯特
温尼辟	温尼伯
温布利亚	翁布里亚
温布莱	温布利
温布顿	温布尔登
温特窝夫	温特沃斯
温荷克	温得和克
温车士打	温彻斯特
温达	文达
渭州	威尔特
湾斯禾夫	旺兹沃思
满地可	蒙特利尔
滨世	伯恩赛德
漆咸	查塔姆
潭门礁	万年烟礁
澄平礁	白石滩
澳大利亚	澳洲
澳洲	澳大利亚
澳洲联邦	澳大利亚联邦
火奴鲁鲁	檀香山
焦尔	杰尔
燕豪芬	艾恩德霍芬
爱丽斯泉	艾丽斯斯普林斯
爱兰立	厄于拉讷
爱华勒	埃弗拉德
爱华勒柏	埃弗拉德帕克
爱塞	艾瑟尔
爱尔朗根	埃尔朗根
爱尔福特	埃尔福特
爱德华城	爱德华兹敦
爱德蒙顿	埃德蒙顿
爱民顿	埃德蒙顿
爱特咸	埃尔特姆
爱第尼	埃迪尔内
爱荷华	艾奥瓦
爱蒙顿	埃德蒙顿
特伦提诺	特伦蒂诺
特伦特河畔史笃	特伦特河畔斯托克
特伦甘纳	泰伦加纳
特华	特鲁瓦
特普利策	特普利采
特诺皮尔	捷尔诺波尔
特雷斯登	德累斯顿
特鲁华	特鲁瓦
犹加敦	尤卡坦
狄力	帝力
狄蒙	得梅因
独立国协	独联体
狮子山	塞拉利昂
狼堡	沃尔夫斯堡
玻里尼西亚	波利尼西亚
班列特	巴尼特
班基	班吉
班布里治	班布里奇
班来	伯恩利
班竹	班珠尔
班迪哥	本迪戈
琉森	卢塞恩
琳宝	兰贝斯
琼台礁	文丁破礁
瑟比利	萨德伯里
瓜加林	夸贾林
瓜地洛普	瓜德罗普
瓜地马拉	危地马拉
瓜地马拉市	危地马拉城
瓜达康纳尔	瓜达尔卡纳尔
瓦兹曼	瓦茨曼
瓦内顿	瓦尔讷通
瓦勒他	瓦莱塔
瓦哈	华合
瓦哈比	华合
瓦尔斯	法尔斯
瓦尔珊森林	沃尔瑟姆福里斯特
瓦拉多利德	巴利亚多利德
瓦特福	沃特福德
瓦特顿	活特顿
瓦都兹	瓦杜兹
甘比亚	冈比亚
甘比尔山	芒特甘比尔
甘露	坎卢普斯
甘马仁	甘马粦
申根公约	申根协议
留尼旺	留尼汪
畿内亚	几内亚
畿内亚比绍	几内亚比绍
登地	邓迪
登巴	邓巴
登打士	邓达斯
白令根	贝灵恩
白兰轩	布伦海姆 布林德海姆
白加	巴克
白加山	芒特巴克
白朗峰	勃朗峰
白礼顿	布赖顿
百慕达	百慕大
百福	贝德福德
皆因	卡宴
皇后大学	女王大学
皮利士葛	普雷斯科特
皮特肯	皮特凯恩
盖兹赫德	盖茨黑德
盖威克	盖特威克
盟谊暗沙	友谊礁
真尼沙	开姆尼茨
矽谷	硅谷
砵兰	波特兰
碧勤翠	贝肯翠
社本	舍伯恩
祖格峰	楚格峰
神根	申根
神根公约	申根协议
福尔特	菲尔特
福恩	弗尔讷
福拉尔贝格邦	福拉尔贝格州
禧福	赫里福德
禾京顿	沃金顿
禾夫斯堡	沃尔夫斯堡
禾获甸拿	伏伊伏丁那
科伦坡	哥伦坡
科发	福弗尔
科多瓦牧场	兰乔科尔多瓦
科布伦兹	科布伦茨
科敏	科米讷
科特迪瓦	象牙海岸
科特里克	科特赖克
科罗拉多泉	科罗拉多斯普林斯
科芬特里	考文垂
科赤	科尔察
科赤斯特	科尔切斯特
积逊	杰森
积逊威尔	杰森维尔
穆希丁	慕尤丁
穆斯佐	穆斯乔
穆斯塔法	慕斯达法
穆罕默德	莫哈末
突尼斯	突尼西亚
突尼西亚	突尼斯
窝咸史杜	沃尔瑟姆斯托
窝咸森林	沃尔瑟姆福里斯特
窝士打	伍斯特
窝打老	滑铁卢
立斯摩尔	利斯莫尔
端古·赛义德·西拉杰丁	端姑赛西拉祖丁
端姑赛义德·西拉杰丁	端姑赛西拉祖丁
端姑赛西拉如丁	端姑赛西拉祖丁
符兹堡	维尔茨堡
第尼伯	第聂伯罗
第尼伯彼得罗夫斯克	第聂伯罗彼得罗夫斯克
第巴尔	迪勃拉
第开特	迪凯特
策提涅	采蒂涅
簸箕礁	西布礁
米占·再纳·阿比丁	米占再纳阿比丁
米尔布雷	密尔布瑞
米尔果罗德	米尔哥罗德
米德尔斯堡	米德尔斯伯勒
米德斯堡	米德尔斯伯勒
米杜士堡	米德尔斯伯勒
米詹	米占
米詹·扎因·阿比丁	米占再纳阿比丁
索兹伯里	索尔兹伯里
索维托	索韦托
索美塞特	索美塞
索顿	萨顿
索马利亚	索马里
索马利兰	索马里兰
红木城	雷德伍德城
红桥	雷德布里奇
约纳河	约讷河
约纳省	约讷省
约翰尼斯堡	约翰内斯堡
约郡	约克郡
纳华拉	纳瓦拉
纳卯市	达沃市
纳吉布	纳吉
纳哈扬	纳言
纳士维	纳什维尔
纳戈尔诺卡拉巴赫	纳戈尔诺
纳木尔	那慕尔
纳次福	纳茨福德
纳潘尼	纳帕尼
纳米比亚	那米比亚
纳许维尔	纳什维尔
纽华克	纽瓦克
纽卡素	纽卡斯尔
纽卡索	纽卡斯尔
纽咸	纽汉
纽堡	尼尔堡
纽奥良	新奥尔良
纽宾士域	新不伦瑞克 新布兰斯威
纽沙特	纳沙泰尔 讷沙托 讷沙泰勒
纽泽西	新泽西
纽英伦	新英格兰
纽马赫	诺伊马克特
经济事务和气候行动部	经济和气候保护部
经济合作及发展部	经济合作与发展部
维也纳邦	维也纳州
维京	维尔京
维京群岛	维尔京群岛
维冈	威根
维吉尼亚	弗吉尼亚
维希	维琪
维德角	佛得角
维根	威根
维特沃斯	惠特沃斯
维特祖治	惠特彻奇
维珍尼亚	弗吉尼亚
维瓦特斯兰	威特沃特斯兰德
维萨亚人	米沙鄢人
维萨亚斯	米沙鄢
绿德斯翰	吕德斯海姆
绿根	吕根
绿根岛	吕根岛
绿湾	格林贝
缅尼吐巴	曼尼多巴
缅尼图连	马尼图林
缅尼托巴	曼尼托巴
缅恩斯	美因茨
罗亚尔河	卢瓦尔河
罗亚罗克桑斯	卢瓦罗克桑斯
罗德岛	罗得岛
罗德西亚	罗得西亚
罗慈地	罗奇代尔
罗拉赫	勒拉赫
罗梭	罗索
罗素	拉塞尔
罗里	罗利
美利	墨累
美善同	梅德斯通
美因兹	美因茨
美度息士	米德尔塞克斯
美度石士	米德尔塞克斯
美景市	贝洛奥里藏特
美熹德	默塞德
美茵	美因
美茵兹	美因茨
美西纳	墨西拿
翠丝	特雷西
翠登	特伦顿
老安道尔	安道尔城
老挝	寮国
老挝人民民主共和国	寮人民民主共和国
老挝文	寮文
老挝法国保护国	寮法国保护国
老挝王国	寮王国
老挝语	寮语
考那斯	考纳斯
耶洛奈夫	黄刀镇
聂伯	第聂伯
聂伯城	第聂伯罗 第聂伯罗彼得罗夫斯克
聂斯特	德涅斯特
联福	伦弗鲁
联邦资料处理标准	联邦信息处理标准
肯亚	肯尼亚
肯尼兹	开姆尼茨
肯诺拉	凯诺拉
胡列治	伍利奇
胡格斯特拉顿	霍赫斯特拉滕
腓特烈顿	弗雷德里克顿
舒兹伯利	什鲁斯伯里
舒梨	萨里
舒维兹	施维茨
般尼	伯恩利
般尼茅夫	伯恩茅斯
艾丁	埃尔丁
艾伯特	阿尔伯特
艾克利内	埃尔克利讷
艾卜耶	阿卜耶伊
艾厄士米尔	埃尔斯米尔
艾哈迈德	阿末
艾塞克斯	埃塞克斯
艾夫拉塔	埃夫拉塔
艾希特	埃克塞特
艾斯科	埃斯科
艾斯美	埃尔斯米尔
艾森纳赫	爱森纳赫
艾比尔	埃尔比勒
艾比路	阿比路
艾特瓦特	阿特沃特
艾珊	埃尔特姆
艾福特	埃尔福特
芝华塔尼欧	锡瓦塔内霍
芬士巴利	芬斯伯雷
芬斯伯里	芬斯伯雷
芳堤娜	弗隆特纳克
芳登广场	旺多姆广场
苏克瑞	苏克雷
苏加诺	苏卡诺
苏哈托	苏哈多
苏彝士	苏伊士
苏彝士运河	苏伊士运河
苏必略	苏必利尔
苏连多	索伦托
苗顿	米尔顿
英伦海峡	英吉利海峡
英属哥伦比亚	不列颠哥伦比亚 卑诗
英皇佐治广场	乔治王广场
英皇十字	国王十字
英联邦	共和联邦
茂路凡	莫尔文
茅利塔尼亚	毛里塔尼亚
茉莉亚岛	莫雷阿岛
茵斯布鲁克	因斯布鲁克
茶树涌	蒂特里加利
茹埃莱都尔	茹埃莱图尔
荷伯特	霍巴特
荷尼阿拉	霍尼亚拉
荷属安地列斯	荷属安的列斯
荷属沙巴	萨巴
荷巴特	霍巴特
荷甫	霍夫
荷里活	好莱坞
荷顿	哈尔顿
莫三比克	莫桑比克
莫士比	莫尔斯比
莫士比港	莫尔斯比港
莫夕亚	穆尔西亚
莫洛尼	莫罗尼
莫瑟尔	摩泽尔
莫西亚	穆尔西亚
莱因兰	莱茵兰
莱思罗普	拉斯罗普
莱普邦	莱普州
莱法邦	莱法州
莱波萨维奇	莱波萨维齐
莱赫瑙	赖兴瑙 赖谢瑙
获加围	沃克维尔
获素	沃克斯豪尔
菲士兰	弗里斯兰
菲尼克斯	凤凰城
菲德里克	弗雷德里克
菲沙	弗雷泽
菲瑟涅	弗雷西内
萌岛	马恩岛
萨丁尼亚	撒丁
萨伊德	赛益
萨克其万	萨斯喀彻温
萨克森邦	萨克森州
萨安邦	萨安州
萨尔兰邦	萨尔兰州
萨尔布鲁根	萨尔布吕肯
萨尔斯堡	萨尔茨堡
萨尔斯堡州	萨尔茨堡州
萨尔斯堡邦	萨尔茨堡州
萨尔邦	萨尔州
萨拉赫丁	沙拉胡丁
萨斯喀屯	萨斯卡通
萨斯喀彻温	萨斯卡渣文
萨斯奎哈纳	萨斯奎汉纳
萨特河	萨尔特河
萨特省	萨尔特省
萨瑟克	南华克
萨赫尔	萨赫勒
萨雷诺	萨莱诺
萨马德	沙末
萨默塞特	索美塞
落基	洛矶
落矶	洛矶
葛兰盖瑞	格伦加里
葛摩	科摩罗
蒂宾根	图宾根
蒙佩利尔	蒙彼利埃
蒙哲腊	蒙特塞拉特
蒙特佩利尔	蒙彼利埃
蒙特内哥罗	黑山
蒙特娄	蒙特利尔
蒙特瑞	蒙特雷
蒙特维多	蒙得维的亚
蒙皮立	蒙彼利埃
蒲庶庇	普罗斯佩克特
蒲福	博福尔
蒲隆地	布隆迪
蔚蓝海岸	蓝色海岸
薛邓咸	锡德纳姆
衞氏朝鲜	卫氏朝鲜
衞满朝鲜	卫满朝鲜
衡州	汉普
衣索比亚	埃塞俄比亚
西伐利亚	威斯特法伦
西利西亚	西里西亚
西南非	西南非洲
西发利亚	威斯特法伦
西哥德	西哥特
西恩纳	锡耶纳
西拉如丁	西拉祖丁
西拉杰丁	西拉祖丁
西敏	威斯敏斯特
西敏宫	威斯敏斯特宫
西格马林根	锡格马林根
西法伦	威斯特法伦
西波美拉尼亚	前波美拉尼亚
西滩	韦斯特比奇
西澳州	西澳大利亚州
西米卡绵	西密卡米恩
西维尔	塞维利亚
西罕	西汉姆
西谷	塞尔扣克
詹姆士	詹姆斯
设得兰	设德兰
诗贝亚	施派尔
诺丁罕	诺丁汉
诺克少	努瓦克肖特
诺华斯高沙	新斯科舍 诺瓦斯科舍
诺咸顿	北安普顿
诺域治	诺里奇
诺士佛	纳茨福德
诺威治	诺里奇
诺定咸	诺丁汉
诺尔省	北部省
诺曼第	诺曼底
诺活	诺伍德
诺鲁	瑙鲁
谢尔本	舍伯恩
谢赫·穆扎法尔	赛慕查化
谭沃思	塔姆沃思
谭禾夫	塔姆沃思
象牙海岸	科特迪瓦
豪士罗	豪恩斯洛
贝云	巴约讷
贝南	贝宁
贝司兰	别斯兰
贝夫农绿地	贝夫诺格林
贝尔墨邦	贝尔莫潘
贝尔嫩	贝尔讷姆
贝尔格勒	贝尔格莱德
贝德福	贝德福德
贝思纳尔绿地	贝夫诺格林
贝杰拉克	贝尔热拉克
贝罗那	贝洛纳
贝里斯	伯利兹
贝里琉	佩莱利乌
贝隆纳	贝洛纳
费希特山	菲希特尔山
费特咸	费尔特姆
费里曼图	弗里曼特尔
费雷堡	弗赖堡
贾法	嘉法 惹化
贾法	惹法 查化
赖比瑞亚	利比里亚
赖索托	莱索托
赛义夫	赛夫
赛义德	赛益
赛普勒斯	塞浦路斯
赤斯特街	切斯特勒斯特里特
赤斯特非	切斯特菲尔德
赫内	黑尔讷
赫塞哥维纳	黑塞哥维那
赫尔河畔京斯敦	赫尔河畔金斯敦
赫瑞福	赫特福德 赫里福德
赫福	赫特福德
路易咸	刘易舍姆
路易士港	路易港
路易斯罕	刘易舍姆
路沙卡	卢萨卡
车士打	切斯特
车士打菲特	切斯特菲尔德
车士打郡	柴郡
车尼夫契	切尔诺夫策
车特咸	切尔滕纳姆
车诺比	切尔诺贝利
车路士	切尔西
辛巴威	津巴布韦
辛布	廷布
辛菲洛普	辛菲罗波尔
辛费罗波尔	辛菲罗波尔
达佛	达尔富尔
达卡	达喀尔
达姆城	达姆施塔特
达拉谟	达勒姆
达根罕	达格纳姆
达浩	达豪
达雅克	达雅
迈亚密	迈阿密
迪克斯木德	迪克斯迈德
迪尔道夫	迪尔多夫
迪耶普	第厄普
通托维	汤多威
道森河	道森克里克
邓寇克	敦刻尔克
那不勒斯	拿波利
都兰	图赖讷
都尔	图尔
鄂图曼	奥斯曼
采伦道夫	采伦多夫
里兹	利兹
里奇蒙	里士满
里希坦伯格	利希滕贝格
里朗威	利隆圭
里耳	里尔
金夏沙	金沙萨
金奈	清奈
金宝	坎贝尔
金宝城	坎贝尔敦
金宝河	坎贝尔里弗
金巴伦	坎伯兰 坎布里亚
金石城	金斯敦
钓鱼台	钓鱼岛
钓鱼台列屿	钓鱼岛及其附属岛屿
钓鱼台及其附属岛屿	钓鱼岛及其附属岛屿
钦奈	清奈
锡慕查化	赛慕查化
锡菲	谢菲尔德
锦禄	坎卢普斯
门洛公园	门洛帕克
闪高	锡姆科
阁伦	科克伦
阿亨	亚琛
阿什哈巴特	阿什哈巴德
阿他加马	阿塔卡马
阿伯尼	奥尔巴尼
阿克提卡	奥赫蒂尔卡
阿克罗蒂里	亚克罗提利
阿克罗蒂里和泽凯利亚	亚克罗提利和德凯利亚
阿克鲁帝利	亚克罗提利
阿克鲁帝利及德基利亚	亚克罗提利和德凯利亚
阿卜杜勒	阿都
阿卜杜勒-阿齐兹	阿都阿兹
阿卜杜勒·拉希姆	阿都拉欣
阿卜杜勒·拉扎克	阿都拉萨
阿卜杜勒·拉赫曼	阿都拉曼
阿卜杜勒·阿齐兹	阿都阿兹
阿卜杜勒·马利克	阿都马力
阿卜杜拉	阿都拉
阿卜杜拉·巴达威	阿都拉·巴达威
阿卜杜拉·巴达维	阿都拉·巴达威
阿哥纳	阿尔戈纳
阿姆胡特	艾尔姆胡尔特
阿姆霍特	艾尔姆胡尔特
阿密达	阿米代尔
阿尔卑斯	阿尔派恩
阿尔维	阿威
阿尤布	阿育
阿布·巴卡尔	阿布峇卡
阿布加	阿布贾
阿布奎基	阿尔伯克基
阿布巴卡	阿布峇卡
阿布巴卡尔	阿布峇卡
阿布达比	阿布扎比
阿布都	阿都
阿布都-阿济兹	阿都阿兹
阿布都·阿济兹	阿都阿兹
阿布都拉	阿都拉
阿布都拉·巴达威	阿都拉·巴达威
阿布都拉曼	阿都拉曼
阿庇亚	阿皮亚
阿得雷德	阿德莱德
阿德莱得	阿德莱德
阿必尚	阿比让
阿拉伯联合大公国	阿拉伯联合酋长国
阿拉姆	阿兰
阿拉巴马	亚拉巴马
阿拉米达	阿拉梅达
阿斯玛拉	阿斯马拉
阿梅尔	阿尔梅勒
阿济兹	阿兹
阿特兰大	亚特兰大
阿玛菲	阿马尔菲
阿联	阿联酋
阿芝莎	阿兹莎
阿费尔德	阿尔费尔德
阿迪斯阿贝巴	亚的斯亚贝巴
阿都·拉欣	阿都拉欣
阿都·拉萨	阿都拉萨
阿风索克劳迪欧	阿方索克劳迪乌
阿齐兹	阿兹
阿齐扎	阿兹莎
陶域	特威德
陶菲克	道菲
隆河	罗讷河
隆河新堡	罗讷新堡
隆河省	罗讷省
隐波暗沙	拿督打立礁
隠波暗沙	拿督打立礁
雀西	特雷西
雅各布	耶谷
雅宾利	奥尔巴尼
雅尔达	雅尔塔
雅恩德	雅温得
雅息士	埃塞克斯 艾塞克斯
雅息特	埃克塞特
雅拉伦拉	亚拉伦拉
雅柯布	耶谷
雅穆索戈	亚穆苏克罗
雅芳	埃文
雅连	亚伦
雪柏	谢泼德
雪梨	悉尼
雪菲尔	谢菲尔德
雷伊泰岛	莱特岛 莱特湾
雷伊泰湾	莱特湾
雷伊泰省	莱特省
雷克斯汉姆	雷克瑟姆
雷克雅维克	雷克雅未克
雷吉纳	里贾纳
雷士廉	莱斯里普
雷格尼兹河	雷格尼茨河
雷湾	桑德贝
雷瓦登	吕伐登
霍尔斯坦	荷尔斯泰因
露明	洛蒙德
非百敦	锡巴顿
非里西亚	弗里西亚
韦卓	惠特彻奇
韦和夫	惠特沃斯
韦息士	威塞克斯
韦斯咸	西汉姆
韦根	威根
韦特史东	威尔德斯通
韩国	南韩
韩国与朝鲜	南韩与北韩
韩国以及朝鲜	南韩以及北韩
韩国及朝鲜	南韩及北韩
韩国同朝鲜	南韩同北韩
韩国和朝鲜	南韩和北韩
韩方	南韩方面
韩裔	南韩裔
须耳德	斯海尔德
顿内次	顿涅茨
顿内次克	顿涅茨克
顿内茨克	顿涅茨克
飞濑	飞屿
食品及农业部	食品和农业部
香贝里	尚贝里
马丁尼克	马提尼克
马丁尼兹	马丁内斯
马久罗	马朱罗
马什	马尔什
马凯	马尔凯
马利兰	马里兰
马利安纳	马里亚纳
马卡迪	马卡蒂
马哈地	马哈迪
马哈茂德	马末
马哈蒂尔	马哈迪
马士河	马斯河
马尔他	马耳他
马尔地夫	马尔代夫
马尔摩	马尔默
马布多	马普托
马德堡	马格德堡
马拉威	马拉维
马斯垂克	马斯特里赫特
马来西亚总理	马来西亚首相
马纳瓜	马那瓜
马赛鲁	马塞卢
骄宁咸	吉林汉姆
高云地利	考文垂
高士福	戈斯福德
高活	古德伍德 科尔伍德
高车士打	科尔切斯特
鲁安达	罗安达
鲁梅斯堡	鲁梅尔斯堡
鲁特	劳特
鸦兰	阿伦
鸭巴甸	阿伯丁
麦克墨雷	麦克默里
麦基尔	麦吉尔
麦德威	梅德韦
麦梅利	麦克默里
麦纳玛	麦纳麦
麦觉理	麦考瑞
麦赫连	梅赫伦
麻六甲	马六甲
麻省	马萨诸塞州
麻萨诸塞	马萨诸塞
麻萨诸塞州	马萨诸塞州
黄刀镇	耶罗纳夫
黑森林	黑林山
黑森邦	黑森州
黑池	布莱克浦
黑潭	布莱克浦
龙山山脉	德拉肯斯山脉
