128位	128位元
格拉赫	革拉赫
格里夫氏症	葛瑞夫茲氏病
格銳目	格雷姆
桂皮醛	肉桂醛
框圖	方塊圖
桌上型電腦	桌上電腦
桌面型	桌上型
梅塞爾森	麥賽爾森
梅瑟生	麥賽爾森
梗死	梗塞
條脊甲	背條蟲
棘層	棘狀層
棣美弗	狄默夫
棣莫弗	狄默夫
概似	似然
概率	機率
榛蚶	船魁蛤
樂視云計算	樂視雲計算
標勢	純量勢
標準畫質	標清
標簽頁	分頁
標記語言	標示語言
標識符	識別碼
標量	純量
標頭	檔頭
標題欄	標題列
模塊	模組
模式識別	圖型識別
模擬現實	模擬實境
樹突狀細胞	樹狀細胞
樹突細胞	樹狀細胞
橋腦	腦橋
機上盒	機頂盒
機器代碼	機械碼
機器碼	機械碼
機率	概率
橫屏幕	橫熒幕
橫紋蠅獅	橫紋蠅虎
橫螢幕	橫熒幕
檢定	檢驗
檢定力	統計功效
檢驗位	核對位元
檢驗和	核對和
權標	符記
欠阻尼	次阻尼
次原子	亞原子
歐尼斯特	歐內斯特
正交補	正交補餘
正腎上腺素	去甲腎上腺素
正規表示式	正則表達式
正規語言	正則語言
步甲	步行蟲
死機	當機
死鎖	死結
殺毒	防毒
母體	總體
比特	位元
比特率	位元速率
比特誤碼率	位元錯誤率
毛山豬菜	變葉姬旋花
毛泥甲	長花蚤
毛葉喜鹽草	毛葉鹽藻
毛葉桉	托列里桉
氟甲喹	氟滅菌
氟甲碸霉素	氟甲磺氯黴素
氟苯尼考	氟甲磺氯黴素
氟苯達唑	氟苯並嘧唑氨基甲酸
氣喘	哮喘
氦融合	氦聚變
氨苄青霉素	安比西林
氫融合	氫聚變
氯喹	氯化奎寧
水制	水製
水印	浮水印
求余	求餘
沃森	華生
沃爾克	沃克
沙卡洛夫	沙哈諾夫
沙斯	沙士
沼大蚊	亮大蚊
沼芋屬	水芭蕉屬
泊松	帕松
法布里	法布立
泡利	包立
泡沫塑料	泡沫塑膠
波矢	波向量
波義耳	波以耳
波耳	玻爾
注冊機	序號產生器
注冊表	登錄檔
泰妙菌素	泰妙素
泰樂菌素	泰黴素
洋菜	大菜
洛倫玆	勞侖茲
洛倫茨	勞侖次
洛埃境	洛以得鏡
洪德定則	洪特規則
洪德規則	洪特規則
活動體	滋養體
活度因子	活性因子
活度系數	活性係數
活性減毒	減活
活鎖	活結
派生	衍生
派生類	衍生類別
派生類型	衍生類型
流媒體	串流媒體
流密碼	串流加密法
流水線	管線
流腦	流行性腦脊髓膜炎
浦肯野縴維	蒲金耶氏纖維
浦肯野纖維	蒲金耶氏纖維
浮萍屬	青萍屬
海芋	馬蹄蓮
海馬旁迴	海馬旁回
海馬迴	海馬體
消去法	消元法
消息	訊息
消息框	訊息方塊
消息認證碼	訊息鑑別碼
消除反應	消去反應
液力變矩器	扭矩轉換器
液泡	液胞
混合現實	混合實境
混成	雜化
清理緩存	清除快取
減毒性疫苗	減活疫苗
減毒性病毒	減活病毒
減毒活	減活
減毒活疫苗	減活疫苗
減毒活病毒	減活病毒
渦蛛科	嫵蛛科
測序	定序
渲染	彩現
游蛇科	遊蛇科
游離	電離
游離能	電離能
游離輻射	致電離輻射 電離輻射
湍流	亂流
湯姆孫	湯姆生
湯姆森	湯姆生
源代碼	原始碼
源文件	原始檔
溢出	溢位
溶組織內阿米巴	痢疾阿米巴
溶體	溶酶體
滑塊	滾軸
滾動	捲動
滾動框	捲動方塊
滾動條	捲軸
滾動欄	捲軸
演示稿	簡報
漢坦病毒	漢他病毒
澤字節	皆位元組
澱粉樣物質	澱粉樣蛋白
激光視盤	鐳射影碟
激動劑	促效劑
激微波	邁射
激活	啟用 活化
激活函數	啟用功能
激活劑	活化劑
濤微中子	陶中微子
濾泡	卵泡
瀏覽框	瀏覽域
火制	火製
炮制	炮製
無失真壓縮	無損壓縮
無損	無失真
無母數	非參數
無細胞百白破疫苗	白喉破傷風非細胞性百日咳混合疫苗
無線廣播	地面廣播
無線電視	地面電視
無限不循環小數	無盡不循環小數
無限小數	無盡小數
無限循環小數	無盡循環小數
照片	相片
照相手機	相機手機
熱亞海芋	蘭嶼姑婆芋
營運長	營運總監
營銷	行銷
燭大蚊	錐大蚊
爬蟲綱	爬行綱
爬蟲類	爬行類
父類	父類別
版權	著作權
牙甲科	牙蟲科
牡竹屬	麻竹屬
物理內存	實體記憶體
物理地址	實體位址
物理層	實體層
物量	物質的量
特斯拉	忒斯拉
特麗瓏	特麗霓虹
犁頭尖	土半夏
犁頭尖屬	土半夏屬
狀態欄	狀態列
狂牛症	瘋牛症
獐牙菜屬	當藥屬
獲取	取得
玉山竹	玉山箭竹
玉山竹屬	玉山箭竹屬
王氏樹蛙	王氏原指樹蛙
玩家國度	玩家共和國
玻恩	波恩
玻爾玆曼	波茲曼
玻爾玆曼常數	波茲曼常數
玻爾磁子	波耳磁元
珀羅	培若
班納杜	必理痛
瑞利	瑞立
瑞鳳玉	多角仙人球
瑪麗	瑪莉
瑪麗亞	瑪莉亞
瓊脂	大菜
瓢甲科	瓢蟲科
生發中心	生髮中心
產品密鑰	產品金鑰
用戶界面	用户介面
甲型H1N1流感	人類豬型流感
甲狀旁腺激素	副甲狀腺激素
畢奧	必歐
畢氏數	畢氏三元數
異亮氨酸	異白氨酸
異位	變構
異常處理	例外處理
異搆體	異構體
異構物	異構體
異步	非同步
異營	異養
異白胺酸	異白氨酸
異質變異數	異方差
當且僅當	若且唯若
當前版本	目前版本
疑難解答	疑難排解
症候群	綜合症
症狀	徵狀
痴呆症	腦退化症
瘋牛病	瘋牛症
瘦木虱屬	中尾突木蝨屬
登錄	登入
發短信	傳短訊
發短訊	傳短訊
發簡訊	傳短訊
發送	傳送
白破疫苗	白喉破傷風混合疫苗
白細胞	白血球
白胺酸	白氨酸
白胺醯	白氨醯
百度云計算	百度雲計算
百白破	白喉破傷風百日咳
百白破三聯	白喉破傷風百日咳混合
百金花屬	百金屬
皮埃爾	皮耶
皮爾遜	皮爾森
皮蠹	鰹節蟲
皺褶	嵴
監控	監視
盤符	磁碟機代號
目標代碼	目標碼
目標用戶	目標使用者
目標軟體	目標軟件
目標集	目標集合
目的碼	目標碼
相冊	相簿
相消干涉	破壞性干涉
相長干涉	建設性干涉
盾背蝽科	盾蝽科
盾蚧科	盾介殼蟲科
矢勢	向量勢
矢量圖形	向量圖形
短信	短訊
短視頻	短影音
石柑子	柚葉藤
石柑屬	柚葉藤屬
石柑族	柚葉藤族
砈	砹
硅	矽
硅藻	矽藻
硝化甘油	硝酸甘油
硝酸甘油炸藥	矽藻土炸藥
硬盤	硬碟
硬盤陣列	硬碟陣列
硬盤驅動器	硬碟機
硬編碼	寫死
硬體	硬件
碎形	分形
碧眼樹蛙	碧眼原指樹蛙
磁共振成像	磁力共振掃描
磁共振造影	磁力共振掃描
磁疇	磁域
磁盤	磁碟
磁盤碎片整理	磁碟重組
磁盤碎片整理程序	磁碟重組工具
磁盤陣列	磁碟陣列
磁盤驅動器	磁碟機
磁道	磁軌
磁頭划碰	磁頭損壞
示例	範例
社會媒體	社交媒體
社群媒體	社交媒體
社群網站	社交網站
社群網路	社交網絡
祖克柏	朱克伯格
祝蛾	折角蛾
神曲	神麴
神經症	精神官能症
神經胺酸	神經氨酸
科普蘭	克柏蘭
科赫法則	柯霍氏法則
移動互聯網	流動互聯網
移動代理	流動代理
移動代碼	流動程式碼
移動信息設備配置文件	流動資訊器材定義檔
移動內容管理	行動內容管理
移動公司	流動公司
移動客戶端	流動用户端
移動平台	流動平台
移動廣播	流動廣播
移動性	流動性
移動應用	流動應用
移動應用管理	行動應用管理
移動操作系統	流動作業系統
移動支付	流動支付
移動數據	流動數據
移動瀏覽器	流動瀏覽器
移動版	流動版
移動產品	流動產品
移動硬盤	流動硬碟
移動端	流動端
移動終端	流動終端
移動網絡	流動網絡
移動網絡運營商	流動網絡營辦商
移動聯網設備	行動聯網裝置
移動計算機	流動電腦
移動設備	流動裝置
移動設備管理	行動裝置管理
移動軟件	流動軟件
移動通信	流動通訊
移動運營商	流動營辦商
移動電信	流動電訊
移動電信運營商	流動電訊營辦商
移動電源	行動電源
移動電視	流動電視
移動電話	流動電話
稀有氣體	貴氣體
稈柄	莖脛
程序	程式
程序員	程式設計師
程序編寫員	程式設計師
程序設計	程式設計
稻蝨科	飛虱科
穆斯堡爾	梅斯堡
積矩	積動差
積體電路	集成電路
穎蠟蟬科	仄腹蠟蟬科
空串	空字串
空列表	空串列
空穴	電洞
窄帶	窄頻
窗口管理器	視窗管理員
窗大蚊	平大蚊
窗體	表單
立體異搆體	立體異構體
立體異構物	立體異構體
站點標識按鈕	網站識別鈕
端口	埠
端口轉發	通訊埠轉發
笛卡兒	笛卡爾
第1型糖尿病	一型糖尿病
第2型糖尿病	二型糖尿病
第一范式	第一規格化
第一類錯誤	第一型錯誤
第三范式	第三正規化
第二范式	第二正規化
第二類錯誤	第二型錯誤
第五范式	第五規格化
第六范式	第六規格化
第四范式	第四規格化
筆記型電腦	手提電腦
筆記本電腦	手提電腦
等勢線	等位線
答復	答覆
算朮平方根	主平方根
算法	演算法
簕竹屬	蓬萊竹屬
簡訊	短訊
簽名	簽章
米篩竹	八芝蘭竹
粉虱	粉蝨
粒細胞	顆粒白血球
粒線體	線粒體
粗腳姬蛛屬	阿內蛛屬
粗面內質網	粗糙內質網
粘康酸	黏康酸
粘貼	貼上
粘連	沾黏
粲夸克	魅夸克
粲數	魅數
糖基	醣苷基
糖基化	醣基化
糖異生	糖質新生
糖解	糖酵解
系統發生學	種系發生學
系統盤	系統磁碟機
系統磁碟	系統磁碟機
系統綜述	系統性回顧
系統脫敏	系統減敏感
系統記憶體保護	數據執行保護
糾纏	纏結
約數	因數
紅千層屬	瓶刷子樹屬
紅心大戰	傷心小棧
紅細胞	紅血球
素元	質元素
素因子	質因子
素因數	質因數
素性	質性
素性測試	質數測試
素數	質數
素理想	質理想
素環	質環
索尼移動	索尼流動
索尼移動通信	索尼流動通訊
索尼行動	索尼流動
索尼行動通訊	索尼流動通訊
紫萍屬	浮萍屬
細精管	生精小管
終結器	終端子
組合框	組合方塊
組合語言	匯編語言
組態	排佈
組提示	羣組提示
組織蛋白	組蛋白
組群	羣組
組胺	組織胺
組胺酸	組氨酸
組鏈接	塊鏈結
結合存儲	可定址內容記憶體
結合疫苗	混合疫苗
結實腰蟱蛛	膝形渦蛛
結束應用程式	結束應用程序
統一渲染架搆	統一着色器架構
統計噪聲	統計雜訊
統計推斷	統計推論
綁定	繫結
綜合徵	綜合症
綠色軟件	可攜式軟件
綠蘿	黃金葛
維恩	維因
維生素	維他命
維蒂希	威悌
網上鄰居	網路上的芳鄰
網友	網民
網咖	網吧
網址列	地址列
網景導航者	網景領航員
網格線	格線
網狀式資料庫	網絡資料庫
網狀數據庫	網絡資料庫
網盤	網路硬碟
網絡欺凌	網上欺凌
網絡硬盤	網絡硬碟
網絡運營商	網絡營辦商
網路	網絡
網路動畫	網絡動畫
網路影片	線上影片
網路攝影機	網絡攝影機
網路業者	網絡營辦商
網路漫畫	網絡漫畫
網路硬碟	網絡硬碟
網路購物	網絡購物
網路霸凌	網上欺凌
網關	閘道器
網際網路	互聯網
網際網路服務提供者	互聯網服務供應商
網際網路金鑰交換	互聯網金鑰交換
網頁快照	頁庫存檔 頁面快取檔
線上內容提供者	互聯網內容供應商
線形動物門	線形蟲動物門
線性獨立	線性無關
線性相依	線性相關
編程范型	程式設計範式
編程語言	程式語言
編輯欄	編輯列
緩存	快取
緩存溢出	緩衝區溢位
緩沖器	緩衝區
緩沖存儲器	快取記憶體
緲微中子	緲中微子
縮小膜殼絛蟲	縮小絛蟲
縮略圖	縮圖
縮略網址	縮網址
縮進	縮排
總線	匯流排
總體經濟	宏觀經濟
繼承列表	衍化列
繼發性主動運輸	次級主動運輸
纓甲科	櫻毛蕈蟲科
置標語言	標示語言
羅必達	洛必達
羊毛甾醇	羊毛脂固醇
美國在線	美國線上
羥氯奎寧	羥氯喹
翻譯	轉譯
耗散力	耗能力
聚醣	聚糖
聯機交易處理	線上異動處理
聯機分析處理	連線分析處理
聯系	聯絡
聯系人	聯絡人
聯集	併集
聲卡	音效卡
職能治療	職業治療
肝糖儲積症	糖原貯積症
胃食道逆流	胃食管反流病
胞器	細胞器
胡克	虎克
胺基	氨基
胺基酸	氨基酸
胺肽酶	氨肽酶
胺酸	氨酸
能層	動區 動圈
能級	能階
脈蠟蟬科	縞飛蝨科
脊冠葉蟬科	緣脊葉蟬科
脊髓灰質炎	小兒麻痺症
脫去反應	消去反應
脫氧土霉素	脱氧羥四環黴素
脫輔基酶	去輔基酶
腎元	腎單位
腦垂腺	垂體 腦下垂體 腦垂體
腦機接口	人機介面
腦迴	腦回
腳本	指令碼
腳本語言	手稿語言
腳注	註腳
腹胚亞目	抱卵亞目
臉譜	臉書
臉部辨識	人面辨識
自回歸	自我迴歸
自守形式	自守式
自定義	自訂
自底向上	由下而上
自我相關	自相關
自營	自養
自述文件	讀我檔案
臭肚魚	藍子魚
臺灣電鱝	台灣電鰩
舟蚶	鷹翼魁蛤
般若	裝飾仙人球
色斯金	蘇士侃
艾字節	艾位元組
艾氏樹蛙	琉球原指樹蛙
艾美氏試驗	安姆氏試驗
芫菁科	地膽科
芯片	晶片
花尾斜鱗蛇	史丹吉氏斜鱗蛇
花螢科	菊虎科
苄基	苯甲基
若且唯若	當且僅當
苯二氮平	苯二氮䓬
苯并	苯並
苯駢	苯並
英偉達	輝達
范型	範式
范德瓦耳斯	范德華
范德華力	范德華引力
范德華方程	范德華方程式
范托夫	范特霍夫
茨藻屬	拂尾藻屬
草茨藻	拂尾藻
荷質比	電荷質量比
莫塞萊	莫斯利
莫耳	摩爾
莫耳分率	摩爾分數
菊花鏈接	菊式鏈結
菜單	選單
菱蛛屬	丘腹蛛屬
菱蠟蟬科	菱飛蝨科
菲涅耳衍射	菲涅耳繞射
菸鹼酸	煙酸
菸鹼醯胺	煙酰胺
葉克膜	人工肺
葉甲科	金花蟲科
著作權信息	著作權資訊
葡萄桉	鹽風桉
葬甲科	埋葬蟲科
蒙特卡洛	蒙地卡羅
蒸散	蒸騰
蓋	給呂薩克
蓋斯	赫士
蓋茲	蓋茨
蓋革計數器	蓋格計數器
蕈蛾科	穀蛾科
薑黃反應	黃蛋白反應
薛丁格	薛定諤
薩伐爾	沙伐
薩哈羅夫	沙哈諾夫
薩斯坎德	蘇士侃
藍屏死機	藍畫面死機
藍白當機	藍畫面死機
藥師	藥劑師
藻百年屬	紫芳草屬
處理函數	處理常式
虛函數	虛擬函式
虛擬內存	虛擬記憶體
虛擬專用網	虛擬私人網路
虛擬機	虛擬機器
虛擬碼	偽代碼
虛數軸	虛軸
虛無假說	虛無假設
號誌	訊號量
蚜科	常蚜科
蚶屬	魁蛤屬
蚶目	魁蛤目
蚶科	魁蛤科
蛋白同化甾類	同化類固醇
蛋白質體	蛋白質組
蛤莫蛛屬	蛤蟆蛛屬
蜂巢式網路	蜂巢式網絡
蜂巢式資料	蜂巢式數據
蜂窩數據	蜂巢式數據
蜂窩網絡	蜂巢式網絡
蜘蛛紙牌	連環新接龍
融合反應	聚變反應
螢幕	熒幕
螢幕保護裝置	熒幕保護裝置
螢幕擷取	熒幕擷取
蟱蛛科	嫵蛛科
蠅虎屬	條斑蠅虎屬
蠅虎科	跳蛛科
血基質	血紅素
血管收縮素	血管緊張素
行動代理	流動代理
行動作業系統	流動作業系統
行動公司	流動公司
行動平台	流動平台
行動廣播	流動廣播
行動性	流動性
行動應用	流動應用
行動支付	流動支付
行動業者	流動營辦商
行動瀏覽器	流動瀏覽器
行動版	流動版
行動產品	流動產品
行動用戶端	流動用户端
行動硬碟	流動硬碟
行動程式碼	流動程式碼
行動端	流動端
行動終端	流動終端
行動網路	流動網絡
行動網路業者	流動網絡營辦商
行動網路裝置	行動聯網裝置
行動網際網路	流動互聯網
行動裝置	流動裝置
行動資料	流動數據
行動資訊裝置設定檔	流動資訊器材定義檔
行動軟體	流動軟件
行動通訊	流動通訊
行動電信	流動電訊
行動電信業者	流動電訊營辦商
行動電腦	流動電腦
行動電視	流動電視
行動電話	流動電話
衍射	繞射
表情包	哏圖
表面皿	錶面玻璃
裂合酶	裂解酶
裂木虱科	錦葵木蝨科
補丁	修補程式
補救合成	再利用合成
補救途徑	再利用路徑
補碼	二補碼
裴蜀	貝祖
西方墨點	西方印跡
西部數據	威騰電子
覆銅板	銅箔基板
規格化	規範化
規范化	規範化
視杆細胞	視桿細胞
視訊會議	視像會議
視訊檔	影片檔
視訊記憶體	影像記憶體
視訊軌	視頻軌
視訊輸入	視頻輸入
視訊輸出	影像輸出
視訊連接頭	影像端子
視頻	影片
視頻接口	影像端子
視頻文件	影片檔
視頻文檔	視訊檔案
視頻會議	視像會議
視頻檔	影片檔
視頻游戲	電動遊戲
視頻處理器	影像處理器
視頻輸出	影像輸出
觀音座蓮	蓮座蕨
解引用	解除參照
解析度	解像度
解釋器	直譯器
解釋型語言	直譯語言
解離	離解
解離酶	裂解酶
觸屏	輕觸熒幕
觸控式螢幕	輕觸式熒幕
觸控螢幕	輕觸熒幕
觸摸	輕觸
觸摸屏	輕觸式熒幕
觸摸板	觸控板
計算器	計數機
計算機斷層成像	電腦斷層掃描
計算機科學	電腦科學
計算機體系結搆	電腦架構
訊息傳遞	信號轉導
訊息確認顆粒	信號識別粒子
訪問控制表	存取控制列表
訪問量	瀏覽量
設備	裝置
設定	設置
評測系統	解題系統
認知障礙症	腦退化症
語句	陳述式
語法高亮	語法突顯
語義	語意
語義網	語意網
語言包	語言套件
誤差	殘留誤差
調制解調器	數據機
調度	排程
調度器	排程器
調用	呼叫
調用層接口	呼叫層級介面
調色板	調色盤
調試	除錯
請勿追蹤	停止追蹤
論壇	討論區
諾頓克隆精靈	諾頓魅影系統
識別	辨識
護理師	護士
讀卡機	讀卡器
變動位元速率	動態編碼率
變換	轉換
變數	變量
變異數	方差
變速圓周運動	變速率圓周運動
變量	變數
谷氨	穀氨
谷氨酰胺	穀氨酰胺
谷氨酸	穀氨酸
谷甾醇	穀固醇
谷翔信息技朮	谷翔信息技術
谷芽	穀芽
谷草轉氨酶	穀草轉胺酶
谷蛾科	穀蛾科
豆甾醇	豆固醇
象甲科	象鼻蟲科
豪斯多夫	郝斯多夫
貝他	貝塔
貝克勒	貝克勒爾
貝塞爾曲線	貝茲曲線
貝德諾爾茨	比得諾茲
貝葉斯估計	貝氏估計
貝葉斯定理	貝氏定理
貝葉斯推斷	貝氏推論
貝葉斯概率	貝氏機率
貝葉斯法則	貝氏定理
貝葉斯理論	貝氏定理
貝葉斯統計	貝氏統計
貪心法	貪婪法
貪心算法	貪婪演算法
費密能級	費米階
費希爾	費雪
費氏數列	斐波那契數列
費波納契	斐波納契
資料中心	數據中心
資料來源	數據源
資料倉儲	數據倉庫
資料包含	數據包含
資料包括	數據包括
資料市集	數據市集
資料挖掘	數據捕撈
資料探勘	數據探勘
資料框	數據幀
資源管理器	檔案總管
資訊學	資訊科學
資訊時代	資訊年代
資訊長	資訊總監
賈伯斯	喬布斯
賦值運算符	設定運算子
賦范	賦範
質量	質素
質體	質粒
賴氨酸	離胺酸
赤蘚糖	赤藻糖
赤蘚酮糖	赤藻酮糖
赤霉素	赤黴素
超文本標記語言	超文件標示語言
超文本置標語言	超文件標示語言
超時	逾時
超極本	Ultrabook
超極致筆電	Ultrabook
超編程	超程式設計
超聲心動圖	心臟超聲波
超靜定	靜不定
超音波	超聲波
跖趾	蹠趾
跖骨	蹠骨
跗跖	跗蹠
跨性別激素療法	跨性別荷爾蒙治療
身分	身份
軌域	軌態
軌道	軌態
軍團病	退伍軍人病
軍配飛蝨科	扁蠟蟬科
軟件包	軟件套件
軟件包管理系統	軟件套件管理系統
軟件過程	軟件流程
軟件開發工具包	軟件開發套件
軟盤	軟碟
軟盤驅動器	軟碟機
軟體	軟件
軟體套件	軟件套件
軟體套件管理系統	軟件套件管理系統
軟體流程	軟件流程
軟體開發套件	軟件開發套件
轉氨酶	轉胺酶
轉義	跳脱
近親三角蛛	扇網蛛
退出應用程序	結束應用程序
退出程序	結束程式
退相干	去相干
逆元	反元素
通信順序進程	交談循序程式
通用串行總線	通用序列匯流排
通配符	萬用字元
連續互通	接續互通
進程控制塊	行程控制表
進程組	行程羣組
進程間	行程間
進程間通信	行程間通訊
運算符	運算子
過氙酸	高氙酸
過氧化體	過氧化物酶體
過氯酸	高氯酸
過溴酸	高溴酸
過碘酸	高碘酸
過程化	程序化
過程式	程序式
過程控制段	行程控制表
過錳酸	高錳酸
過錸酸	高錸酸
過鎝酸	高鍀酸
道路連通	路徑連通
遞建原理	構築原理
遞推關系	遞歸關係
遞迴	遞歸
遞迴關係	遞歸關係
遠程	遠端
遠程桌面協議	遠端桌面協定
遠程過程調用	遠端程序呼叫
適配器	配接器
選項卡	索引標籤
邁克耳孫	邁克生
邏輯卷管理	邏輯捲軸管理
邏輯器件	邏輯裝置
邏輯閘	邏輯門
邦費羅尼	邦佛洛尼
部落格	網誌
郭公甲	郭公蟲
郵件列表	郵寄清單
鄰氯青霉素	氯噁唑西林
酉矩陣	么正矩陣
酉空間	么正空間
酉群	么正羣
配位基	配體
配置	組態
配置文件	組態檔 設定檔
酮酸血症	酮症酸中毒
醋制	醋製
醫事放射師	放射技師
醫療觀察	醫學觀察
醯	酰
醯胺	酰胺
釆樣率	取樣率
里德伯	芮得柏
重命名	重新命名
重啟	重新啟動
重定向	重新導向
重定向頁	重新導向頁面
重復組	重複羣
重症監護室	深切治療部
重置	重設
重裝	重新安裝
重載	多載
量子比特	量子位元
量綱	因次
金姬蛛屬	麗蛛屬
金屬氧化物半導體	金氧半導體
金花魚黃草	菜欒藤
金葡菌激酶	葡萄球菌激酶
金蛛科	園蛛科
金霉素	氯四環黴素
金龜科	金龜子科
鈉鉀幫浦	鈉鉀泵
鈎子	勾點
鈎距蝦脊蘭	鉤距蝦脊蘭
鈣信號	鈣訊號
鈣離子通道	鈣通道
鈽	鈈
鉤吻鮭屬	麻哈魚屬
鉲	鐦
鉳	錇
銘印	印記
鋂	鎇
錄像帶	錄影帶
錐栗屬	栲屬
錯合物	絡合物 複合物 配合物
錯離子	絡離子 複離子 配離子
錶玻璃	錶面玻璃
錼	鎿
鍅	鈁
鍬甲科	鍬形蟲科
鍵盤布局	鍵盤配置
鎝	鍀
鎦	鑥
鏈反應	連鎖反應
鏈式反應	連鎖反應
鏈式法則	連鎖律
鏈接	連結
鏈接反向	鏈結反向
鏈接搜索	鏈結搜尋
鏈接正向	鏈結正向
鏈蚧	鏈介殼蟲
鏈表	連結串列
鐘南山	鍾南山
鐳射	激光
鐵酸	高鐵酸
鑀	鎄
鑲嵌病毒	花葉病毒
長夜蛛	長嫵蛛
長翅飛蝨科	袖蠟蟬科
長腹蒙蛛	箭形蠅虎
長蟱蛛	長嫵蛛
長蟱蛛屬	長嫵蛛屬
門得列夫	門捷列夫
門戶系統	入門系統
門戶網站	入門網站
閃存	快閃記憶體
閃迪	SanDisk
閉圖像定理	閉圖定理
開放手持設備聯盟	開放手機聯盟
開放移動聯盟	流動通訊開放制式聯盟
開放行動聯盟	流動通訊開放制式聯盟
閔可夫斯基	閔考斯基
關系數據庫	關聯式資料庫
阿伏伽德羅	阿佛加德羅
阿伏伽德羅常量	阿佛加德羅常數
阿倫尼烏斯	阿瑞尼士
阿司匹林	阿士匹靈
阿斯匹靈	阿士匹靈
阿爾茨海默病	阿茲海默症
阿片	鴉片
阿莫西林	安默西林
阿里云計算	阿里雲計算
阿里山鈍頭蛇	駒井氏鈍頭蛇
附加組件	附加元件
陣列服務器	陣列伺服器
陣列硬盤	陣列硬碟
除余	除餘
隆喜蟱蛛	隆背菲蛛
隆金龜科	厚角金龜科
隊列	佇列
隧穿	穿隧
隨機數	亂數
隱失波	漸逝波
隱翅甲科	隱翅蟲科
隱身模式	無痕模式
隱馬爾可夫模型	隱藏式馬可夫模型
集成	整合
集成設備電路	整合裝置電路
集成開發環境	整合式開發環境
集群	叢集
雙參函數	二元函數
雙名法	二名法
雙射	對射
雙氯西林	雙氯噁唑西林
雙通道	雙連結
離層素	脱落酸
零假設	虛無假設
零元	零元素
雷射	激光
雷射影碟	鐳射影碟
雷斯勒	萊斯納
雷根糖	啫喱豆
電介質強度	介電強度
電位	電勢
電信公司	電訊公司
電信商	電訊商
電信服務	電訊服務
電信業	電訊業
電信業者	電訊供應商
電信行業	電訊行業
電信運營商	電訊供應商
電偶極子	電雙級
電子云	電子雲
電子信箱	郵箱
電子偶素	正子電子偶
電子表格	電子試算表
電弱交互作用	電弱相互作用
電源保護	不斷電系統
電漿	等離子體
電漿態	等離子態
電漿體	等離子體
電腦產生圖像	電腦合成影像
電負度	電負性
電郵	電子郵件
電離輻射	致電離輻射
電鱝	電鰩
靜態類型	靜態型別
非典	沙士
非甾體抗炎藥	非類固醇抗發炎藥
面向代理編程	代理人導向程式設計
面向堆棧	堆疊導向
面向對象	物件導向
面向對象編程	物件導向程式設計
面向并發	平行導向
面向文檔	文件導向
面向消息	訊息導向
面向消息的中間件	訊息導向中介層
面向語言的程序設計	語言導向程式設計
面向過程	程序導向
面向類	類別導向
面天樹蛙	面天原指樹蛙
面簿	臉書
革利士	格里斯
鞘胺醇	鞘氨醇
鞘腹姬蛛屬	鞘腹蛛屬
音訊	音頻
音訊檔	音頻檔
音訊軌	音頻軌
音訊輸入	音頻輸入
音訊輸出	音頻輸出
音頻文件	音頻檔
音頻文檔	音頻檔
頁眉	頁首
頁腳	頁尾
項目	專案
項目頁	計畫頁
順序規則	序列法則
頭孢噻呋	畜福
頭文件	標頭檔
頻哪醇	嚬哪醇
顆粒球	顆粒白血球
類加載器	類別載入器
類型檢查	型別檢查
類型系統	型別系統
類域	類體
類定義	類別定義
類實例	類別實例
類庫	類別館
類成員	類別成員
類方法	類別方法
類模板	類別模板
類比	模擬
類比廣播	模擬廣播
類比電視	模擬電視
類澱粉蛋白	澱粉樣蛋白
類的實例	類別的實例
類的搆造函數	類別的建構函數
類的析搆函數	類別的破壞函數
類聲明	類別宣告
類變量	類別變數
類鐸受體	Toll樣受體
顯卡	顯示卡
顯存	影像記憶體
顯著性水平	顯著水平
顯著水準	顯著水平
風河	温瑞爾
風疹疫苗	德國麻疹疫苗
飛兆半導體	快捷半導體
飛行模式	飛航模式
食欲肽	食慾素
食管	食道
首席信息官	資訊總監
首席執行官	行政總裁
首席技朮官	技術長
首席運營官	營運總監
首選項	參數設置
香港針房藤	獅子尾
香菇多糖	蘑菇多糖
馬克士威	麥克斯韋
馬氏規則	馬可尼可夫法則
馬爾可夫	馬可夫
馬爾科夫尼科夫	馬可尼可夫
駢苯	並苯
駭客	黑客
騰訊云計算	騰訊雲計算
驅動程序	驅動程式
驗光師	視光師
骨痛熱症	登革熱
體外膜氧合	人工肺
體抑素	生長抑素
體染色體	常染色體
體細胞高頻突變	體細胞超突變
高保真	高傳真
高基	高爾基
高基氏體	高爾基體
高清多媒體界面	高清多媒體介面
高畫質	高清
高畫質多媒體介面	高清多媒體介面
高級	進階
高級編程語言	高階程式語言
高級語言	高階語言
高速緩沖存儲器	高速緩衝記憶體
高音質	高清音質
高音質音訊	高清音頻
鮑爾默	巴爾默
鰓蛤莫蛛	鰓蛤蟆蛛
鴨子類型	鴨子型別
鸞鳳玉	多蕊仙人球
鹵代炔	鹵炔
鹵代炔烴	鹵炔
鹵代烯	鹵烯
鹵代烯烴	鹵烯
鹵代烷	鹵烷
鹵代烷烴	鹵烷
麒麟葉	拎樹藤
麒麟葉屬	拎樹藤屬
麗木虱	麗木蝨
麥芽酚	麥芽醇
麩胺	穀氨
麩胺酸	穀氨酸
麩草轉胺酶	穀草轉胺酶
麩醯胺酸	穀氨酰胺
