一万一千	一萬一千
合法斗争	合法鬥爭
合浦珠还	合浦珠還
合浦还珠	合浦還珠
合照留念	合照留念
合理合情	合理合情
合理密植	合理密植
合理布局	合理布局
合理错误	合理錯誤
合璧连珠	合璧連珠
合瓣花冠	合瓣花冠
合眼摸象	合眼摸象
合纵连横	合縱連橫
合而为一	合而爲一
合菜戴帽	合菜戴帽
合该有事	合該有事
合辙押韵	合轍押韻
合金元素	合金元素
合零为整	合零爲整
吉凶庆吊	吉凶慶弔
吉凶悔吝	吉凶悔吝
吉凶未卜	吉凶未卜
吉卜赛人	吉卜賽人
吉尔库克	吉爾庫克
吉尼普里	吉尼普里
吉普斯夸	吉普斯夸
吉田松阴	吉田松陰
吉诺布里	吉諾布里
吉里巴斯	吉里巴斯
吊丧问疾	弔喪問疾
吊儿郎当	吊兒郎當
吊古寻幽	弔古尋幽
吊子曰儿	吊子曰兒
吊拷絣把	吊拷絣把
吊拷绷扒	吊拷繃扒
吊放声纳	吊放聲納
吊来吊去	吊來吊去
吊死问孤	弔死問孤
吊死问疾	弔死問疾
吊民伐罪	弔民伐罪
吊者大悦	弔者大悅
吊脚儿事	弔腳兒事
吊腰撒跨	弔腰撒跨
吊誉沽名	吊譽沽名
吊诡矜奇	弔詭矜奇
吊贺迎送	弔賀迎送
吊销执照	吊銷執照
同不同意	同不同意
同业公会	同業公會
同业拆借	同業拆借
同中有异	同中有異
同义反复	同義反復
同乡亲故	同鄉親故
同仇敌忾	同仇敵愾
同休共戚	同休共戚
同传耳麦	同傳耳麥
同侪压力	同儕壓力
同侪团体	同儕團體
同侪审查	同儕審査
同侪扶持	同儕扶持
同侪检视	同儕檢視
同侪谘商	同儕諮商
同出一源	同出一源
同出一脉	同出一脈
同出同进	同出同進
同功一体	同功一體
同化作用	同化作用
同卵双生	同卵雙生
同吃同住	同吃同住
同名之累	同名之累
同名同姓	同名同姓
同命鸳鸯	同命鴛鴦
同型配子	同型配子
同声一哭	同聲一哭
同声之谊	同聲之誼
同声传译	同聲傳譯
同声异俗	同聲異俗
同声相应	同聲相應
同声翻译	同聲翻譯
同姓同名	同姓同名
同宗同气	同宗同氣
同室操戈	同室操戈
同居各爨	同居各爨
同州梆子	同州梆子
同工同酬	同工同酬
同工异曲	同工異曲
同工异调	同工異調
同年同月	同年同月
同年而语	同年而語
同床异梦	同牀異夢
同归于尽	同歸於盡
同归殊途	同歸殊途
同德同心	同德同心
同心僇力	同心僇力
同心协力	同心協力
同心合力	同心合力
同心合意	同心合意
同心同德	同心同德
同心并力	同心並力
同心戮力	同心戮力
同心断金	同心斷金
同志合道	同志合道
同志天地	同志天地
同志酒吧	同志酒吧
同忧相救	同憂相救
同性恋者	同性戀者
同性相斥	同性相斥
同恶相助	同惡相助
同恶相救	同惡相救
同恶相求	同惡相求
同恶相济	同惡相濟
同房兄弟	同房兄弟
同手同脚	同手同腳
同文同种	同文同種
同文算指	同文算指
同文韵统	同文韻統
同旁內角	同旁內角
同日而言	同日而言
同日而语	同日而語
同月同日	同月同日
同期录音	同期錄音
同条共贯	同條共貫
同来同往	同來同往
同枕共眠	同枕共眠
同欢同赏	同歡同賞
同步传输	同步傳輸
同步卫星	同步衛星
同步录音	同步錄音
同步电动	同步電動
同步进行	同步進行
同母异父	同母異父
同气之光	同氣之光
同气之情	同氣之情
同气相求	同氣相求
同气连枝	同氣連枝
同流合汙	同流合汙
同流合污	同流合汙
同济大学	同濟大學
同温同压	同溫同壓
同父异母	同父異母
同牀各梦	同牀各夢
同牀异梦	同牀異夢
同班同学	同班同學
同理可证	同理可證
同甘共苦	同甘共苦
同甘同苦	同甘同苦
同生共死	同生共死
同病相怜	同病相憐
同盟条约	同盟條約
同盟罢工	同盟罷工
同窗夜语	同窗夜語
同窗契友	同窗契友
同符合契	同符合契
同等学力	同等學力
同等学历	同等學歷
同类产品	同類產品
同类意识	同類意識
同类相吸	同類相吸
同类相呼	同類相呼
同类相残	同類相殘
同类相求	同類相求
同类相聚	同類相聚
同类相食	同類相食
同素异形	同素異形
同素异性	同素異性
同级评审	同級評審
同缘同相	同緣同相
同胞兄妹	同胞兄妹
同胞兄弟	同胞兄弟
同胞共乳	同胞共乳
同胞双生	同胞雙生
同舟之谊	同舟之誼
同舟共济	同舟共濟
同舟而济	同舟而濟
同船济水	同船濟水
同行同业	同行同業
同行相忌	同行相忌
同衾共枕	同衾共枕
同袍同泽	同袍同澤
同见同知	同見同知
同起同坐	同起同坐
同轨同文	同軌同文
同轴圆弧	同軸圓弧
同轴电缆	同軸電纜
同进同出	同進同出
同配生殖	同配生殖
同门异户	同門異戶
名不当实	名不當實
名义价值	名義價值
名垂后世	名垂後世
名垂罔极	名垂罔極
名复金瓯	名覆金甌
名山胜境	名山勝境
名录服务	名錄服務
名望体面	名望體面
名称标签	名稱標籤
名胜古迹	名勝古蹟
名重识暗	名重識暗
名门之后	名門之後
名闻于世	名聞於世
后不为例	後不爲例
后事之师	後事之師
后人乘凉	後人乘涼
后代子孙	後代子孫
后仰前合	後仰前合
后会可期	後會可期
后会无期	後會無期
后会有期	後會有期
后会难期	後會難期
后信号灯	後信號燈
后先辉映	後先輝映
后力不继	後力不繼
后加成分	後加成分
后勤人员	後勤人員
后发先至	後發先至
后发制人	後發制人
后台老板	後臺老闆
后合前仰	後合前仰
后备军人	後備軍人
后天免疫	後天免疫
后实先声	後實先聲
后巷前街	後巷前街
后恭前倨	後恭前倨
后悔不及	後悔不及
后悔不来	後悔不來
后悔不迭	後悔不迭
后悔何及	後悔何及
后悔无及	後悔無及
后悔药儿	後悔藥兒
后悔莫及	後悔莫及
后患无穷	後患無窮
后手不上	後手不上
后手不接	後手不接
后拥前呼	後擁前呼
后拥前推	後擁前推
后拥前遮	後擁前遮
后拥前驱	後擁前驅
后无来者	後無來者
后来之秀	後來之秀
后来居上	後來居上
后果前因	後果前因
后果堪忧	後果堪憂
后果堪虞	後果堪虞
后梁太祖	後梁太祖
后生动物	後生動物
后生可畏	後生可畏
后生小子	後生小子
后生小辈	後生小輩
后生晚学	後生晚學
后知后觉	後知後覺
后继乏人	後繼乏人
后继乏力	後繼乏力
后继无人	後繼無人
后继无力	後繼無力
后继有人	後繼有人
后羿射日	后羿射日
后翻筋斗	后翻筋斗
后西游记	後西遊記
后赤壁赋	後赤壁賦
后起之秀	後起之秀
后车之戒	後車之戒
后车之鉴	後車之鑑
后辈小子	後輩小子
后进先出	後進先出
后送医院	後送醫院
后院起火	後院起火
后顾之忧	後顧之憂
后顾之患	後顧之患
后顾之虑	後顧之慮
后顾之虞	後顧之虞
吐司面包	吐司麵包
吐哺捉发	吐哺捉髮
吐哺握发	吐哺握髮
向前看齐	向前看齊
向前翻腾	向前翻騰
向右看齐	向右看齊
向右转走	向右轉走
向后翻腾	向後翻騰
向后转走	向後轉走
向壁虚构	向壁虛構
向壁虚造	向壁虛造
向声背实	向聲背實
向导公司	嚮導公司
向左看齐	向左看齊
向左转走	向左轉走
向巴平措	向巴平措
向平之愿	向平之願
向心花序	向心花序
向来都是	向來都是
向流星雨	向流星雨
向火乞儿	向火乞兒
向里面冲	向裏面衝
向量代数	向量代數
向量分析	向量分析
向量图形	向量圖形
向阳大道	向陽大道
向隅独泣	向隅獨泣
向隅而泣	向隅而泣
吓了一跳	嚇了一跳
吓出病来	嚇出病來
吓得发抖	嚇得發抖
吕氏春秋	呂氏春秋
君主专制	君主專制
君子于役	君子于役
吞了下去	吞了下去
吞云吐雾	吞雲吐霧
吞刀刮肠	吞刀刮腸
吟游诗人	吟遊詩人
否极必泰	否極必泰
否极泰来	否極泰來
否极生泰	否極生泰
含商咀征	含商咀徵
含宫咀征	含宮咀徵
含烟笼雾	含煙籠霧
含苞欲放	含苞欲放
含齿戴发	含齒戴髮
听不出来	聽不出來
听候发落	聽候發落
听得出来	聽得出來
听觉范围	聽覺範圍
听证制度	聽證制度
启动技术	啓動技術
启蒙哲学	啓蒙哲學
启蒙时代	啓蒙時代
启蒙运动	啓蒙運動
吴下阿蒙	吳下阿蒙
吴越同舟	吳越同舟
吴越春秋	吳越春秋
吸引不了	吸引不了
吸得干干	吸得乾乾
吸油烟机	吸油煙機
吹气胜兰	吹氣勝蘭
吹风胡哨	吹風胡哨
呆串了皮	呆串了皮
呆了一呆	呆了一呆
呆呆傻傻	呆呆傻傻
呆呆挣挣	呆呆掙掙
呆呆笨笨	呆呆笨笨
呆里呆气	呆裏呆氣
呆里撒奸	呆裏撒奸
呈现出来	呈現出來
呈逆价差	呈逆價差
周三径一	周三徑一
周休二日	週休二日
周全方便	周全方便
周公吐哺	周公吐哺
周口地区	周口地區
周召共和	周召共和
周围环境	周圍環境
周年纪念	週年紀念
周年视差	周年視差
周急继乏	周急繼乏
周情孔思	周情孔思
周旋到底	周旋到底
周期函数	周期函數
周期彗星	周期彗星
周末愉快	週末愉快
周末效应	週末效應
周梁淑怡	周梁淑怡
周游世界	周遊世界
周游列国	周遊列國
周程张朱	周程張朱
周章狼狈	周章狼狽
周而不比	周而不比
周而复始	周而復始
周转不灵	周轉不靈
周边设备	周邊設備
周遭事物	週遭事物
周郎顾曲	周郎顧曲
周髀算经	周髀算經
呱嗒板儿	呱嗒板兒
味同嚼蜡	味同嚼蠟
味胜易牙	味勝易牙
呼之欲出	呼之欲出
呼吸困难	呼吸困難
呼吸系统	呼吸系統
呼图克图	呼圖克圖
命世之才	命世之才
命中注定	命中註定
命名系统	命名系統
命运注定	命運註定
命题范围	命題範圍
和光同尘	和光同塵
和合二仙	和合二仙
和气致祥	和氣致祥
和盘托出	和盤托出
和而不同	和而不同
和谐一致	和諧一致
和风拂面	和風拂面
咏雪之才	詠雪之才
咖啡色系	咖啡色系
咫尺万里	咫尺萬里
咫尺千里	咫尺千里
咬了一口	咬了一口
咬合不正	咬合不正
咬合调整	咬合調整
咬姜呷醋	咬薑呷醋
咬字不准	咬字不準
咬舌自尽	咬舌自盡
咸丝丝儿	鹹絲絲兒
咸五登三	咸五登三
咸嘴淡舌	鹹嘴淡舌
咸宁地区	咸寧地區
咸津津儿	鹹津津兒
咸淡适中	鹹淡適中
咸镜北道	咸鏡北道
咸镜南道	鹹鏡南道
咸阳地区	咸陽地區
咸鱼翻身	鹹魚翻身
哀兵必胜	哀兵必勝
哀哀欲绝	哀哀欲絕
品种改良	品種改良
品花宝鉴	品花寶鑑
品貌出众	品貌出眾
品质管制	品質管制
哄传一时	哄傳一時
哄动一时	哄動一時
哄吓骗诈	哄嚇騙詐
哄哄翕翕	哄哄翕翕
哄堂大笑	鬨堂大笑
哄抬物价	哄擡物價
哄来哄去	哄來哄去
哄然大笑	鬨然大笑
哈克莉洛	哈克莉洛
哈塞布苏	哈塞布蘇
哈巴谷书	哈巴谷書
哈布斯堡	哈布斯堡
哈萨克人	哈薩克人
哈萨克文	哈薩克文
哈萨克族	哈薩克族
哈萨克语	哈薩克語
哈里伯顿	哈里伯頓
哈里发塔	哈里發塔
哈里斯堡	哈里斯堡
哈里札德	哈里札德
哈里路亚	哈里路亞
响彻云汉	響徹雲漢
响彻云际	響徹雲際
响彻云霄	響徹雲霄
响遏行云	響遏行雲
响马党羽	響馬黨羽
哑子托梦	啞子托夢
哥伦布市	哥倫布市
哥伦布纪	哥倫布紀
哪里哪里	哪里哪里
哭个痛快	哭個痛快
哭成一团	哭成一團
哲学范畴	哲學範疇
唇燥舌干	脣燥舌乾
售后服务	售後服務
售货合约	售貨合約
唯意志论	唯意志論
唱对台戏	唱對臺戲
唱片目录	唱片目錄
唾面自干	唾面自乾
商业发票	商業發票
商业计划	商業計劃
商务代表	商務代表
商品价值	商品價值
商品价格	商品價格
商品目录	商品目錄
商品输出	商品輸出
商科集团	商科集團
啧啧称赞	嘖嘖稱讚
啧啧赞叹	嘖嘖讚歎
啼饥号寒	啼飢號寒
喀布尔河	喀布爾河
喂了一声	喂了一聲
善于词令	善於詞令
善于辞令	善於辭令
善后事宜	善後事宜
善后借款	善後借款
善善恶恶	善善惡惡
善恶不分	善惡不分
善意回应	善意回應
善才童子	善才童子
善罢干休	善罷干休
善财难舍	善財難捨
喉头发干	喉頭發乾
喉干舌燥	喉乾舌燥
喑恶叱咤	喑惡叱吒
喜不自胜	喜不自勝
喜出望外	喜出望外
喜形于色	喜形於色
喜忧参半	喜憂參半
喜极而泣	喜極而泣
喜欢钟表	喜歡鐘錶
喝风呵烟	喝風呵煙
喝风疴烟	喝風痾煙
喷云吐雾	噴雲吐霧
喷云嗳雾	噴雲噯霧
喷气发动	噴氣發動
喷薄欲出	噴薄欲出
嗜血杆菌	嗜血桿菌
嘀嗒的表	嘀嗒的錶
嘀里嘟噜	嘀裏嘟嚕
嘉义师范	嘉義師範
嘉南药专	嘉南藥專
嘉布瑞尔	嘉布瑞爾
嘉柏隆里	嘉柏隆里
嘘下台去	噓下臺去
嘘下台来	噓下臺來
噙齿戴发	噙齒戴髮
噜噜苏苏	嚕嚕囌囌
噪音控制	噪音控制
噪音管制	噪音管制
嚼舌自尽	嚼舌自盡
囉囉苏苏	囉囉囌囌
囊橐丰盈	囊橐豐盈
囊温郎当	囊溫郎當
囚首丧面	囚首喪面
囚首垢面	囚首垢面
四万一千	四萬一千
四万七千	四萬七千
四万三千	四萬三千
四万两千	四萬兩千
四万五千	四萬五千
四万八千	四萬八千
四万六千	四萬六千
四万四千	四萬四千
四世同堂	四世同堂
四个坚持	四個堅持
四代同堂	四代同堂
四停八当	四停八當
四六面体	四六面體
四出征收	四出徵收
四出祁山	四出祁山
四分历史	四分歷史
四十一万	四十一萬
四十五万	四十五萬
四十四万	四十四萬
四十多万	四十多萬
四千两百	四千兩百
四千多万	四千多萬
四大发明	四大發明
四大须生	四大鬚生
四弘誓愿	四弘誓願
四方八面	四方八面
四方台区	四方臺區
四海升平	四海昇平
四海皆准	四海皆准
四百多万	四百多萬
四舍五入	四捨五入
四舍六入	四捨六入
四邻八舍	四鄰八舍
四部合唱	四部合唱
四面八方	四面八方
四面受困	四面受困
四面受敌	四面受敵
四面楚歌	四面楚歌
四面玲珑	四面玲瓏
四面见光	四面見光
回信地址	回信地址
回光返照	迴光返照
回味无穷	回味無窮
回嗔作喜	回嗔作喜
回回鼻子	回回鼻子
回声定位	回聲定位
回声探测	迴聲探測
回复青春	回復青春
回天之力	回天之力
回天乏术	回天乏術
回头一看	回頭一看
回头掣脑	回頭掣腦
回头是岸	回頭是岸
回头车子	回頭車子
回家路上	回家路上
回家途中	回家途中
回山倒海	回山倒海
回归中国	回歸中國
回心转意	回心轉意
回想起来	回想起來
回折格子	回折格子
回收价值	回收價值
回教世界	回教世界
回教信徒	回教信徒
回教圣战	回教聖戰
回教帝国	回教帝國
回文织锦	迴文織錦
回旋余地	回旋餘地
回旋加速	回旋加速
回春作用	回春作用
回清倒影	迴清倒影
回炉复帐	回爐復帳
回环转折	迴環轉折
回生乏术	回生乏術
回生起死	回生起死
回眸一笑	回眸一笑
回禄之灾	回祿之災
回答出来	回答出來
回肠九回	回腸九回
回肠九转	迴腸九轉
回肠伤气	迴腸傷氣
回肠寸断	迴腸寸斷
回肠荡气	迴腸蕩氣
回航途中	回航途中
回船转舵	回船轉舵
回转半径	回轉半徑
回转寿司	回轉壽司
回避学习	迴避學習
回邮信封	回郵信封
回阳荡气	迴陽蕩氣
回顾历史	回顧歷史
回顾过去	回顧過去
回馈作用	回饋作用
回馈控制	回饋控制
回黄倒皂	回黃倒皂
回黄转绿	回黃轉綠
因事制宜	因事制宜
因地制宜	因地制宜
因奸成孕	因姦成孕
因时制宜	因時制宜
因果关系	因果關係
因缘巧合	因緣巧合
团体冠军	團體冠軍
团体协约	團體協約
团体意识	團體意識
团体治疗	團體治療
团体活动	團體活動
团体行动	團體行動
团体规范	團體規範
团体辅导	團體輔導
团团围住	團團圍住
团头团脸	團頭團臉
团头聚面	團頭聚面
团沙羣岛	團沙羣島
团结一心	團結一心
团结一致	團結一致
团结工会	團結工會
团队精神	團隊精神
困倦起来	困倦起來
困兽之斗	困獸之鬥
困兽犹斗	困獸猶鬥
困处泥涂	困處泥塗
困心衡虑	困心衡慮
困惑不解	困惑不解
困知勉行	困知勉行
困难在于	困難在於
困难重重	困難重重
固定汇率	固定匯率
国之桢干	國之楨榦
国共两党	國共兩黨
国共合作	國共合作
国困民艰	國困民艱
国土规划	國土規劃
国外汇兑	國外匯兌
国大代表	國大代表
国家制度	國家制度
国家标准	國家標準
国家栋梁	國家棟梁
国家规范	國家規範
国建计划	國建計劃
国戚皇亲	國戚皇親
国民党员	國民黨員
国民党版	國民黨版
国民党籍	國民黨籍
国穷民困	國窮民困
国防体制	國防體制
国际公制	國際公制
国际关系	國際關係
国际准备	國際準備
国际合作	國際合作
国际学舍	國際學舍
国际标准	國際標準
国际水准	國際水準
国际漫游	國際漫遊
国际舞台	國際舞臺
国际贷借	國際貸借
图书目录	圖書目錄
图书馆周	圖書館週
图亚克拜	圖亞克拜
图形界面	圖形界面
图文并茂	圖文並茂
图木舒克	圖木舒克
图表说明	圖表說明
图财致命	圖財致命
图资系统	圖資系統
图里亚夫	圖里亞夫
囿于一时	囿於一時
囿于成见	囿於成見
圆周运动	圓周運動
圆形面包	圓形麵包
圆锥曲线	圓錐曲綫
圆面大耳	圓面大耳
土中曲蟮	土中曲蟮
土司面包	土司麵包
土地征收	土地徵收
土地重划	土地重劃
土壤冲蚀	土壤沖蝕
土托鱼羹	土托魚羹
土法炼钢	土法煉鋼
土洋并举	土洋並舉
土洋结合	土洋結合
土里土气	土裏土氣
圣修伯里	聖修伯里
圣克鲁斯	聖克魯斯
圣哈辛托	聖哈辛托
圣帕台风	聖帕颱風
圣帕强台	聖帕強颱
圣帕袭台	聖帕襲臺
圣杰门队	聖傑門隊
圣诞百合	聖誕百合
在台协会	在臺協會
在家出家	在家出家
在此之后	在此之後
在线冲值	在綫沖值
在线升级	在綫升級
在线回复	在綫回復
在线游戏	在綫游戲
在职干部	在職幹部
在职进修	在職進修
在范围内	在範圍內
地下修文	地下修文
地下害虫	地下害蟲
地下工厂	地下工廠
地下开采	地下開採
地下水面	地下水面
地下电台	地下電臺
地下签赌	地下簽賭
地下通汇	地下通匯
地丑德齐	地醜德齊
地价公告	地價公告
地区冲突	地區衝突
地区差价	地區差價
地塞米松	地塞米松
地复天翻	地覆天翻
地大物丰	地大物豐
地尽其利	地盡其利
地方戏曲	地方戲曲
地方色彩	地方色彩
地板运动	地板運動
地灵人杰	地靈人傑
地牛发威	地牛發威
地缘关系	地緣關係
地质年表	地質年表
地质编录	地質編錄
地面控制	地面控制
地面气压	地面氣壓
地面温度	地面溫度
地面灌溉	地面灌溉
地面部队	地面部隊
地面零点	地面零點
场面阔绰	場面闊綽
均权制度	均權制度
均田制度	均田制度
坎塔布连	坎塔布連
坏了性命	壞了性命
坐冷板凳	坐冷板凳
坐台小姐	坐檯小姐
坐困愁城	坐困愁城
坐薪尝胆	坐薪嘗膽
坐领干薪	坐領乾薪
坚白同异	堅白同異
坚臥烟霞	堅臥煙霞
坛坛罐罐	罈罈罐罐
坛坫周旋	壇坫週旋
坛女儿红	罈女兒紅
坛烧刀子	罈燒刀子
坛燒刀子	罈燒刀子
坦坦荡荡	坦坦蕩蕩
垂了下去	垂了下去
垂了下来	垂了下來
垂于将来	垂於將來
垂帘听政	垂簾聽政
垂死挣扎	垂死掙扎
垂涎欲滴	垂涎欲滴
垂直搜索	垂直搜索
垂范百世	垂範百世
垂裕后昆	垂裕後昆
垂馨千祀	垂馨千祀
垃圾回收	垃圾回收
垄断价格	壟斷價格
垄断资产	壟斷資產
垄断集团	壟斷集團
型别转换	型別轉換
埃及历史	埃及歷史
埃及艳后	埃及豔后
埃夫伯里	埃夫伯里
埃布罗河	埃布羅河
埃德蒙顿	埃德蒙頓
埃格尔松	埃格爾松
埋头寻表	埋頭尋錶
埋头寻钟	埋頭尋鐘
埋头苦干	埋頭苦幹
埋杆竖柱	埋杆豎柱
埋没人才	埋沒人才
城市规划	城市規劃
域名抢注	域名搶注
域名注册	域名註冊
培养出来	培養出來
培美曲塞	培美曲塞
培育出来	培育出來
基克维特	基克維特
基因修改	基因修改
基因技术	基因技術
基因表达	基因表達
基尔库克	基爾庫克
基性岩石	基性岩石
基本词汇	基本詞彙
基里兰柯	基里蘭柯
基里巴斯	基里巴斯
堂分姑娘	堂分姑娘
堆案盈几	堆案盈几
堕云雾中	墮雲霧中
堤拉米苏	隄拉米蘇
堪为表率	堪爲表率
堪当重任	堪當重任
堪称典范	堪稱典範
塔吉克人	塔吉克人
塔吉克族	塔吉克族
塔娜苏冈	塔娜蘇岡
塔娜苏甘	塔娜蘇甘
塔罗维克	塔羅維克
塔里木河	塔里木河
塞尔提克	塞爾提克
塞尔蒂克	塞爾蒂克
塞耳盗钟	塞耳盜鐘
塞韦里诺	塞韋裏諾
填字游戏	填字遊戲
墙面而立	牆面而立
增量参数	增量參數
墨沈未干	墨瀋未乾
墨索里尼	墨索里尼
墨迹未干	墨蹟未乾
壁立千仞	壁立千仞
士别三日	士別三日
士别多日	士別多日
壮室之秋	壯室之秋
壮志凌云	壯志凌雲
壮志凌霄	壯志凌霄
壮志未酬	壯志未酬
声价不凡	聲價不凡
声价十倍	聲價十倍
声名狼借	聲名狼藉
声如洪钟	聲如洪鐘
声彻云霄	聲徹雲霄
声情并茂	聲情並茂
声类系统	聲類系統
壸口瀑布	壺口瀑布
壸里干坤	壺裏乾坤
壹败涂地	壹敗塗地
处女表演	處女表演
备尝忧患	備嘗憂患
备尝艰苦	備嘗艱苦
备尝艰辛	備嘗艱辛
备尝辛苦	備嘗辛苦
备抵折旧	備抵折舊
复仇雪耻	復仇雪恥
复仞年如	複仞年如
复以百万	複以百萬
复健中心	復健中心
复健医学	復健醫學
复兴中学	復興中學
复兴剧校	復興劇校
复兴北路	復興北路
复兴南路	復興南路
复兴基地	復興基地
复兴工商	復興工商
复兴广播	復興廣播
复兴时代	復興時代
复兴高中	復興高中
复军杀将	覆軍殺將
复利计算	複利計算
复制下来	複製下來
复去翻来	覆去翻來
复变函数	複變函數
复合企业	複合企業
复合传动	複合傳動
复合元音	複合元音
复合包装	複合包裝
复合命题	複合命題
复合增长	複合增長
复合摄影	複合攝影
复合材料	複合材料
复合样式	複合樣式
复合概念	複合概念
复合母音	複合母音
复合肥料	複合肥料
复合装甲	複合裝甲
复合量词	複合量詞
复合金属	複合金屬
复合韵母	複合韻母
复员军人	複員軍人
复地翻天	覆地翻天
复子明辟	復子明辟
复宗灭祀	覆宗滅祀
复宗绝嗣	覆宗絕嗣
复宗绝祀	覆宗絕祀
复巢倾卵	覆巢傾卵
复巢毁卵	覆巢毀卵
复巢破卵	覆巢破卵
复庇之恩	覆庇之恩
复康巴士	復康巴士
复建中心	復建中心
复式关税	複式關稅
复式教学	複式教學
复式路面	複式路面
复数平面	複數平面
复数形式	複數形式
复旦大学	復旦大學
复旧如新	復舊如新
复杂劳动	複雜勞動
复杂生产	複雜生產
复杂系统	複雜系統
复殖吸虫	複殖吸蟲
复氧能力	復氧能力
复水难收	覆水難收
复活节岛	復活節島
复海移山	覆海移山
复盂之固	覆盂之固
复盂之安	覆盂之安
复盆之冤	覆盆之冤
复盆难照	覆盆難照
复盘难照	覆盤難照
复礼克己	復禮克己
复种指数	複種指數
复舟载舟	覆舟載舟
复蕉寻鹿	覆蕉尋鹿
复蹈其辙	復蹈其轍
复蹈前辙	復蹈前轍
复车之戒	覆車之戒
复车之轨	覆車之軌
复车之辙	覆車之轍
复车之鉴	覆車之鑑
复车当戒	覆車當戒
复车继轨	覆車繼軌
复辙重蹈	覆轍重蹈
复辟事件	復辟事件
复雨翻云	覆雨翻雲
复鹿寻蕉	覆鹿尋蕉
复鹿遗蕉	覆鹿遺蕉
复𫗧之忧	覆餗之憂
复𫗧之患	覆餗之患
复𫗧之衅	覆餗之釁
夏姆锡克	夏姆錫克
夏川里美	夏川里美
夏炉冬扇	夏爐冬扇
夏虫朝菌	夏蟲朝菌
夏鑪冬扇	夏鑪冬扇
外交代表	外交代表
外交关系	外交關係
外出访问	外出訪問
外合里差	外合裏差
外合里应	外合裏應
外强中干	外強中乾
外御其侮	外禦其侮
外来物种	外來物種
外松内紧	外鬆內緊
外汇储备	外匯儲備
外汇兑换	外匯兌換
外汇存底	外匯存底
外汇市场	外匯市場
外汇收入	外匯收入
外汇汇率	外匯匯率
外汇管制	外匯管制
外汇银行	外匯銀行
外科学系	外科學系
外科手术	外科手術
外部链接	外部鏈接
外面儿光	外面兒光
夙心往志	夙心往志
夙愿以偿	夙願以償
多不胜数	多不勝數
多义关系	多義關係
多事之秋	多事之秋
多事逞才	多事逞才
多云偶雨	多雲偶雨
多云有雨	多雲有雨
多党选举	多黨選舉
多凶少吉	多凶少吉
多出电影	多齣電影
多功能表	多功能表
多历年代	多歷年代
多历年所	多歷年所
多吃多占	多吃多佔
多哈回合	多哈回合
多姿多彩	多姿多彩
多姿多采	多姿多采
多层复迭	多層複迭
多彩多姿	多彩多姿
多情种子	多情種子
多才多艺	多才多藝
多拉尔蒙	多拉爾蒙
多模光纤	多模光纖
多特蒙德	多特蒙德
多种多样	多種多樣
多种经营	多種經營
多种语言	多種語言
多管闲事	多管閒事
多米尼克	多米尼克
多蒙寄声	多蒙寄聲
多蒙推毂	多蒙推轂
多蒙药石	多蒙藥石
多轨录音	多軌錄音
多边合作	多邊合作
多采多姿	多采多姿
夜半钟声	夜半鐘聲
夜暗风高	夜暗風高
夜色迷蒙	夜色迷濛
夜谭随录	夜譚隨錄
大一统志	大一統誌
大不相同	大不相同
大不里士	大不里士
大专同学	大專同學
大业千秋	大業千秋
大仁药专	大仁藥專
大便干燥	大便乾燥
大修道院	大修道院
大傢伙儿	大傢伙兒
大出其汗	大出其汗
大出锋头	大出鋒頭
大出风头	大出風頭
大别山脉	大別山脈
大力发展	大力發展
大动干戈	大動干戈
大千世界	大千世界
大协奏曲	大協奏曲
大厦栋梁	大廈棟梁
大发利市	大發利市
大发慈悲	大發慈悲
大发牢骚	大發牢騷
大发神威	大發神威
大发脾气	大發脾氣
大发雷霆	大發雷霆
大叔于田	大叔于田
大台北区	大臺北區
大叶合欢	大葉合歡
大叶大学	大葉大學
大同世界	大同世界
大同主义	大同主義
大同之世	大同之世
大同商专	大同商專
大同国中	大同國中
大同大学	大同大學
大同小异	大同小異
大同煤矿	大同煤礦
大同盆地	大同盆地
大同社会	大同社會
大团白脸	大團白臉
大国家党	大國家黨
大地回春	大地回春
大地春回	大地春回
大型钟表	大型鐘錶
大型钟面	大型鐘面
大天后宫	大天后宮
大头面目	大頭面目
大奸似忠	大奸似忠
大家伙儿	大家夥兒
大家风范	大家風範
大干一场	大幹一場
大干一票	大幹一票
大干特干	大幹特幹
大才小用	大才小用
大才槃槃	大才槃槃
大打出手	大打出手
大打折扣	大打折扣
大批涌到	大批涌到
大摆褶子	大擺褶子
大摇大摆	大搖大擺
大放异彩	大放異彩
大放异采	大放異采
大政方针	大政方針
大敌当前	大敵當前
大斗小秤	大斗小秤
大旱云霓	大旱雲霓
大明历史	大明歷史
大明大摆	大明大擺
大是不同	大是不同
大有分别	大有分別
大有斩获	大有斬獲
大本钟敲	大本鐘敲
大气折射	大氣折射
大水冲溺	大水沖溺
大汗淋漓	大汗淋漓
大沽炮台	大沽砲臺
大海捞针	大海撈針
大涨小回	大漲小回
大溪豆干	大溪豆幹
大病初愈	大病初癒
大目干连	大目乾連
大秋作物	大秋作物
大笨钟敲	大笨鐘敲
大而无当	大而無當
大肆搜捕	大肆搜捕
大肠杆菌	大腸桿菌
大脚婆娘	大腳婆娘
大致说来	大致說來
大获全胜	大獲全勝
大衍历史	大衍歷史
大表惊叹	大表驚歎
大言非夸	大言非夸
大费周折	大費周折
大费周章	大費周章
大金发苔	大金髮苔
