一万二	一萬二
吊带裤	吊帶褲
吊挂在	吊掛在
吊挂着	吊掛着
吊档裤	吊檔褲
吊死鬼	吊死鬼
吊瓶族	吊瓶族
吊胃口	吊胃口
吊脚儿	吊腳兒
吊膀子	弔膀子
吊衣架	吊衣架
吊袜带	吊襪帶
吊裤带	吊褲帶
吊起来	吊起來
吊车尾	吊車尾
吊钢丝	吊鋼絲
同一个	同一個
同一人	同一人
同一场	同一場
同一型	同一型
同一处	同一處
同一家	同一家
同一年	同一年
同一座	同一座
同一性	同一性
同一所	同一所
同一片	同一片
同一班	同一班
同一组	同一組
同义字	同義字
同义词	同義詞
同义语	同義語
同乐会	同樂會
同乡会	同鄉會
同事家	同事家
同人女	同人女
同人志	同人誌
同仁县	同仁縣
同仁堂	同仁堂
同位素	同位素
同位角	同位角
同位语	同位語
同余式	同餘式
同余类	同餘類
同分数	同分數
同动词	同動詞
同名数	同名數
同命鸟	同命鳥
同型性	同型性
同型机	同型機
同字框	同字框
同学们	同學們
同学会	同學會
同学家	同學家
同学录	同學錄
同学路	同學路
同安区	同安區
同安县	同安縣
同安街	同安街
同居人	同居人
同年代	同年代
同年级	同年級
同形词	同形詞
同德县	同德縣
同心县	同心縣
同心圆	同心圓
同心结	同心結
同心髻	同心髻
同性恋	同性戀
同性爱	同性愛
同情心	同情心
同情者	同情者
同意书	同意書
同意权	同意權
同意案	同意案
同意票	同意票
同文馆	同文館
同斜层	同斜層
同日生	同日生
同时代	同時代
同时候	同時候
同时期	同時期
同林鸟	同林鳥
同样会	同樣會
同样在	同樣在
同样地	同樣地
同样是	同樣是
同案犯	同案犯
同江市	同江市
同济会	同濟會
同温层	同溫層
同源词	同源詞
同理心	同理心
同甘苦	同甘苦
同生死	同生死
同盟会	同盟會
同盟党	同盟黨
同盟军	同盟軍
同盟国	同盟國
同盟者	同盟者
同类色	同類色
同类项	同類項
同级车	同級車
同罗杯	同羅杯
同翅目	同翅目
同考官	同考官
同胞爱	同胞愛
同舍生	同舍生
同行语	同行語
同衾帱	同衾幬
同言线	同言綫
同语线	同語綫
同谋者	同謀者
同质性	同質性
同路人	同路人
同轴圆	同軸圓
同道者	同道者
同门友	同門友
同音字	同音字
同音词	同音詞
同韵词	同韻詞
同龄人	同齡人
同龄林	同齡林
名人录	名人錄
名次表	名次表
名言录	名言錄
后七子	後七子
后上去	後上去
后上来	後上來
后下去	後下去
后下来	後下來
后两者	後兩者
后元音	後元音
后冷战	後冷戰
后劲溪	後勁溪
后勤区	後勤區
后勤学	後勤學
后勤部	後勤部
后北街	后北街
后医系	後醫系
后半世	後半世
后半叶	後半葉
后半场	後半場
后半夜	後半夜
后半天	後半天
后半季	後半季
后半晌	後半晌
后半期	後半期
后半段	後半段
后半部	後半部
后发座	后髮座
后坐力	後坐力
后壁乡	後壁鄉
后壁湖	後壁湖
后备军	後備軍
后备部	後備部
后天性	後天性
后奏曲	後奏曲
后婚儿	後婚兒
后学儿	後學兒
后安路	后安路
后尧婆	後堯婆
后尾儿	後尾兒
后平路	后平路
后座力	後座力
后座系	後座繫
后庭花	後庭花
后感觉	後感覺
后手儿	後手兒
后手钱	後手錢
后挡板	後擋板
后掠翼	後掠翼
后掠角	後掠角
后掩蔽	後掩蔽
后援会	後援會
后援军	後援軍
后方区	後方區
后望镜	後望鏡
后来人	後來人
后段班	後段班
后汉书	後漢書
后汉纪	後漢紀
后海湾	后海灣
后海灣	后海灣
后滚翻	後滾翻
后照镜	後照鏡
后现代	後現代
后甲板	後甲板
后空翻	後空翻
后竹围	後竹圍
后续力	後續力
后罩房	後罩房
后置词	後置詞
后脑勺	後腦勺
后脑杓	後腦杓
后脸儿	後臉兒
后腿肉	後腿肉
后舱门	後艙門
后花园	後花園
后菜园	後菜園
后视镜	後視鏡
后起字	後起字
后车站	後車站
后车轴	後車軸
后边儿	後邊兒
后退色	後退色
后遗症	後遺症
后里乡	后里鄉
后钩儿	後鉤兒
后院子	後院子
后面店	後面店
后髮座	后髮座
后鼻音	後鼻音
后龙溪	後龍溪
后龙镇	後龍鎮
吐出来	吐出來
吐谷浑	吐谷渾
吐露出	吐露出
向上地	向上地
向东看	向東看
向东走	向東走
向何处	向何處
向光性	向光性
向內走	向內走
向前看	向前看
向前走	向前走
向前进	向前進
向北地	向北地
向北看	向北看
向北走	向北走
向南看	向南看
向南走	向南走
向右拐	向右拐
向右看	向右看
向右转	向右轉
向后冲	向後衝
向后看	向後看
向后走	向後走
向后转	向後轉
向地性	向地性
向培良	向培良
向外冲	向外衝
向外看	向外看
向外走	向外走
向导员	嚮導員
向导犬	嚮導犬
向左拐	向左拐
向左看	向左看
向左转	向左轉
向往常	向往常
向往日	向往日
向往时	向往時
向往来	向往來
向心力	向心力
向心店	向心店
向斜层	向斜層
向日性	向日性
向日葵	向日葵
向来是	向來是
向溼性	向溼性
向电性	向電性
向秀丽	向秀麗
向西南	向西南
向钱看	向錢看
向阳信	向陽信
向阳区	向陽區
向风针	向風針
吓不了	嚇不了
吕宋烟	呂宋菸
吕布戟	呂布戟
吕梁山	呂梁山
吕梁市	呂梁市
吕芳烟	呂芳煙
吕蒙正	呂蒙正
吕贝克	呂貝克
吗啡针	嗎啡針
君主制	君主制
君合国	君合國
吧托女	吧托女
吨公里	噸公里
含油岩	含油岩
听不出	聽不出
听出来	聽出來
听墙面	聽牆面
听得出	聽得出
听腻了	聽膩了
听见了	聽見了
听骨链	聽骨鏈
启发式	啓發式
启发性	啓發性
启发法	啓發法
启示录	啓示錄
吴俊杰	吳俊傑
吴克羣	吳克羣
吴嘉种	吳嘉種
吴复连	吳復連
吴嶽修	吳嶽修
吴幸桦	吳幸樺
吴志伟	吳志偉
吴志扬	吳志揚
吴志祺	吳志祺
吴志远	吳志遠
吴皓升	吳皓昇
吴育升	吳育昇
吴荣杰	吳榮杰
吴蒙惠	吳蒙惠
吴越曲	吳越曲
吴采璋	吳采璋
吴里克	吳里克
吴隆杰	吳隆傑
吸出去	吸出去
吸出来	吸出來
吸回去	吸回去
吸回来	吸回來
吸地板	吸地板
吸烟区	吸煙區
吸烟客	吸煙客
吸烟室	吸煙室
吸烟族	吸菸族
吸烟率	吸菸率
吸烟者	吸煙者
吸管虫	吸管蟲
吸虫纲	吸蟲綱
吸血虫	吸血蟲
吹出去	吹出去
吹出来	吹出來
吹叶机	吹葉機
吹头发	吹頭髮
吹胡子	吹鬍子
吻别时	吻別時
呆呆兽	呆呆獸
呆小症	呆小症
呆憨呆	呆憨呆
呆致致	呆緻緻
呈现出	呈現出
告别式	告別式
告示板	告示板
呕出物	嘔出物
员山庄	員山庄
周一岳	周一嶽
周世惠	周世惠
周东昱	周東昱
周丽淇	周麗淇
周亚夫	周亞夫
周传瑛	周傳瑛
周传英	周傳英
周传雄	周傳雄
周作人	周作人
周佳佑	周佳佑
周佳琦	周佳琦
周俊三	周俊三
周俊勳	周俊勳
周公瑾	周公瑾
周六日	週六日
周典论	周典論
周华健	周華健
周历史	周歷史
周厉王	周厲王
周口市	周口市
周口店	周口店
周台竹	周台竹
周围人	周圍人
周培蕾	周培蕾
周士榆	周士榆
周士渊	周士淵
周大福	周大福
周奕成	周奕成
周妙音	周妙音
周孟晔	周孟曄
周宁县	周寧縣
周守训	周守訓
周宏哲	周宏哲
周宏室	周宏室
周定纬	周定緯
周宣王	周宣王
周小川	周小川
周平王	周平王
周年庆	週年慶
周幼婷	周幼婷
周幽王	周幽王
周庄王	周莊王
周庄镇	周莊鎮
周康王	周康王
周弘宪	周弘憲
周志全	周志全
周志浩	周志浩
周志诚	周志誠
周思源	周思源
周思齐	周思齊
周总理	周總理
周恒毅	周恆毅
周恩来	周恩來
周慧敏	周慧敏
周成王	周成王
周承玮	周承瑋
周敏鸿	周敏鴻
周敦颐	周敦頤
周文王	周文王
周日版	週日版
周星驰	周星馳
周春秀	周春秀
周晓涵	周曉涵
周期律	週期律
周期性	週期性
周期数	週期數
周期系	週期系
周期表	週期表
周期解	週期解
周村区	周村區
周杰伦	周杰倫
周柏臣	周柏臣
周树人	周樹人
周梦瑶	周夢瑤
周武王	周武王
周武雄	周武雄
周永康	周永康
周永明	周永明
周治平	周治平
周泓谕	周泓諭
周海媚	周海媚
周润发	周潤發
周渝民	周渝民
周游券	周遊券
周灿德	周燦德
周王朝	周王朝
周瘦鹃	周瘦鹃
周盈成	周盈成
周盈文	周盈文
周盛渊	周盛淵
周礼良	周禮良
周秀霞	周秀霞
周穆王	周穆王
周立昌	周立昌
周立波	周立波
周筱涵	周筱涵
周经凯	周經凱
周美里	周美里
周美青	周美青
周至县	周至縣
周蓓姬	周蓓姬
周赐海	周賜海
周赧王	周赧王
周走秀	週走秀
周转率	週轉率
周转金	周轉金
周遭人	週遭人
周邦彦	周邦彥
周郎癖	周郎癖
周采诗	周采詩
周锡玮	周錫瑋
周锦贵	周錦貴
周雅淑	周雅淑
周韫维	周韞維
呼出来	呼出來
命世才	命世才
咀嚼出	咀嚼出
和克制	和剋制
和合僧	和合僧
和合日	和合日
和合汤	和合湯
和平里	和平里
咒印术	咒印術
咕咕钟	咕咕鐘
咖啡杯	咖啡杯
咬屁虫	咬屁蟲
咭叮当	咭叮噹
咭当当	咭噹噹
咳嗽药	咳嗽藥
咸丝丝	鹹絲絲
咸丰县	咸豐縣
咸丰草	咸豐草
咸兴市	咸興市
咸宁市	咸寧市
咸安区	咸安區
咸水妹	鹹水妹
咸水湖	鹹水湖
咸水鱼	鹹水魚
咸津津	鹹津津
咸猪手	鹹豬手
咸猪肉	鹹豬肉
咸菜干	鹹菜乾
咸认为	咸認爲
咸酥鸡	鹹酥雞
咸镜道	咸鏡道
咸阳宫	咸陽宮
咸阳市	咸陽市
咸阳桥	咸陽橋
咸阳火	咸陽火
咸鸭蛋	鹹鴨蛋
咽不了	嚥不了
品尝会	品嚐會
品尝到	品嚐到
品莲台	品蓮臺
哈丰角	哈豐角
哈利发	哈利發
哈卡里	哈卡里
哈发林	哈發林
哈萨克	哈薩克
哈里发	哈里發
哈里尔	哈里爾
哈里斯	哈里斯
哈里逊	哈里遜
哈里里	哈里里
响叮当	響叮噹
响当当	響噹噹
哥伦布	哥倫布
哥萨克	哥薩克
哪一个	哪一個
哪一出	哪一齣
哪个人	哪個人
哪个月	哪個月
哪几个	哪幾個
哪几天	哪幾天
哪几次	哪幾次
哪方面	哪方面
哪种人	哪種人
哪里买	哪裏買
哪里人	哪裏人
哭个夠	哭個夠
哭出来	哭出來
哭秋风	哭秋風
哲学系	哲學系
唐三彩	唐三彩
唐志中	唐志中
唐才常	唐才常
唐氏症	唐氏症
唐美云	唐美雲
售价为	售價爲
售后部	售後部
售货台	售貨臺
唯一只	唯一只
唱出来	唱出來
唱回去	唱回去
唱回来	唱回來
啃书虫	啃書蟲
啄针儿	啄針兒
商历史	商歷史
商学系	商學系
啤酒厂	啤酒廠
喀布尔	喀布爾
喂偏食	喂偏食
喂动物	餵動物
喂奶时	餵奶時
喂母乳	餵母乳
喇叭虫	喇叭蟲
喊出去	喊出去
喊出来	喊出來
喊回去	喊回去
喊回来	喊回來
喘吁吁	喘吁吁
喜冲冲	喜衝衝
喜向往	喜向往
喜欢表	喜歡錶
喜欢钟	喜歡鐘
喜虫儿	喜蟲兒
喝交杯	喝交杯
喝倒彩	喝倒彩
喝倒采	喝倒采
喝彩声	喝彩聲
喷出去	噴出去
喷出口	噴出口
喷出来	噴出來
嗜眠症	嗜眠症
嗜睡症	嗜睡症
嘉言录	嘉言錄
嘘下台	噓下台
嘴答谷	嘴答谷
器物录	器物錄
噫吁戏	噫吁戲
噶大克	噶大克
噶布伦	噶布倫
噶当派	噶當派
嚷出去	嚷出去
嚷出来	嚷出來
嚼不了	嚼不了
四万万	四萬萬
四万个	四萬個
四万人	四萬人
四万元	四萬元
四万块	四萬塊
四万多	四萬多
四万馀	四萬餘
四下里	四下裏
四个人	四個人
四个月	四個月
四出戏	四齣戲
四分历	四分曆
四分钟	四分鐘
四十万	四十萬
四十几	四十幾
四千万	四千萬
四千个	四千個
四千人	四千人
四千亿	四千億
四千元	四千元
四千块	四千塊
四千多	四千多
四号台	四號台
四合一	四合一
四合房	四合房
四合院	四合院
四周围	四周圍
四周年	四週年
四天后	四天後
四年制	四年制
四才子	四才子
四方台	四方臺
四星彩	四星彩
四极管	四極管
四洲志	四洲志
四点钟	四點鐘
四百万	四百萬
四百个	四百個
四秒钟	四秒鐘
四部曲	四部曲
四面体	四面體
四面佛	四面佛
四面包	四面包
四面钟	四面鐘
回一回	回一回
回不了	回不了
回光镜	回光鏡
回力棒	回力棒
回力球	回力球
回单儿	回單兒
回历史	回歷史
回回历	回回曆
回回青	回回青
回墨印	回墨印
回声报	迴聲報
回复到	回復到
回头书	回頭書
回头人	回頭人
回头儿	回頭兒
回头客	回頭客
回头草	回頭草
回头见	回頭見
回头路	回頭路
回娘家	回娘家
回家乐	回家樂
回家路	回家路
回归到	回歸到
回归年	回歸年
回归潮	回歸潮
回归热	回歸熱
回归线	回歸綫
回形夹	迴形夾
回得去	回得去
回得来	回得來
回忆录	回憶錄
回忆说	回憶說
回忆起	回憶起
回想到	回想到
回想起	回想起
回报率	回報率
回收商	回收商
回收场	回收場
回收物	回收物
回收率	回收率
回收站	回收站
回收量	回收量
回教人	回教人
回教党	回教黨
回教国	回教國
回教徒	回教徒
回数票	回數票
回文对	迴文對
回文诗	迴文詩
回文锦	迴文錦
回旋器	迴旋器
回旋曲	迴旋曲
回旋梯	回旋梯
回族人	回族人
回来路	回來路
回民区	回民區
回溯到	回溯到
回潮率	回潮率
回盲瓣	迴盲瓣
回票面	回票面
回答到	回答到
回答说	回答說
回纥兵	回紇兵
回纥军	回紇軍
回纹针	迴紋針
回老家	回老家
回良玉	回良玉
回西流	回西流
回购额	回購額
回车键	回車鍵
回转仪	迴轉儀
回过来	回過來
回过神	回過神
回递性	迴遞性
回锅油	回锅油
回锅肉	回鍋肉
回页首	回頁首
回顾展	回顧展
回飞棒	回飛棒
回馈到	回饋到
回馈性	回饋性
回馈给	回饋給
回馈金	回饋金
回马枪	回馬槍
回鱼箸	回魚箸
回鹘文	回鶻文
团体奖	團體獎
团体性	團體性
团体操	團體操
团体票	團體票
团体组	團體組
团体行	團體行
团体赛	團體賽
团团转	團團轉
团圆夜	團圓夜
团圆日	團圓日
团圆节	團圓節
团圆饭	團圓飯
团扇妾	團扇妾
团管区	團管區
团队奖	團隊獎
团队报	團隊報
团队赛	團隊賽
团风县	團風縣
团香扇	團香扇
团龙儿	團龍兒
园游会	園遊會
园游券	園遊券
困腾腾	困騰騰
困难度	困難度
困难点	困難點
围困在	圍困在
固定制	固定制
固定术	固定術
国一制	國一制
国乐团	國樂團
国会制	國會制
国别史	國別史
国剧团	國劇團
国历代	國歷代
国历任	國歷任
国历史	國歷史
国历尽	國歷盡
国历届	國歷屆
国历年	國歷年
国历经	國歷經
国历险	國歷險
国发院	國發院
国台办	國臺辦
国台语	國台語
国合会	國合會
国大党	國大黨
国家党	國家黨
国家杯	國家杯
国术团	國術團
国术社	國術社
国术馆	國術館
国民党	國民黨
国王杯	國王杯
国社党	國社黨
国贸系	國貿系
国际台	國際臺
国际柜	國際櫃
圆周率	圓周率
圆周角	圓周角
圆板状	圓板狀
圆柱面	圓柱面
圆舞曲	圓舞曲
圆锥台	圓錐台
圆面积	圓面積
圆面饼	圓麵餅
圈子里	圈子裏
圈里人	圈裏人
土制品	土製品
土托鱼	土托魚
土木系	土木系
土谷祠	土穀祠
土霉素	土黴素
圣拉蒙	聖拉蒙
圣火台	聖火台
圣胡安	聖胡安
圣诞叶	聖誕葉
圣餐台	聖餐檯
圣餐布	聖餐布
在下面	在下面
在克制	在剋制
在制品	在制品
在家修	在家修
在此后	在此後
在眼里	在眼裏
在规范	在規範
在野党	在野黨
地一卷	地一捲
地价税	地價稅
地克制	地剋制
地制法	地制法
地区党	地區黨
地干吧	地幹吧
地平面	地平面
地方志	地方志
地板操	地板操
地狱谷	地獄谷
地理极	地理極
地瓜叶	地瓜葉
地瓜签	地瓜簽
地瓜面	地瓜面
地缝里	地縫裏
地表水	地表水
地里鬼	地裏鬼
地面上	地面上
地面下	地面下
地面层	地面層
地面水	地面水
地面站	地面站
场记板	場記板
均一价	均一價
均田制	均田制
坏家伙	壞家伙
坐台子	坐檯子
坐如钟	坐如鐘
坐板疮	坐板瘡
坐标系	座標系
坐萝卜	坐蘿蔔
坛佳酿	罈佳釀
坛好酒	罈好酒
坛白干	罈白干
坛美酒	罈美酒
坛老酒	罈老酒
坛陈年	罈陳年
坛高粱	罈高粱
坡布莱	坡布萊
坦克兵	坦克兵
坦克型	坦克型
坦克车	坦克車
坦荡荡	坦蕩蕩
垂直于	垂直於
垂直面	垂直面
垃圾虫	垃圾蟲
垣曲县	垣曲縣
垦丁杯	墾丁盃
垫出去	墊出去
垫出来	墊出來
垫回去	墊回去
垫回来	墊回來
埃克托	埃克托
埃及历	埃及曆
埃布罗	埃布羅
埃荣冲	埃榮衝
埃里温	埃裏溫
埔里镇	埔里鎮
埤塘里	埤塘里
培养出	培養出
培尔松	培爾松
培植出	培植出
培育出	培育出
基准兵	基準兵
基准日	基準日
基准法	基準法
基准点	基準點
基准线	基準綫
基准面	基準面
基地台	基地台
基布兹	基布茲
基本面	基本面
基民党	基民黨
堂后官	堂後官
堕胎药	墮胎藥
堪舆术	堪輿術
塑炼机	塑煉機
塑胶制	塑膠製
塑胶布	塑膠布
塑胶杯	塑膠杯
塑胶板	塑膠板
塑造出	塑造出
塔什干	塔什干
塔克辛	塔克辛
塔吉克	塔吉克
塔里木	塔里木
塔里班	塔里班
塞上曲	塞上曲
塞下曲	塞下曲
塞克森	塞克森
填表格	填表格
墓志铭	墓誌銘
墨斗鱼	墨斗魚
墨沈沈	墨沈沈
墨荡子	墨盪子
壮阳药	壯陽藥
壹个人	壹個人
壹周刊	壹週刊
处方药	處方藥
处理厂	處理廠
处理表	處理表
备忘录	備忘錄
备注栏	備註欄
复习考	複習考
复亩珍	複畝珍
复仇者	復仇者
复仇记	復仇記
复健科	復健科
复健赛	復健賽
复元音	複元音
复共轭	複共軛
复兴乡	復興鄉
复兴党	復興黨
复兴区	復興區
复兴号	復興號
复兴岗	復興崗
复兴岛	復興島
复兴社	復興社
复兴路	復興路
复兴门	復興門
复兴馆	復興館
复写纸	複寫紙
复决权	複決權
复函数	複函數
复分数	複分數
复分析	複分析
复分解	複分解
复利法	複利法
复利率	複利率
复制出	複製出
复制品	複製品
复华金	復華金
复印品	複印品
复印机	複印機
复印纸	複印紙
复原期	復原期
复发性	復發性
复发率	復發率
复古会	復古會
复古风	復古風
复合体	複合體
复合光	複合光
复合句	複合句
复合国	複合國
复合型	複合型
复合字	複合字
复合年	複合年
复合式	複合式
复合性	複合性
复合技	複合技
复合机	複合機
复合板	複合板
复合架	複合架
复合模	複合模
复合物	複合物
复合管	複合管
复合膜	複合膜
复合药	複合藥
复合词	複合詞
复名数	複名數
复名词	複名詞
复员令	復員令
复品牌	複品牌
复基因	複基因
复婚制	複婚制
复字键	複字鍵
复学生	復學生
复对数	複對數
复平面	複平面
复拍子	複拍子
复数域	複數域
复数形	複數形
复旦桥	復旦橋
复杂化	複雜化
复杂度	複雜度
复杂性	複雜性
复殖目	複殖目
复比例	複比例
复活岛	復活島
复活日	復活日
复活节	復活節
复活赛	復活賽
复盆子	覆盆子
复盖住	覆蓋住
复盖率	覆蓋率
复盖面	覆蓋面
复相关	複相關
复综语	複綜語
复色光	複色光
复苏期	復甦期
复苏术	復甦術
复读生	復讀生
复辅音	複輔音
复选题	複選題
复酱瓿	覆醬瓿
复音形	複音形
复音词	複音詞
复韵母	複韻母
夏于乔	夏于喬
夏于喬	夏于喬
夏历史	夏歷史
夏后氏	夏后氏
夏商周	夏商周
夏天里	夏天裏
夏日里	夏日裏
夏时制	夏時制
夏洛克	夏洛克
夏里夫	夏里夫
外交团	外交團
外交系	外交系
外出服	外出服
外出血	外出血
外出装	外出裝
外后日	外後日
外向型	外向型
外挂式	外掛式
外文系	外文係
外来种	外來種
外汇局	外匯局
外用药	外用藥
外聘制	外聘制
外蒙古	外蒙古
外表上	外表上
外语系	外語系
外调制	外調制
外面情	外面情
多云偶	多雲偶
多侧面	多側面
多党制	多黨制
多出来	多出來
多动症	多動症
多半只	多半只
多发性	多發性
多发病	多發病
多只会	多只會
多只可	多只可
多只在	多只在
多只是	多只是
多只有	多只有
多只能	多只能
多只需	多只需
多天后	多天後
多妻制	多妻制
多少只	多少隻
多层复	多層複
多平台	多平臺
多指症	多指症
多数党	多數黨
多方面	多方面
多极化	多極化
多汗症	多汗症
多面体	多面體
多面性	多面性
多面手	多面手
多面角	多面角
夜儿个	夜兒個
夜光云	夜光雲
夜光杯	夜光杯
夜光虫	夜光蟲
夜光表	夜光錶
夜合花	夜合花
夜合钱	夜合錢
夜尿症	夜尿症
夜度娘	夜度娘
夜惊症	夜驚症
夜游子	夜遊子
夜游神	夜遊神
夜游队	夜遊隊
夜盲症	夜盲症
够克制	夠剋制
够钟情	夠鍾情
够钟爱	夠鍾愛
夠面子	夠面子
大不了	大不了
大专杯	大專杯
大个儿	大個兒
大个子	大個子
大丰市	大豐市
大丰收	大豐收
大丰簋	大豐簋
大人药	大人藥
大价钱	大價錢
大伙人	大夥人
大伙儿	大夥兒
大余县	大餘縣
大修理	大修理
大借款	大借款
大兵团	大兵團
大减价	大減價
大出丧	大出喪
大出手	大出手
大出血	大出血
大利面	大利麵
大别山	大別山
大制作	大製作
大单于	大單于
大卤面	大滷麵
大厂县	大廠縣
大历史	大歷史
大只会	大只會
大只可	大只可
大只在	大只在
大只是	大只是
大只有	大只有
大只能	大只能
大只需	大只需
大台北	大台北
大叶桉	大葉桉
大合唱	大合唱
大同乡	大同鄉
大同书	大同書
大同区	大同區
大同县	大同縣
大同市	大同市
大同教	大同教
大同盟	大同盟
大同路	大同路
大后天	大後天
大后年	大後年
大后方	大後方
大周后	大周后
大周折	大週摺
大回朝	大回朝
大团圆	大團圓
大团结	大團結
大场面	大場面
大型钟	大型鐘
大夫松	大夫松
大头症	大頭症
大头针	大頭針
大姑娘	大姑娘
大娘子	大娘子
大岩桐	大岩桐
大峡谷	大峽谷
大布棚	大布棚
大廉价	大廉價
大折儿	大摺兒
大抚台	大撫臺
大方向	大方向
大明历	大明曆
大曲道	大曲道
大曲酒	大麴酒
大本钟	大本鐘
大来历	大來歷
大板根	大板根
大板车	大板車
大武仑	大武崙
大气团	大氣團
大气系	大氣系
大润发	大潤發
大爱台	大愛台
大班制	大班制
大理岩	大理岩
大秋元	大秋元
大笨钟	大笨鐘
大精彩	大精彩
大老板	大老闆
大胡子	大鬍子
大腔当	大腔當
大致上	大致上
大花面	大花面
大苏打	大蘇打
大范围	大範圍
大衍历	大衍曆
大表哥	大表哥
大表妹	大表妹
大表姊	大表姊
大表弟	大表弟
大裂谷	大裂谷
大迦叶	大迦葉
大里市	大里市
大里溪	大里溪
大陆团	大陸團
大集合	大集合
大风后	大風後
大风鉴	大風鑑
大食团	大食團
大麦克	大麥克
大麻烟	大麻煙
大麻里	大麻里
大黑松	大黑松
天历史	天歷史
天台县	天台縣
天台女	天台女
天台宗	天台宗
天台山	天台山
天后宫	天后宮
天后站	天后站
天后级	天后級
天坛座	天壇座
天心岩	天心岩
天才型	天才型
天才论	天才論
天文台	天文臺
天文钟	天文鐘
天生干	天生幹
天纳克	天納克
天花板	天花板
天门冬	天門冬
太仆寺	太僕寺
太初历	太初曆
太好了	太好了
太子党	太子黨
太扯了	太扯了
太极剑	太極劍
太极图	太極圖
太极拳	太極拳
太极门	太極門
太空游	太空遊
太谷县	太谷縣
太谷灯	太谷燈
太阳升	太陽升
太阳历	太陽曆
太阳系	太陽系
太阳谷	太陽谷
太阴历	太陰曆
太麻里	太麻里
失体面	失體面
失忆症	失憶症
失智症	失智症
失眠症	失眠症
失语症	失語症
失读症	失讀症
失调症	失調症
失面子	失面子
头一回	頭一回
头向前	頭向前
头朝里	頭朝裏
头花发	頭花髮
头足愿	頭足願
夷坚志	夷堅志
夸克星	夸克星
夸大狂	誇大狂
夸张法	誇張法
夸海口	誇海口
夸起来	誇起來
夹布子	夾布子
夹当儿	夾當兒
夹彩塑	夾彩塑
夹板气	夾板氣
夹板船	夾板船
夹注号	夾注號
夺回去	奪回去
夺回来	奪回來
奇努克	奇努克
奇台县	奇台縣
奇里安	奇里安
奉献出	奉獻出
奉苹蘩	奉蘋蘩
奉蒸尝	奉蒸嘗
奎松市	奎松市
奏出去	奏出去
奏出来	奏出來
奏鸣曲	奏鳴曲
契努克	契努克
契合度	契合度
奔回来	奔回來
套出来	套出來
套问出	套問出
套马杆	套馬桿
奥万大	奧萬大
奥克兰	奧克蘭
奥克明	奧克明
奥克蒙	奧克蒙
奥布里	奧布里
奥拜克	奧拜克
奥运团	奧運團
奥里斯	奧里斯
奥里萨	奧里薩
奥陶系	奧陶系
女乳症	女乳症
女仆部	女僕部
女佣人	女佣人
女修士	女修士
女修道	女修道
女同志	女同志
女同胞	女同胞
女宿舍	女宿舍
女王杯	女王杯
女秀才	女秀才
女舍监	女舍監
女药头	女藥頭
奴儿干	奴兒干
奴隶制	奴隸制
奶制品	奶製品
她克制	她剋制
她出去	她出去
她出来	她出來
好一出	好一齣
好不了	好不了
好了吗	好了嗎
好了吧	好了吧
好了歌	好了歌
好体面	好體面
好傢伙	好傢伙
好几万	好幾萬
好几个	好幾個
好几亿	好幾億
好几十	好幾十
好几千	好幾千
好几天	好幾天
好几年	好幾年
好几百	好幾百
好困吧	好睏吧
好困啊	好睏啊
好多个	好多個
好好干	好好幹
好家伙	好傢夥
好彩头	好彩頭
好斗大	好斗大
好斗室	好斗室
好斗笠	好斗笠
好斗篷	好斗篷
好斗胆	好斗膽
好斗蓬	好斗蓬
好极了	好極了
好立克	好立克
好胜心	好勝心
好采头	好采頭
好面子	好面子
如何干	如何幹
如果干	如果幹
妄想症	妄想症
妖精谷	妖精谷
妙极了	妙極了
妥当人	妥當人
姑娘家	姑娘家
委员制	委員制
委托书	委託書
委托人	委托人
姘出去	姘出去
姚俊杰	姚俊傑
姚升志	姚昇志
姚志源	姚志源
姚采颖	姚采穎
姜丰年	姜豐年
姜凤君	姜鳳君
姜切片	薑切片
姜堰市	薑堰市
姜大宇	姜大宇
姜太公	薑太公
姜子牙	薑子牙
姜宸英	姜宸英
姜建铭	姜建銘
姜愈老	薑愈老
姜文杰	姜文杰
姜是老	薑是老
姜母鸭	薑母鴨
姜沧源	姜滄源
姜石年	薑石年
姜竹祥	姜竹祥
姜维平	姜維平
姜老辣	薑老辣
姜至奂	姜至奐
姜辣素	薑辣素
姜远珍	姜遠珍
姜郁美	姜郁美
姜金龙	姜金龍
姜锡柱	姜錫柱
姜麻园	薑麻園
姜黄素	薑黃素
姜黄色	薑黃色
姬松茸	姬松茸
威克岛	威克島
威克斯	威克斯
威克森	威克森
威奇托	威奇托
威里斯	威里斯
娘儿们	娘兒們
娘儿俩	孃兒倆
娘娘庙	娘娘廟
娘娘腔	娘娘腔
娘子关	娘子關
娘子军	娘子軍
娘家姓	娘家姓
娘母子	娘母子
娘老子	娘老子
娱乐台	娛樂台
娶回家	娶回家
婆娘子	婆娘子
嫁出去	嫁出去
嫁出来	嫁出來
嫁祸于	嫁禍於
子目录	子目錄
子系统	子系統
子集合	子集合
孕穗期	孕穗期
孕育出	孕育出
字根表	字根表
字母表	字母表
字码表	字碼表
字面上	字面上
字音表	字音表
存托股	存托股
孙协志	孫協志
孙大千	孫大千
孙胜男	孫勝男
孟姜女	孟姜女
孟小冬	孟小冬
孟尝君	孟嘗君
孢子叶	孢子葉
孢子虫	孢子蟲
季后赛	季後賽
孤儿药	孤兒藥
孤拐面	孤拐面
